date,ONI,"ElNino Index 1,2_temp","ElNino Index 1,2_annomaly",WC_Tx_Muis,WC_Tn_Muis,WC_Ra_Muis,WC_Tx_Quin,WC_Tn_Quin,WC_Ra_Quin,WC_Tx_Pvie,WC_Tn_Pvie,WC_Ra_Pvie,WC_Tx_Chon,WC_Tn_Chon,WC_Ra_Chon,WC_Tx_Calc,WC_Tn_Calc,WC_Ra_Calc,WC_Tx_Guaq,WC_Tn_Guaq,WC_Ra_Guaq,WC_Tx_Mila,WC_Tn_Mila,WC_Ra_Mila,WC_Tx_Scru,WC_Tn_Scru,WC_Ra_Scru,WC_Tx_Scri,WC_Tn_Scri,WC_Ra_Scri,IN_Ta_Muis,IN_Tx_Muis,IN_Tn_Muis,IN_Ra_Muis,IN_Ta_Quin,IN_Tx_Quin,IN_Tn_Quin,IN_Ra_Quin,IN_Ta_Pvie,IN_Tx_Pvie,IN_Tn_Pvie,IN_Ra_Pvie,IN_Ta_Chon,IN_Tx_Chon,IN_Tn_Chon,IN_Ra_Chon,IN_Ta_Calc,IN_Tx_Calc,IN_Tn_Calc,IN_Ra_Calc,IN_Ta_Guag,IN_Tx_Guag,IN_Tn_Guag,IN_Ra_Guag,IN_Ta_Mila,IN_Tx_Mila,IN_Tn_Mila,IN_Ra_Mila,IN_Ta_Scru,IN_Tx_Scru,IN_Tn_Scru,IN_Ra_Scru,IN_Ta_Scri,IN_Tx_Scri,IN_Tn_Scri,IN_Ra_Scri,WC_Tn_Taba,WC_Tx_Taba,WC_Ra_Taba,WC_Tn_Quit,WC_Tx_Quit,WC_Ra_Quit,WC_Tn_Papa,WC_Tx_Papa,WC_Ra_Papa,WC_Tn_Izob,WC_Tx_Izob,WC_Ra_Izob,WC_Tn_Sier,WC_Tx_Sier,WC_Ra_Sier,IN_Ta_Taba,IN_Tx_Taba,IN_Tn_Taba,IN_Ra_Taba,IN_Ta_Quit,IN_Tx_Quit,IN_Tn_Quit,IN_Ra_Quit,IN_Ta_Papa,IN_Tx_Papa,IN_Tn_Papa,IN_Ra_Papa,IN_Ta_Izob,IN_Tx_Izob,IN_Tn_Izob,IN_Ra_Izob,IN_Ta_Sier,IN_Tx_Sier,IN_Tn_Sier,IN_Ra_Sier,WC_Tn_Lumb,WC_Tx_Lumb,WC_Ra_Lumb,WC_Tn_Yasu,WC_Tx_Yasu,WC_Ra_Yasu,WC_Tn_Glqz,WC_Tx_Glqz,WC_Ra_Glqz,WC_Tn_Tena,WC_Tx_Tena,WC_Ra_Tena,WC_Tn_Maca,WC_Tx_Maca,WC_Ra_Maca,WC_Tn_Sang,WC_Tx_Sang,WC_Ra_Sang,WC_Tn_Puyo,WC_Tx_Puyo,WC_Ra_Puyo,WC_Tn_Yanz,WC_Tx_Yanz,WC_Ra_Yanz,IN_Ta_Lumb,IN_Tn_Lumb,IN_Tx_Lumb,IN_Ra_Lumb,IN_Ta_Yasu,IN_Tn_Yasu,IN_Tx_Yasu,IN_Ra_Yasu,IN_Ta_Glqz,IN_Tm_Glqz,IN_Tx_Glqz,IN_Ra_Glqz,IN_Ta_Puyo,IN_Tn_Puyo,IN_Tx_Puyo,IN_Ra_Puyo,IN_Ta_Maca,IN_Tn_Maca,IN_Tx_Maca,IN_Ra_Maca,IN_Ta_Sang,IN_Tn_Sang,IN_Tx_Sang,IN_Ra_Sang,IN_Ta_Tena,IN_Tn_Tena,IN_Tx_Tena,IN_Ra_Tena,IN_Ta_Yanz,IN_Tn_Yanz,IN_Tx_Yanz,IN_Ra_Yanz
01-Jan-1960,-0.1,24.23,-0.33,29.0,22.0,234.3,29.0,21.0,315.8,31.0,21.0,67.0,30.25,21.0,191.05,31.0,21.0,143.0,30.0,22.0,176.3,30.0,21.0,222.0,28.0,19.0,10.5,28.0,21.0,13.799999999999997,25.352424245,28.881515155,22.07560606,160.4,25.586962364999998,30.11955645,22.17983871,383.4,26.04967742,31.90424731,22.092311825000003,40.35,25.936095665,30.857063404999998,22.0512792,160.25,25.516290325,30.043494625,21.715860215000003,98.65,27.496774195,32.27096774,23.377419355,114.80000000000001,26.537096775000002,31.1971079,22.37141268,84.05,23.851785715,26.385714285,21.59464286,19.049999999999997,25.053940885,29.002093594999998,22.135098525,8.149999999999999,9.0,22.0,54.5,8.0,20.0,81.3,3.0,14.0,93.5,5.0,18.0,114.3,9.0,21.0,85.1,14.14516129,20.52903226,9.3096774195,58.800000000000004,14.463626249999999,20.76434928,10.0505005555,88.95,10.711626339999999,15.460416665,6.2182795695,57.64999999999999,11.79516129,17.866129035,6.9032258065,109.4,14.71029412,18.90147059,9.6269607865,97.45000000000002,19.0,29.0,202.8,21.0,32.0,159.3,17.0,27.0,90.9,18.0,29.0,259.1,16.0,26.0,153.89999,17.0,27.0,268.20001,17.0,26.0,275.10001,18.0,29.0,114.0,23.315841015,19.516935485,28.214573729999998,446.8,26.218763439999996,22.371774195,31.633494625,131.0,23.752592165,19.241820275000002,29.531682025,103.3,21.279032255,17.482258065,26.259677420000003,400.45000000000005,20.85873016,16.842857145,25.482275129999998,206.15,21.88448276,17.430287355,26.851149425,391.0,23.882258065000002,19.048387095000002,28.451612904999998,293.5,24.222150534999997,18.833333335,30.168333335,142.8
01-Feb-1960,-0.1,25.68,-0.42,30.0,22.0,193.1,30.0,21.0,249.9,30.0,22.0,72.2,30.25,21.0,187.58,31.0,21.0,138.1,30.0,22.0,156.7,30.0,22.0,197.3,29.0,21.0,5.800000000000001,30.0,22.0,9.100000000000001,25.401948055,28.932467535,22.414772725,129.05,25.5275,30.643749999999997,20.758333335,197.40000000000003,26.240711904999998,31.982925475000002,22.218576195,157.60000000000002,26.542353645,31.54850657,20.860155319999997,295.6,25.516290325,30.043494625,21.715860215000003,98.65,27.22580645,31.272580645,23.69354839,311.6,26.4,30.391935485,22.677419354999998,430.95,23.869642855,26.685714285,21.60892857,21.924999999999997,25.053940885,29.002093594999998,22.135098525,8.149999999999999,9.0,21.0,69.8,8.0,20.0,97.2,3.0,14.0,83.5,5.0,17.0,113.7,9.0,20.0,103.5,14.237096775000001,20.14516129,9.506451613,67.7,14.148706895,19.90812808,9.5791871915,130.35,10.429166665,14.85625,6.325,34.5,11.529032260000001,17.301612905000002,7.3112903225,159.85000000000002,14.683210785,18.399387255,10.204044119999999,210.6,19.0,29.0,209.5,21.0,31.0,181.6,17.0,27.0,83.7,18.0,28.0,225.6,16.0,26.0,128.5,17.0,26.0,239.8,16.0,26.0,247.39999,19.0,29.0,113.0,23.4890553,19.45264977,29.021716589999997,455.0,25.676666665,22.456666665,30.713333335,239.95,23.477419355000002,19.03870968,28.124193544999997,144.6,20.869354835,17.19032258,26.070967745,359.45,20.278320800000003,16.393734334999998,25.219799495,170.85000000000002,21.64482759,17.00862069,27.72413793,409.75,23.941532260000002,18.743663595,28.57914747,279.7,23.578341015,18.619642855,29.126785715,143.65
01-Mar-1960,-0.1,26.24,-0.25,30.0,22.0,231.0,30.0,21.0,402.8,31.0,22.0,112.7,31.0,21.0,290.0,32.0,21.0,228.40000000000003,31.0,22.0,227.8,31.0,22.0,292.5,30.0,21.0,14.3,31.0,22.0,30.2,26.041820275,32.042684335000004,23.036981564999998,268.15,25.662903225,30.388709675,21.80967742,463.25,26.38548387,32.10967742,22.58225806,80.55000000000001,26.233333334999998,31.18111111,22.38611111,312.5,25.653214284999997,30.044761905,22.143452380000003,149.35,27.23111111,31.397777780000002,23.589444444999998,186.54999999999998,26.60488095,31.054880949999998,22.094761905,242.04999999999998,26.019139195,29.096520145,23.11886447,86.85,25.786666665,29.915,22.5,59.599999999999994,8.0,21.0,92.0,8.0,20.0,128.89999,3.0,14.0,109.4,5.0,17.0,146.0,9.0,20.0,150.60001,14.113387095,19.891505375,9.507526882,100.6,14.49878788,20.568636365000003,9.748939393999999,115.15,10.643325789999999,15.03970588,7.3404977375,42.55,12.429102565,18.60423077,7.1696153845,118.4,14.591098485,19.113825755,9.69375,211.1,18.0,29.0,266.1,21.0,31.0,239.5,17.0,27.0,130.1,18.0,29.0,370.2,16.0,26.0,219.10001,17.0,27.0,369.89999,16.0,26.0,385.5,19.0,29.0,129.7,23.63548387,19.241935485,28.997311825,308.65000000000003,25.268494625000002,20.812688175,30.469569890000002,151.04999999999998,23.24988506,18.119712645,29.21925287,166.5,20.950558315000002,17.275,26.022456575,483.84999999999997,21.014285715,15.876190475,26.266071425,153.45,21.321904765,15.1,27.23630952,345.3,23.71324885,19.81036866,28.35357143,205.54999999999998,23.301612900000002,18.95,28.33548387,267.84999999999997
01-Apr-1960,0.0,24.43,-1.11,30.0,22.0,141.8,30.0,21.0,236.2,31.0,21.0,46.8,31.0,21.0,127.33,32.0,21.0,91.0,31.0,22.0,138.3,31.0,21.0,172.7,28.0,20.0,1.1000000000000014,29.0,21.0,0.5,25.418548385,28.72919355,22.86435484,48.94999999999999,26.163888890000003,31.218518515,22.108333334999998,136.25,25.87918719,31.710899015000003,21.790394085,47.5,26.566931214999997,31.797354495,20.751322755,208.85000000000002,26.417258065,31.26494624,22.08951613,55.35,27.65183537,31.406284765000002,24.213181315,343.70000000000005,26.355172415,31.05,21.79137931,138.05,25.932758619999998,30.326413795,22.359310344999997,28.705,25.71416256,30.33916256,22.183312809999997,0.0,9.0,21.0,75.7,8.0,20.0,106.7,3.0,13.0,81.3,5.0,17.0,111.6,9.0,20.0,157.10001,14.594271410000001,20.844660735,9.315294772,67.35,14.305110835,20.704926110000002,9.268226601,103.35,10.652450094999999,15.27522686,6.8611615245,84.85,11.784166665,17.634642855000003,5.8842857145,117.05,14.321501015,18.35922921,10.473225155,266.95,18.0,29.0,250.9,20.0,30.0,274.9,17.0,27.0,194.7,18.0,28.0,333.4,15.0,25.0,188.7,16.0,26.0,321.70001,16.0,26.0,344.60001,18.0,29.0,205.60001,23.864285715,19.292857145,29.595238095,102.89999999999998,25.419642855,22.055357139999998,30.469642855,208.85,23.54625576,19.218317975,28.055011519999997,171.3,20.71016129,16.825860215,26.200322579999998,454.45,20.638636365,16.245117845,25.538215485000002,287.95,22.127011494999998,17.066666665,28.522988505,353.25,23.828494624999998,19.303978495000003,28.71032258,346.84999999999997,23.51842949,17.59278846,28.700480770000002,170.1
01-May-1960,0.0,23.33,-1.09,29.0,21.0,79.8,30.0,21.0,103.4,30.0,20.0,14.799999999999997,29.5,21.0,33.349999999999994,30.0,21.0,21.799999999999997,30.0,21.0,38.5,30.0,20.0,39.7,27.0,19.0,2.3000000000000007,28.0,21.0,4.200000000000003,25.670103689999998,27.943836405,23.174481565,226.1,25.32048387,29.827258065,22.067258065,74.8,24.79188172,30.462688175,20.722096774999997,5.650000000000006,25.810000000000002,29.8805914,23.06408602,36.849999999999994,25.962903224999998,31.291935485000003,21.28387097,28.1,26.87580645,30.958333335,22.90919355,9.0,25.658333335000002,29.941666665,21.551666665,32.3,27.19986631,30.597727275,23.422727275,49.95,25.44032258,29.01290323,22.30483871,3.049999999999997,8.0,21.0,39.6,8.0,20.0,57.7,3.0,13.0,71.9,5.0,17.0,69.0,9.0,20.0,127.0,14.500645160000001,21.156236560000004,9.4451612905,60.099999999999994,13.862903225,19.40483871,9.606451611,165.7,10.617741935,15.11612903,6.662903226,114.14999999999999,11.018978494999999,17.24021505,5.5398387095,133.9,14.44949275,19.08384058,10.61521739,356.9,18.0,28.0,216.0,20.0,30.0,318.1,17.0,27.0,167.9,18.0,28.0,293.0,15.0,25.0,156.0,16.0,26.0,230.7,16.0,25.0,266.5,18.0,28.0,164.7,22.781451615,19.546774195,28.01337366,477.4,25.268796525,22.0367866,30.06153846,242.85,22.71654762,18.878095235,27.66369048,253.15,20.618298109999998,16.708954395,25.53565072,459.35,20.251555555,16.217851850000002,25.734666665,222.5,21.54193122,17.960978835,26.671362435,359.5,23.362816095,19.518045975,28.009770115,472.70000000000005,23.14642857,19.14983766,28.638798705,180.35
01-Jun-1960,0.0,21.71,-1.41,29.0,20.0,48.3,29.0,20.0,40.70000000000002,29.0,20.0,3.8999999999999986,28.5,20.0,10.849999999999994,29.0,20.0,6.900000000000006,29.0,20.0,6.200000000000003,29.0,19.0,7.700000000000003,25.0,18.0,3.8000000000000007,26.0,20.0,4.600000000000001,24.041768635,26.61557286,22.36868743,44.5,25.31128205,29.24153846,20.824871795,106.25,24.545376339999997,30.803440860000002,20.515860215,1.1500000000000057,24.78467742,29.52724014,19.223835125,2.249999999999986,24.70385185,28.94814815,21.06985185,2.250000000000014,24.31860215,28.89494624,20.55935484,0.25,24.06615581,28.411174965,19.44412516,0.09999999999999432,24.668333335,27.049999999999997,21.94166667,4.899999999999999,22.485303029999997,25.940757575,20.09530303,15.349999999999998,8.0,21.0,9.899999999999991,7.0,20.0,11.200000000000003,2.0,13.0,34.7,4.0,17.0,17.89999999999999,8.0,19.0,68.8,15.15642857,21.161428569999998,9.6638095215,12.799999999999997,15.175806455,21.887096775,8.398387097,17.5,9.372890026,12.98248082,5.6556265985000005,94.3,11.967956990000001,18.467903225,5.719892473,28.150000000000006,13.80222222,18.497222225,9.746111113,241.75,18.0,28.0,134.0,20.0,29.0,282.4,16.0,26.0,66.7,17.0,27.0,154.8,15.0,25.0,85.7,16.0,25.0,136.10001,15.0,25.0,150.8,17.0,28.0,72.2,22.571290325,18.41451613,27.888172044999997,464.4,23.351785715000002,20.719642855,27.355357145,256.75,21.31172043,17.392688175,25.51962366,153.7,19.353448275,16.04827586,23.68275862,315.4,20.144153844999998,15.240615385,25.282153845,270.9,21.14176267,15.11906682,26.22770737,185.89999999999998,23.179942525,19.552528735000003,27.74873563,426.3,21.8176307,17.187986655,26.341323690000003,121.25
01-Jul-1960,0.1,20.64,-1.32,28.0,20.0,111.0,28.0,20.0,122.80000000000001,29.0,19.0,8.899999999999999,28.5,20.0,20.47,29.0,20.0,12.200000000000003,28.0,19.0,16.0,28.0,19.0,22.099999999999994,24.0,17.0,11.5,25.0,18.0,9.8,24.27608454,26.56329255,22.41551724,60.099999999999994,24.586285715,29.02552381,20.82638095,45.14999999999999,24.566881719999998,30.513494625,20.902419355,0.0,24.411290325,29.403225804999998,19.106451614999997,3.0999999999999943,25.014755075,29.630406215,20.988948625,5.25,24.131590655,28.486095664999997,20.605561735000002,0.3499999999999943,23.922962965,27.73259259,20.12388889,1.4500000000000028,23.997701149999997,26.044597699999997,22.251091955,4.599999999999998,22.281666665,25.759999999999998,20.02833333,14.8,8.0,22.0,16.6,7.0,20.0,32.1,2.0,12.0,181.3,4.0,17.0,51.8,9.0,19.0,333.89999,14.79521505,21.757741935,8.290537634,14.800000000000004,14.611012235,20.940600670000002,8.5860400445,10.799999999999997,9.263824885,13.171658985,4.037480798500001,177.95,11.36451613,17.63709677,5.3677419355,38.60000000000001,13.214259259999999,17.795555555,8.8325925915,410.15,18.0,28.0,481.3,19.0,29.0,317.9,16.0,27.0,266.1,17.0,27.0,653.1,15.0,24.0,353.20001,16.0,25.0,483.60001,15.0,24.0,539.90002,17.0,28.0,239.60001,22.85,18.122580645,28.27419355,427.15000000000003,24.190120970000002,20.840255374999998,29.36922043,229.55,21.98548387,18.106451614999997,25.577419355,224.39999999999998,19.84887097,16.571774195,24.803225804999997,439.0,19.82948718,15.534615385,25.087820509999997,166.15,21.51465517,15.962859195,27.380100575,343.65,22.91935484,18.687096775,27.5,425.1,21.598214285,18.307081285,26.711884235,195.1
01-Aug-1960,0.2,19.99,-1.02,28.0,20.0,43.8,29.0,20.0,48.099999999999994,30.0,19.0,9.599999999999998,29.5,19.25,6.700000000000003,30.0,19.0,6.700000000000003,29.0,19.0,1.9000000000000057,29.0,19.0,0.9000000000000057,23.0,15.0,6.800000000000001,25.0,17.0,3.6000000000000014,23.27851852,26.039444445,21.13314815,22.599999999999994,24.525,28.64375,20.433333335,12.699999999999989,23.864157705,29.730884109999998,20.216367979999998,1.4499999999999957,24.083704119999997,28.95650723,20.852447165,4.699999999999989,24.798333335,30.311666664999997,20.86666667,0.8499999999999943,24.44973118,29.831666665,20.217634405,0.0,23.65814516,28.365967740000002,19.197580645000002,0.14999999999999147,21.941762670000003,24.01313364,19.81802995,11.350000000000001,20.92833333,24.708333335,18.136666665,4.400000000000006,8.0,23.0,12.800000000000004,7.0,22.0,25.700000000000003,2.0,13.0,77.2,4.0,18.0,40.7,8.0,20.0,155.60001,14.76907675,22.248553944999998,7.945161290500001,28.6,14.744412440000001,21.69919355,8.941532258,67.64999999999999,9.967084638500001,18.033072105000002,5.142789969,79.95,11.66548387,18.74295699,5.125,70.4,13.127380950000001,18.663095235,8.6154761905,255.05,18.0,29.0,175.6,20.0,31.0,238.8,17.0,27.0,146.5,17.0,29.0,268.2,15.0,26.0,173.7,16.0,26.0,242.39999,15.0,26.0,278.20001,18.0,29.0,145.10001,24.338095235,17.82261905,30.117261905,298.95000000000005,24.402927119999998,20.440561525,30.054659495000003,129.65,22.055082415,16.296153845000003,28.282142855,124.6,21.082741934999998,15.98376344,27.563709675,236.6,20.639955025,14.558770615,27.04010495,142.0,22.330714285,13.583333334999999,29.19047619,218.95,24.072413795000003,17.793103445,30.0362069,281.95000000000005,22.988965515,18.33062069,28.936551725,157.55
01-Sep-1960,0.3,20.46,-0.27,29.0,20.0,16.799999999999997,29.0,20.0,15.800000000000011,30.0,19.0,2.3999999999999986,29.5,19.0,2.530000000000001,30.0,19.0,1.7999999999999972,29.0,19.0,0.9000000000000057,29.0,19.0,1.799999999999983,24.0,15.0,6.100000000000001,25.0,17.0,4.399999999999999,24.10809524,26.674047615,22.135714285,38.74999999999997,25.247028985,30.580072465,19.95623188,15.25,24.133333335,30.536666670000002,19.81333333,1.6000000000000014,24.46896552,30.865517240000003,18.34827586,0.7000000000000028,24.826091955,30.183620689999998,21.147816095000003,0.7999999999999972,24.54408046,29.905632179999998,20.32908046,0.0,24.31785714,28.88928571,19.678571429999998,0.4000000000000057,20.816666665,23.388333335,18.56833333,8.049999999999997,21.208793104999998,25.103448274999998,18.95862069,2.6000000000000014,8.0,23.0,10.400000000000006,7.0,22.0,16.200000000000003,1.0000000000000002,14.0,18.599999999999994,4.0,18.0,17.799999999999997,8.0,21.0,38.3,14.787261905,22.232857145,8.418452381000002,28.099999999999998,15.214814815,22.14444444,8.764814815000001,20.95000000000001,10.07777778,14.685185185,4.689259259,67.55,12.254999999999999,19.571666665000002,5.3883333335,51.75,13.53388889,18.457037035,8.9564814815,277.7,18.0,30.0,70.9,19.0,31.0,197.3,16.0,27.0,39.8,17.0,29.0,74.5,15.0,26.0,42.79999999999998,16.0,27.0,78.80000000000001,15.0,27.0,83.90000000000003,17.0,29.0,38.099999999999994,23.793452379999998,18.149404765,29.240476190000003,344.55,24.911375659999997,20.82089947,30.946825395,117.9,22.84722906,17.73448276,27.55529557,107.65,20.686666665,15.79833333,26.54666667,359.1,20.569172415,14.365379310000002,27.329931035,136.89999999999998,22.220666665,15.927999999999999,28.735,270.04999999999995,24.20948276,18.10954023,30.18770115,257.0,23.05,17.806896555,28.77241379,161.1
01-Oct-1960,0.2,20.11,-0.91,29.0,20.0,34.7,29.0,20.0,24.69999999999999,29.0,19.0,5.799999999999997,29.5,19.0,4.230000000000004,30.0,19.0,3.4000000000000057,29.0,19.0,2.0,29.0,19.0,1.9000000000000057,24.0,16.0,7.399999999999999,25.0,17.0,7.399999999999999,23.91761905,25.84130952,19.651785715,28.80000000000001,25.247028985,30.580072465,19.95623188,15.25,24.423965515,30.880057475,20.076149425,0.0,24.814999999999998,30.655,21.52,1.3000000000000114,24.826091955,30.183620689999998,21.147816095000003,0.7999999999999972,24.735,30.086666665,20.566666665,0.0,24.46047619,29.373809520000002,19.90595238,0.0,20.7325,23.443333335,18.214166665,6.050000000000001,21.338793105,24.82511494,19.320287354999998,4.800000000000004,8.0,22.0,37.4,7.0,21.0,50.2,2.0,14.0,45.199999999999996,4.0,18.0,52.1,9.0,21.0,64.7,15.49371795,22.61051282,9.441923077,37.55,15.973148145,23.24037037,9.7788888905,23.750000000000007,10.303703705,14.585185185,5.8614814815,63.449999999999996,12.576666665,19.941666665,6.2183333335,73.75,13.47654762,18.970595235,8.532142857,271.15000000000003,18.0,30.0,154.1,20.0,31.0,230.1,17.0,28.0,44.30000000000001,17.0,29.0,138.7,15.0,26.0,66.79999999999998,16.0,27.0,130.7,15.0,27.0,147.3,18.0,29.0,50.5,24.338095235,17.82261905,30.117261905,298.95000000000005,25.851190475,21.622380955,31.73238095,163.75,22.680229885000003,17.837586205,28.580459769999997,134.75,20.856666665000002,16.305,26.803333334999998,374.34999999999997,20.569172415,14.365379310000002,27.329931035,136.89999999999998,22.11833333,16.348333335,27.716666664999998,255.9,24.20948276,18.10954023,30.18770115,257.0,23.32413793,18.16034483,29.462068965,164.3
