Local_Time,Real_max,lstm_u_max,PER_max,Real_avg,lstm_u_avg,PER_avg,lstm_m_avg,AR_avg,ET_u_avg,ET_m_avg,lstm_m_max,lstm_u_min,PER_min,Real_min,lstm_m_min,ET_u_max,ET_m_max,ET_m_min,ET_u_min,AR_max,AR_min
2016-08-09 02:00:00,6.1,5.501408284902573,5.9,3.5,2.869683623313904,3.0,2.879170596599579,2.861125,2.947991301673179,3.0461186207823783,5.735004985332489,0.5824243873357773,0.7,0.0,0.6873510628938675,5.631451954608288,5.581316666666668,0.5516659728301511,0.5996726587237585,5.717041229274051,0.5696609789345399
2016-08-09 03:00:00,6.7,5.714742797613144,6.1,3.2,3.3329209685325623,3.5,3.300471603870392,3.1632191000000005,3.431237520115068,3.409388736307889,6.386018979549408,0.3701017946004867,0.0,0.8,0.7472816705703735,5.693478415129055,6.075996666666668,0.5178495448177733,0.275652959869173,5.715623443110581,0.3535565275088665
2016-08-09 04:00:00,5.7,6.261164385080337,6.7,2.9,3.116530269384384,3.2,3.1359803080558777,2.9442165000000013,3.151775866307798,3.3083225595645427,6.245753902196884,0.4936201572418213,0.8,0.4,0.6244613975286484,6.1577694728988215,5.940666666666663,0.537896862183497,0.4875740915431951,5.900131688120106,0.5210705268996086
2016-08-09 05:00:00,5.4,5.614242208003998,5.7,3.3,2.9105055034160614,2.9,2.9393067955970764,2.756977200000001,2.897435335043048,3.151893001254469,5.811705160140991,0.45287024974823,0.4,0.4,0.6187028288841248,5.802071049980665,5.640313333333335,0.5546352552192325,0.5378117584071097,5.185280034544315,0.4553698424525266
2016-08-09 06:00:00,5.6,5.572189152240753,5.4,3.2,3.3239071369171143,3.3,3.240096688270569,3.1871835,3.305160943514859,3.3218114078664205,6.118670600652695,0.4250410348176956,0.4,0.7,0.6904970705509186,5.38189004194608,5.812339999999996,0.6009241416483341,0.4106069039812685,5.280955032274221,0.4189388212417131
2016-08-09 07:00:00,5.8,6.2023819267749785,5.6,3.3,3.313193053007126,3.2,3.1102648973464966,3.2429472000000006,3.393170271464511,3.210332524137125,5.912642586231232,0.4678846299648285,0.7,1.1,0.6687249541282654,5.98346931262679,6.009079999999996,0.6372245714901359,0.545008976953735,5.887894785632682,0.4701577497804596
2016-08-09 08:00:00,8.0,7.044049072265626,5.8,3.5,3.5328952074050903,3.3,3.490897446870804,3.477103500000001,3.865480769880912,3.743598304128228,6.716927313804627,0.5387193560600281,1.1,0.5,0.7017784863710403,6.973550389951348,7.304956666666672,0.6143311480804576,0.6082240184786445,6.750693778871296,0.6352172744926775
2016-08-09 09:00:00,8.9,9.391943740844727,8.0,4.6,3.976575493812561,3.5,4.181428134441376,3.7910055000000007,3.982997479406456,4.544849368973622,8.897849029302598,0.4896537065505981,0.5,1.0,0.6011723130941391,9.821989811962784,9.32461666666667,0.4335977836117706,0.4297779960161867,8.833835552985176,0.41848253031474014
2016-08-09 10:00:00,10.1,10.188320887088777,8.9,6.0,5.408114433288574,4.6,5.048644781112671,4.685566700000002,4.68354061760352,5.268411764075108,10.711670780181883,0.5366715788841248,1.0,1.3,0.4748731255531311,10.16618631370115,10.426343333333335,0.3744572138594898,0.5457549704181216,9.905470532883095,0.5670536354028826
2016-08-09 11:00:00,10.8,10.950125122070313,10.1,6.1,6.332842469215393,6.0,5.709078133106232,5.6866732,5.928306032192863,5.75183587890425,11.660806131362916,0.6095850169658661,1.3,0.5,0.4079703837633133,10.773720165114437,11.374959999999987,0.3712235259366961,0.6302861593163384,10.877698546415433,0.6708700848187734
2016-08-09 12:00:00,10.0,11.205967831611634,10.8,5.9,6.134696424007416,6.1,5.678644180297852,5.648506199999999,5.756886419568354,5.6559532586996415,11.949842476844788,0.5182981789112091,0.5,1.9,0.2815509214997291,11.158980591778873,11.778296666666671,0.3307741853210597,0.5188885133446909,11.178545862429818,0.5095209575451511
2016-08-09 13:00:00,9.7,10.33116888999939,10.0,4.8,5.703936338424683,5.9,5.497580587863922,5.278742600000002,5.592118191247914,5.659864054834061,11.311637735366824,0.7720868289470673,1.9,0.3,0.4749786704778671,10.330795958928189,11.087346666666663,0.4879350072162588,0.7828680513192676,10.281246624382646,0.9170166790859339
2016-08-09 14:00:00,10.8,9.726356661319734,9.7,5.2,4.399390876293182,4.8,4.54415237903595,4.2556504,4.205122713739684,4.294447804551512,10.617278480529786,0.5118537247180939,0.3,0.0,0.3082726299762726,9.734827576898732,10.18102333333334,0.3074020634594296,0.5254339959461383,9.395939515699531,0.5483441518612437
2016-08-09 15:00:00,13.7,9.966335725784305,10.8,5.3,4.524291157722473,5.2,4.972087562084198,4.429954499999998,4.6333869715118565,4.75138228241911,11.299722933769226,0.2984231114387512,0.0,0.0,0.2190990597009658,10.048287569650803,10.731293333333335,0.1971017604953716,0.2324376703504006,9.764109065304272,0.3195422699242019
2016-08-09 16:00:00,9.4,11.156492018699646,13.7,4.3,4.502297043800354,5.3,5.117329180240631,4.408168000000002,4.583943240134866,4.729053256900159,12.13925635814667,0.1880617663264274,0.0,0.0,0.2555179595947265,11.186226269070008,11.50166333333332,0.1866907798218725,0.1240977061648675,11.424690470935564,0.2445702441212394
2016-08-09 17:00:00,9.3,8.584188562631608,9.4,3.8,3.646890699863434,4.3,3.8594155311584473,3.690018900000001,3.5372557683329338,3.8274004988222265,9.841267907619477,0.1446931287646293,0.0,0.4,0.2435527145862579,8.023155986148716,9.040313333333325,0.1876793165134051,0.1335554188307774,8.122556711738014,0.22832061326170344
