second,Street,Mean velocity,Vehicles
0.041666666666666664,Patria Av. West-east,0.0,26.90909090909091
0.041666666666666664,Patria Av. East-west,0.0,18.5
0.041666666666666664,Underpass Patria- 10 de Agosto,0.0,11.772727272727273
0.041666666666666664,10 de Agosto North-south / Puente del Guambra,0.0,5.045454545454545
0.041666666666666664,10 de Agosto South-north / El Ejido park,0.0,11.772727272727273
0.08333333333333333,Patria Av. West-east,9.928196382679375e-05,26.90909090909091
0.08333333333333333,Patria Av. East-west,0.0,18.5
0.08333333333333333,Underpass Patria- 10 de Agosto,8.719308035714285e-06,11.772727272727273
0.08333333333333333,10 de Agosto North-south / Puente del Guambra,0.0,5.045454545454545
0.08333333333333333,10 de Agosto South-north / El Ejido park,1.743861607142857e-05,11.772727272727273
0.125,Patria Av. West-east,0.0001293789711375625,26.90909090909091
0.125,Patria Av. East-west,0.0,18.5
0.125,Underpass Patria- 10 de Agosto,8.719308035714285e-06,11.772727272727273
0.125,10 de Agosto North-south / Puente del Guambra,4.0690104166666664e-05,5.045454545454545
0.125,10 de Agosto South-north / El Ejido park,0.0,11.772727272727273
0.16666666666666666,Patria Av. West-east,1.986888207268161,26.666666666666668
0.16666666666666666,Patria Av. East-west,4.928882305147182,18.333333333333332
0.16666666666666666,Underpass Patria- 10 de Agosto,0.19529375940352703,11.666666666666666
0.16666666666666666,10 de Agosto North-south / Puente del Guambra,1.2080359730593893,5.0
0.16666666666666666,10 de Agosto South-north / El Ejido park,2.2854088008313984,13.333333333333334
0.20833333333333334,Patria Av. West-east,1.877935390436692,26.666666666666668
0.20833333333333334,Patria Av. East-west,4.43863250806705,18.333333333333332
0.20833333333333334,Underpass Patria- 10 de Agosto,0.3102784943840079,11.666666666666666
0.20833333333333334,10 de Agosto North-south / Puente del Guambra,0.9742537213643528,5.0
0.20833333333333334,10 de Agosto South-north / El Ejido park,1.6177412704028387,13.333333333333334
0.25,Patria Av. West-east,1.645617654197267,26.90909090909091
0.25,Patria Av. East-west,5.02742142758895,18.5
0.25,Underpass Patria- 10 de Agosto,1.2632240213960468,11.772727272727273
0.25,10 de Agosto North-south / Puente del Guambra,0.8360765826676783,5.045454545454545
0.25,10 de Agosto South-north / El Ejido park,2.4508304101436016,11.772727272727273
0.2916666666666667,Patria Av. West-east,1.8774418605768606,26.90909090909091
0.2916666666666667,Patria Av. East-west,4.665695903619329,18.5
0.2916666666666667,Underpass Patria- 10 de Agosto,0.7607006501931239,11.772727272727273
0.2916666666666667,10 de Agosto North-south / Puente del Guambra,1.2727307410292754,5.045454545454545
0.2916666666666667,10 de Agosto South-north / El Ejido park,1.9823665258730827,11.772727272727273
0.3333333333333333,Patria Av. West-east,2.3431338846852783,26.90909090909091
0.3333333333333333,Patria Av. East-west,5.058233609944446,18.5
0.3333333333333333,Underpass Patria- 10 de Agosto,0.34086166033006104,11.772727272727273
0.3333333333333333,10 de Agosto North-south / Puente del Guambra,1.386977907613162,5.045454545454545
0.3333333333333333,10 de Agosto South-north / El Ejido park,2.0207983609102875,11.772727272727273
0.375,Patria Av. West-east,2.055698493564511,27.162790697674417
0.375,Patria Av. East-west,5.377815811095386,18.674418604651162
0.375,Underpass Patria- 10 de Agosto,0.6040755051465005,11.88372093023256
0.375,10 de Agosto North-south / Puente del Guambra,0.9351201317336879,5.093023255813954
0.375,10 de Agosto South-north / El Ejido park,2.8225393983455596,10.186046511627907
0.4166666666666667,Patria Av. West-east,1.9092429168972314,26.666666666666668
0.4166666666666667,Patria Av. East-west,4.357710482641579,18.333333333333332
0.4166666666666667,Underpass Patria- 10 de Agosto,0.6513987376393207,11.666666666666666
0.4166666666666667,10 de Agosto North-south / Puente del Guambra,1.8932214612931784,5.0
0.4166666666666667,10 de Agosto South-north / El Ejido park,2.6199806030773125,13.333333333333334
0.4583333333333333,Patria Av. West-east,2.090071568110679,26.90909090909091
0.4583333333333333,Patria Av. East-west,4.462900908097708,18.5
0.4583333333333333,Underpass Patria- 10 de Agosto,0.8990548674120504,11.772727272727273
0.4583333333333333,10 de Agosto North-south / Puente del Guambra,0.8528974613828991,5.045454545454545
0.4583333333333333,10 de Agosto South-north / El Ejido park,1.8290617617458707,11.772727272727273
0.5,Patria Av. West-east,1.8748865501725014,26.90909090909091
0.5,Patria Av. East-west,5.2259312766742205,18.5
0.5,Underpass Patria- 10 de Agosto,0.28527733117213605,11.772727272727273
0.5,10 de Agosto North-south / Puente del Guambra,1.5057587399469836,5.045454545454545
0.5,10 de Agosto South-north / El Ejido park,1.898090452905736,11.772727272727273
0.5416666666666666,Patria Av. West-east,1.7370740371127422,28.59090909090909
0.5416666666666666,Patria Av. East-west,4.7535871668961,18.5
0.5416666666666666,Underpass Patria- 10 de Agosto,0.2736073154620135,11.772727272727273
0.5416666666666666,10 de Agosto North-south / Puente del Guambra,1.8326894475228792,5.045454545454545
0.5416666666666666,10 de Agosto South-north / El Ejido park,2.685020756689639,10.09090909090909
0.5833333333333334,Patria Av. West-east,1.2389779617942214,28.333333333333332
0.5833333333333334,Patria Av. East-west,3.89133043903675,18.333333333333332
0.5833333333333334,Underpass Patria- 10 de Agosto,0.35077520906602216,11.666666666666666
0.5833333333333334,10 de Agosto North-south / Puente del Guambra,1.766299524068045,5.0
0.5833333333333334,10 de Agosto South-north / El Ejido park,1.0415162142578365,11.666666666666666
0.625,Patria Av. West-east,2.0000059733970073,28.59090909090909
0.625,Patria Av. East-west,4.940454395409837,18.5
0.625,Underpass Patria- 10 de Agosto,0.8991882891632441,11.772727272727273
