FECHA,variable,value,Year,Month,Day,DayOfWeek,Hour
1989-01-10,QH0889,72.78,1989,1,10,1,0
1989-01-11,QH0889,50.67,1989,1,11,2,0
1989-01-12,QH0889,27.39,1989,1,12,3,0
1990-01-01,QH0889,88.55,1990,1,1,0,0
1990-01-02,QH0889,72.81,1990,1,2,1,0
1990-01-03,QH0889,145.55,1990,1,3,2,0
1990-01-04,QH0889,98.78,1990,1,4,3,0
1990-01-05,QH0889,84.0,1990,1,5,4,0
1990-01-06,QH0889,175.93,1990,1,6,5,0
1990-01-07,QH0889,109.5,1990,1,7,6,0
1990-01-08,QH0889,74.42,1990,1,8,0,0
1990-01-09,QH0889,60.56,1990,1,9,1,0
1990-01-10,QH0889,46.55,1990,1,10,2,0
1990-01-11,QH0889,77.09,1990,1,11,3,0
1990-01-12,QH0889,84.84,1990,1,12,4,0
1991-01-01,QH0889,53.26,1991,1,1,1,0
1991-01-02,QH0889,97.56,1991,1,2,2,0
1991-01-03,QH0889,89.39,1991,1,3,3,0
1991-01-04,QH0889,71.2,1991,1,4,4,0
1991-01-05,QH0889,79.93,1991,1,5,5,0
1991-01-06,QH0889,103.78,1991,1,6,6,0
1991-01-07,QH0889,124.92,1991,1,7,0,0
1991-01-08,QH0889,72.19,1991,1,8,1,0
1991-01-09,QH0889,47.68,1991,1,9,2,0
1991-01-10,QH0889,46.28,1991,1,10,3,0
1991-01-11,QH0889,39.9,1991,1,11,4,0
1991-01-12,QH0889,32.84,1991,1,12,5,0
1992-01-01,QH0889,48.7,1992,1,1,2,0
1992-01-02,QH0889,46.9,1992,1,2,3,0
1992-01-03,QH0889,92.35,1992,1,3,4,0
1992-01-04,QH0889,58.83,1992,1,4,5,0
1992-01-05,QH0889,117.26,1992,1,5,6,0
1992-01-06,QH0889,120.82,1992,1,6,0,0
1992-01-07,QH0889,59.04,1992,1,7,1,0
1992-01-08,QH0889,74.79,1992,1,8,2,0
1992-01-09,QH0889,45.18,1992,1,9,3,0
1992-01-10,QH0889,42.68,1992,1,10,4,0
1992-01-11,QH0889,62.66,1992,1,11,5,0
1992-01-12,QH0889,69.93,1992,1,12,6,0
1993-01-01,QH0889,51.97,1993,1,1,4,0
1993-01-02,QH0889,63.71,1993,1,2,5,0
1993-01-03,QH0889,102.23,1993,1,3,6,0
1993-01-04,QH0889,93.82,1993,1,4,0,0
1993-01-05,QH0889,51.86,1993,1,5,1,0
1993-01-06,QH0889,135.74,1993,1,6,2,0
1993-01-07,QH0889,104.69,1993,1,7,3,0
1993-01-08,QH0889,86.0,1993,1,8,4,0
1993-01-09,QH0889,74.2,1993,1,9,5,0
1993-01-10,QH0889,78.33,1993,1,10,6,0
1993-01-11,QH0889,58.03,1993,1,11,0,0
1993-01-12,QH0889,98.45,1993,1,12,1,0
1994-01-01,QH0889,70.14,1994,1,1,5,0
1994-01-02,QH0889,90.09,1994,1,2,6,0
1994-01-03,QH0889,116.1,1994,1,3,0,0
1994-01-04,QH0889,117.28,1994,1,4,1,0
1994-01-05,QH0889,157.58,1994,1,5,2,0
1994-01-06,QH0889,142.51,1994,1,6,3,0
1994-01-07,QH0889,85.73,1994,1,7,4,0
1994-01-08,QH0889,91.96,1994,1,8,5,0
1994-01-09,QH0889,61.49,1994,1,9,6,0
1994-01-10,QH0889,49.92,1994,1,10,0,0
1994-01-11,QH0889,68.9,1994,1,11,1,0
1994-01-12,QH0889,95.61,1994,1,12,2,0
1995-01-01,QH0889,65.62,1995,1,1,6,0
1995-01-02,QH0889,48.49,1995,1,2,0,0
1995-01-03,QH0889,57.33,1995,1,3,1,0
1995-01-04,QH0889,45.01,1995,1,4,2,0
1995-01-05,QH0889,86.04,1995,1,5,3,0
1995-01-06,QH0889,66.6,1995,1,6,4,0
1995-01-07,QH0889,80.38,1995,1,7,5,0
1995-01-08,QH0889,36.27,1995,1,8,6,0
1995-01-09,QH0889,37.92,1995,1,9,0,0
1995-01-10,QH0889,30.96,1995,1,10,1,0
1995-01-11,QH0889,44.64,1995,1,11,2,0
1995-01-12,QH0889,38.75,1995,1,12,3,0
1996-01-01,QH0889,35.0,1996,1,1,0,0
1996-01-02,QH0889,59.6,1996,1,2,1,0
1996-01-03,QH0889,53.79,1996,1,3,2,0
1996-01-04,QH0889,58.87,1996,1,4,3,0
1996-01-05,QH0889,66.93,1996,1,5,4,0
1996-01-06,QH0889,64.94,1996,1,6,5,0
1996-01-07,QH0889,98.77,1996,1,7,6,0
1996-01-08,QH0889,73.86,1996,1,8,0,0
1996-01-09,QH0889,58.92,1996,1,9,1,0
1996-01-10,QH0889,51.87,1996,1,10,2,0
1996-01-11,QH0889,44.25,1996,1,11,3,0
1996-01-12,QH0889,47.89,1996,1,12,4,0
1997-01-01,QH0889,30.4,1997,1,1,2,0
1997-01-02,QH0889,101.55,1997,1,2,3,0
1997-01-03,QH0889,116.14,1997,1,3,4,0
1997-01-04,QH0889,110.18,1997,1,4,5,0
1997-01-05,QH0889,150.67,1997,1,5,6,0
1997-01-06,QH0889,63.95,1997,1,6,0,0
1997-01-07,QH0889,122.47,1997,1,7,1,0
1997-01-08,QH0889,102.03,1997,1,8,2,0
1997-01-09,QH0889,64.57,1997,1,9,3,0
1997-01-10,QH0889,38.57,1997,1,10,4,0
1997-01-11,QH0889,60.26,1997,1,11,5,0
1997-01-12,QH0889,79.4,1997,1,12,6,0
1998-01-01,QH0889,68.03,1998,1,1,3,0
1998-01-02,QH0889,49.89,1998,1,2,4,0
1998-01-03,QH0889,59.74,1998,1,3,5,0
1998-01-04,QH0889,88.82,1998,1,4,6,0
1998-01-05,QH0889,72.62,1998,1,5,0,0
1998-01-06,QH0889,133.93,1998,1,6,1,0
1998-01-07,QH0889,105.36,1998,1,7,2,0
1998-01-08,QH0889,61.88,1998,1,8,3,0
1998-01-09,QH0889,41.33,1998,1,9,4,0
1998-01-10,QH0889,75.73,1998,1,10,5,0
1998-01-11,QH0889,75.73,1998,1,11,6,0
1998-01-12,QH0889,75.73,1998,1,12,0,0
1999-01-01,QH0889,79.51,1999,1,1,4,0
1999-01-02,QH0889,75.99,1999,1,2,5,0
1999-01-03,QH0889,69.48,1999,1,3,6,0
1999-01-04,QH0889,173.18,1999,1,4,0,0
1999-01-05,QH0889,136.87,1999,1,5,1,0
1999-01-06,QH0889,129.43,1999,1,6,2,0
1999-01-07,QH0889,146.98,1999,1,7,3,0
1999-01-08,QH0889,96.41,1999,1,8,4,0
1999-01-09,QH0889,108.68,1999,1,9,5,0
1999-01-10,QH0889,64.15,1999,1,10,6,0
1999-01-11,QH0889,34.64,1999,1,11,0,0
1999-01-12,QH0889,33.23,1999,1,12,1,0
2000-01-01,QH0889,45.71,2000,1,1,5,0
2000-01-02,QH0889,52.81,2000,1,2,6,0
2000-01-03,QH0889,62.4,2000,1,3,0,0
2000-01-04,QH0889,86.39,2000,1,4,1,0
2000-01-05,QH0889,69.43,2000,1,5,2,0
2000-01-06,QH0889,76.67,2000,1,6,3,0
2000-01-07,QH0889,76.68,2000,1,7,4,0
2000-01-08,QH0889,85.05,2000,1,8,5,0
2000-01-09,QH0889,96.01,2000,1,9,6,0
2000-01-10,QH0889,62.19,2000,1,10,0,0
2000-01-11,QH0889,55.35,2000,1,11,1,0
2000-01-12,QH0889,74.11,2000,1,12,2,0
2001-01-01,QH0889,49.18,2001,1,1,0,0
2001-01-02,QH0889,45.53,2001,1,2,1,0
2001-01-03,QH0889,81.89,2001,1,3,2,0
2001-01-04,QH0889,79.73,2001,1,4,3,0
2001-01-05,QH0889,103.16,2001,1,5,4,0
2001-01-06,QH0889,225.03,2001,1,6,5,0
2001-01-07,QH0889,97.42,2001,1,7,6,0
2001-01-08,QH0889,97.42,2001,1,8,0,0
2001-01-09,QH0889,97.42,2001,1,9,1,0
2001-01-10,QH0889,97.42,2001,1,10,2,0
2001-01-11,QH0889,97.42,2001,1,11,3,0
2001-01-12,QH0889,97.42,2001,1,12,4,0
2002-01-01,QH0889,66.08,2002,1,1,1,0
2002-01-02,QH0889,44.8,2002,1,2,2,0
2002-01-03,QH0889,30.85,2002,1,3,3,0
2002-01-04,QH0889,47.86,2002,1,4,4,0
2002-01-05,QH0889,47.4,2002,1,5,5,0
2002-01-06,QH0889,47.4,2002,1,6,6,0
2002-01-07,QH0889,47.4,2002,1,7,0,0
2002-01-08,QH0889,47.4,2002,1,8,1,0
2002-01-09,QH0889,47.4,2002,1,9,2,0
2002-01-10,QH0889,47.4,2002,1,10,3,0
2002-01-11,QH0889,47.4,2002,1,11,4,0
2002-01-12,QH0889,47.4,2002,1,12,5,0
2003-01-01,QH0889,65.12,2003,1,1,2,0
2003-01-02,QH0889,69.36,2003,1,2,3,0
2003-01-03,QH0889,67.59,2003,1,3,4,0
2003-01-04,QH0889,201.48,2003,1,4,5,0
2003-01-05,QH0889,187.74,2003,1,5,6,0
2003-01-06,QH0889,311.11,2003,1,6,0,0
2003-01-07,QH0889,308.4,2003,1,7,1,0
2003-01-08,QH0889,49.29,2003,1,8,2,0
2003-01-09,QH0889,47.81,2003,1,9,3,0
2003-01-10,QH0889,41.48,2003,1,10,4,0
2003-01-11,QH0889,23.25,2003,1,11,5,0
2003-01-12,QH0889,115.39,2003,1,12,6,0
2004-01-01,QH0889,156.92,2004,1,1,3,0
2004-01-02,QH0889,126.61,2004,1,2,4,0
2004-01-03,QH0889,44.32,2004,1,3,5,0
2004-01-04,QH0889,60.75,2004,1,4,6,0
2004-01-05,QH0889,58.87,2004,1,5,0,0
2004-01-06,QH0889,216.43,2004,1,6,1,0
2004-01-07,QH0889,133.53,2004,1,7,2,0
2004-01-08,QH0889,84.6,2004,1,8,3,0
2004-01-09,QH0889,49.75,2004,1,9,4,0
2004-01-10,QH0889,56.35,2004,1,10,5,0
2004-01-11,QH0889,58.82,2004,1,11,6,0
2004-01-12,QH0889,90.94,2004,1,12,0,0
2005-01-01,QH0889,35.75,2005,1,1,5,0
2005-01-02,QH0889,100.45,2005,1,2,6,0
2005-01-03,QH0889,169.51,2005,1,3,0,0
2005-01-04,QH0889,114.3,2005,1,4,1,0
2005-01-05,QH0889,67.55,2005,1,5,2,0
2005-01-06,QH0889,174.08,2005,1,6,3,0
2005-01-07,QH0889,115.19,2005,1,7,4,0
2005-01-08,QH0889,51.9,2005,1,8,5,0
2005-01-09,QH0889,65.93,2005,1,9,6,0
2005-01-10,QH0889,99.41,2005,1,10,0,0
2005-01-11,QH0889,99.41,2005,1,11,1,0
2005-01-12,QH0889,99.41,2005,1,12,2,0
2006-01-01,QH0889,92.13,2006,1,1,6,0
2006-01-02,QH0889,88.92,2006,1,2,0,0
2006-01-03,QH0889,78.25,2006,1,3,1,0
2006-01-04,QH0889,57.34,2006,1,4,2,0
2006-01-05,QH0889,69.78,2006,1,5,3,0
2006-01-06,QH0889,95.12,2006,1,6,4,0
2006-01-07,QH0889,100.83,2006,1,7,5,0
2006-01-08,QH0889,61.13,2006,1,8,6,0
2006-01-09,QH0889,48.92,2006,1,9,0,0
2006-01-10,QH0889,45.43,2006,1,10,1,0
2006-01-11,QH0889,38.73,2006,1,11,2,0
2006-01-12,QH0889,59.94,2006,1,12,3,0
2007-01-01,QH0889,107.58,2007,1,1,0,0
2007-01-02,QH0889,55.47,2007,1,2,1,0
2007-01-03,QH0889,62.01,2007,1,3,2,0
2007-01-04,QH0889,70.95,2007,1,4,3,0
2007-01-05,QH0889,86.93,2007,1,5,4,0
2007-01-06,QH0889,185.8,2007,1,6,5,0
2007-01-07,QH0889,65.19,2007,1,7,6,0
2007-01-08,QH0889,100.64,2007,1,8,0,0
2007-01-09,QH0889,72.04,2007,1,9,1,0
2007-01-10,QH0889,44.49,2007,1,10,2,0
2007-01-11,QH0889,103.44,2007,1,11,3,0
2007-01-12,QH0889,44.87,2007,1,12,4,0
2008-01-01,QH0889,66.43,2008,1,1,1,0
2008-01-02,QH0889,95.8,2008,1,2,2,0
2008-01-03,QH0889,72.39,2008,1,3,3,0
2008-01-04,QH0889,77.91,2008,1,4,4,0
2008-01-05,QH0889,65.75,2008,1,5,5,0
2008-01-06,QH0889,74.72,2008,1,6,6,0
2008-01-07,QH0889,121.99,2008,1,7,0,0
2008-01-08,QH0889,94.58,2008,1,8,1,0
2008-01-09,QH0889,67.83,2008,1,9,2,0
2008-01-10,QH0889,58.76,2008,1,10,3,0
2008-01-11,QH0889,39.1,2008,1,11,4,0
2008-01-12,QH0889,34.5,2008,1,12,5,0
2009-01-01,QH0889,63.39,2009,1,1,3,0
2009-01-02,QH0889,62.16,2009,1,2,4,0
2009-01-03,QH0889,68.85,2009,1,3,5,0
2009-01-04,QH0889,92.12,2009,1,4,6,0
2009-01-05,QH0889,75.56,2009,1,5,0,0
2009-01-06,QH0889,94.62,2009,1,6,1,0
2009-01-07,QH0889,131.84,2009,1,7,2,0
2009-01-08,QH0889,93.5,2009,1,8,3,0
2009-01-09,QH0889,64.3,2009,1,9,4,0
2009-01-10,QH0889,61.92,2009,1,10,5,0
2009-01-11,QH0889,40.25,2009,1,11,6,0
2009-01-12,QH0889,79.32,2009,1,12,0,0
2010-01-01,QH0889,73.94,2010,1,1,4,0
2010-01-02,QH0889,76.09,2010,1,2,5,0
2010-01-03,QH0889,70.49,2010,1,3,6,0
2010-01-04,QH0889,68.97,2010,1,4,0,0
2010-01-05,QH0889,101.02,2010,1,5,1,0
2010-01-06,QH0889,153.76,2010,1,6,2,0
2010-01-07,QH0889,133.19,2010,1,7,3,0
2010-01-08,QH0889,44.98,2010,1,8,4,0
2010-01-09,QH0889,45.85,2010,1,9,5,0
2010-01-10,QH0889,24.47,2010,1,10,6,0
2010-01-11,QH0889,16.8,2010,1,11,0,0
2010-01-12,QH0889,18.01,2010,1,12,1,0
2011-01-01,QH0889,25.06,2011,1,1,5,0
2011-01-02,QH0889,55.59,2011,1,2,6,0
2011-01-03,QH0889,29.79,2011,1,3,0,0
2011-01-04,QH0889,74.25,2011,1,4,1,0
2011-01-05,QH0889,61.37,2011,1,5,2,0
2011-01-06,QH0889,89.31,2011,1,6,3,0
2011-01-07,QH0889,196.17,2011,1,7,4,0
2011-01-08,QH0889,61.01,2011,1,8,5,0
