PIB,IPC,BalanzaPagos,Desemp1000,DeudaGobMill,DefSupPublMill,IngresosImpMill,ÍndConfianzaConsum,TasaInterés,ExportMill,ImportMill,CréditCasaMill,DeudaPrivMill,ConsumFinHogEmprMill,GastoFinGobMill,TasaAhorroHogr
13488.97,110.86,-103847.11,44674.00,14896426.18,-293358.55,185443.63,1.03,3.49,408049.76,524189.03,12748030.48,12147.16,8318190.85,1957862.18,5.90
13581.69,110.95,-106827.49,43765.00,15210235.99,-292026.64,153186.72,0.95,2.79,422119.28,538725.84,12632487.95,12021.79,8368385.01,1951985.91,5.80
13676.05,111.22,-91612.13,43990.00,15482126.24,-290543.90,161430.74,0.99,2.86,444669.35,551283.72,12400879.84,11865.13,8435591.15,1928525.71,5.50
13631.75,112.60,-106047.20,41516.00,15638348.79,-290557.07,160940.20,1.02,3.46,454480.35,573768.53,12178070.83,11779.52,8374984.43,1878175.43,6.20
13739.11,114.54,-107169.67,41788.00,15803332.11,-288697.58,199583.69,1.00,3.21,463165.78,584413.09,11895787.55,11636.41,8263251.99,1842698.45,5.80
13785.61,115.02,-95348.13,41510.00,16342171.76,-286893.20,155177.96,0.83,2.43,472049.86,588513.53,11780720.72,11534.93,8271079.76,1824664.01,5.70
13950.35,114.86,-98927.76,40020.00,16527314.35,-286524.47,161054.48,0.90,2.05,471686.96,594849.59,11743507.75,11511.19,8332016.74,1820334.71,5.10
14078.03,115.71,-108788.44,38265.00,16665512.27,-238478.33,162485.61,1.05,2.04,473241.02,598083.16,11590707.83,11455.83,8330501.76,1811881.37,5.50
14120.22,116.62,-103867.56,37994.00,16910762.78,-237434.69,202882.38,1.06,1.82,475197.51,593560.65,11443888.04,11445.39,8304159.64,1795901.14,5.40
14217.51,116.84,-97471.15,37232.00,17019000.97,-236211.64,158333.12,1.04,1.64,475179.94,585172.94,11380821.73,11324.90,8323273.76,1815869.28,4.90
14222.64,116.76,-91623.47,36456.00,17320630.92,-235371.49,167024.36,1.11,1.71,479238.70,587661.21,11368422.50,11298.41,8363734.24,1785417.53,6.50
