"PRECIPITATION.mm.","X","Y","PL3"
9.3,-1.09798727801543,1.56285761901597,"M"
0.1,-2.60245214751375,-0.948758567761603,"M"
0,-3.23819990151882,0.1079879521219,"M"
0,1.80798044102177,1.81240357671318,"H"
0,1.48223153978572,1.47346179538679,"M"
0.1,0.195843226440116,2.36189445798442,"M"
0,0.999918946916921,2.32401852393576,"M"
0,1.85774701010377,1.51946571085053,"M"
0.6,2.3665692038584,0.551588799151165,"M"
0.8,-1.3269606684206,1.81705128834185,"M"
0.9,-2.16611485347452,1.22802542382358,"M"
0.1,-1.95561466417879,1.89049498419035,"M"
0.2,-2.02306823173198,1.27251519824199,"M"
0,-2.92355337462033,1.75525942975563,"M"
4.6,0.511070078657611,2.32448002243532,"M"
2.2,-1.18380292899759,1.71026624397979,"M"
0.1,-2.63606107306077,1.93496305367665,"L"
0,-1.7183272240246,2.73500485395838,"M"
0,-4.06731053782755,-0.516705901724524,"M"
0,-3.71901652643701,0.780330747880903,"L"
0,-1.96986830569537,2.11464390813604,"M"
0,-5.91315027325102,-0.661176108122037,"L"
0,-4.95684204180502,-2.36004596832228,"L"
0,-3.79052566985169,-2.60613030107771,"M"
0,-3.4798257784209,-2.94693273622547,"M"
0,-3.6406647467326,-2.30687238526505,"L"
0.2,0.806883406384394,2.54515994949267,"M"
0,-2.99302057310513,0.636732164233484,"M"
0,0.666246968775241,2.60618782450494,"M"
0,1.75867685598487,2.17877390204289,"M"
0,1.75487309494405,1.5928968644082,"M"
1.1,0.810015861877547,2.13126120020676,"M"
5.4,1.38737212418014,2.17522380205989,"M"
0.1,1.89401123860881,1.55409826845779,"M"
0,0.669136527939332,2.31524432986614,"M"
0.7,1.86232480110446,1.13320180691315,"H"
0.1,1.09344048218442,2.54505165211245,"M"
0,1.39293281359517,2.13593964727701,"M"
0.2,-1.24699276970467,2.03889897550229,"M"
0,2.81524033872345,0.504005788879712,"M"
2.6,-1.25230055475983,2.10576430792913,"M"
0,-2.57755255102273,-2.90010738537666,"M"
0,-4.12335759940185,-0.234141212636747,"M"
0,-4.22684760952685,-0.892277583399461,"M"
0,-5.56085939347606,-1.10713269574568,"L"
0.1,-4.85099534859457,-0.691262705426711,"L"
0,1.36305505940641,2.01171093972931,"M"
0,1.25567850308157,1.96269495767907,"M"
3.9,-2.33999227302472,1.53767231950914,"M"
6.6,-0.670792274876492,2.17909103159231,"M"
0,-2.000996663509,2.27528291705138,"M"
0.1,0.382827630769894,2.18674255574796,"M"
0,1.14429270195192,2.07545036371858,"M"
0,1.87813615456931,1.6651440132612,"M"
2.6,-1.13893150486451,1.74046977199464,"M"
0,0.62256641708239,2.5655430334183,"M"
1.1,-2.93545105104437,-0.790396816113608,"M"
0.3,-3.95608842562099,-2.22732224176647,"M"
0,-4.78113614911139,0.526153137081142,"M"
0,1.23017500020334,2.77997652307977,"M"
4.6,0.586096941000966,2.40974902754401,"H"
0,1.30789670843133,2.22391685997352,"M"
0.2,1.08976255163734,2.30541050163498,"M"
1.1,2.06070016677608,1.7600042109748,"M"
0.2,-0.172766291991069,2.66440458796176,"M"
0,0.437141395008682,3.22046695383913,"M"
0.1,-4.13842597461231,-0.114151008117249,"M"
0,-0.952639527786192,2.61168105443588,"M"
0.1,-2.59895312175851,2.43290827424745,"M"
0,-4.0600639615665,-0.859290770338507,"M"
0,-2.90119500298481,-2.63618427934315,"M"
0,-4.20015997897684,2.08680524989785,"L"
0,-2.48769937265431,-3.23384474446368,"M"
0,-4.08662616867453,2.32152677294589,"L"
2.4,-3.68854179971805,-2.81500610864928,"M"
0,-2.74320971265223,1.44388381541261,"H"
0,-4.18179253397672,1.04341324640649,"M"
0.1,2.84724345808991,0.360700277743478,"M"
0,0.446475574125649,3.8944909245894,"M"
0,-1.18904054254967,2.75430255930121,"M"
0.2,-2.7513889657757,-1.19576701702619,"M"
0,1.11420766301634,2.33808496074793,"M"
1.3,-3.53009402993941,-1.03963269465044,"M"
0,-2.70413688420999,-2.26904026219348,"M"
0,-1.31798436135293,3.02537885614829,"M"
0,-6.23347716738391,-0.285240957268601,"L"
0.1,-4.42483956844797,-4.15520093298714,"H"
0,-4.49290352712006,0.652240673365396,"H"
11,-3.39981763080272,-2.69756187645122,"M"
8.2,-2.37886605854792,-1.4577709955575,"M"
3.3,-1.99094560556218,1.56110076410609,"M"
1,0.981859675485828,1.87892298342824,"H"
13.7,1.58873334067142,1.27965869365196,"H"
16.6,0.741827989232721,2.11359675302337,"H"
12.2,1.09128988121253,1.8292037598811,"H"
8.2,0.796981695958978,2.13616951019959,"M"
0,-2.23253167879623,-0.182762969912673,"H"
15.8,1.88608572540845,0.495157183539207,"H"
5,1.67545526809455,1.45645104435893,"M"
1.7,-0.0803243717943751,2.40866103785814,"H"
6.4,-1.2565776893801,2.1958853591552,"H"
2.1,-0.43849445750864,1.73546034548019,"M"
0.2,-0.269596863437419,2.04228243179652,"H"
0,-0.310613116195354,1.85416274691501,"H"
0,0.484089871275704,2.46287575742835,"H"
0,0.309327732955353,2.7023538542583,"M"
0,0.00477521734238052,2.27999499940226,"H"
0,0.058809914065906,2.38927633270151,"H"
0,0.305630705146995,2.29978039648818,"H"
0,-1.17257363488783,1.76620244331332,"H"
0,0.484036457047507,2.27916842472181,"M"
0,-0.3812336964879,2.36952756233435,"H"
5.7,-0.976001097306823,1.75713455889294,"H"
0,0.0377215927790442,2.13966751656378,"M"
0,0.47013154002649,2.61812458356594,"H"
33.1,0.195963004617966,2.51236910123117,"M"
0,0.19157855006857,2.27193698397504,"H"
1.7,0.455531733718888,2.70186802778653,"H"
0,0.877193729040703,2.52179126053916,"H"
0,1.88576933442173,1.62603014035861,"M"
0,-0.157673971657286,2.46496225501767,"H"
0,-2.06260006864473,3.26271067623636,"M"
0,-1.68435642501196,2.17380850893562,"M"
1,0.0219629217951943,2.41990033473823,"H"
19.5,-1.04530085066207,2.0037330489876,"H"
23.4,-1.26488422049477,1.78778295907063,"H"
0,-0.259753516720086,2.73770489836862,"M"
0.1,-1.03388215908296,2.30910971613086,"M"
3.7,-0.219192395399941,2.99198173353362,"M"
5.8,-1.08339702578542,2.64685679335307,"M"
14.1,-1.27261352791714,1.84338135190803,"H"
0,-3.02353801642727,-1.46554353849317,"M"
0,-2.34929214276268,-2.06826652730095,"M"
0,-1.77913029315631,1.56575713313832,"M"
0,-1.26180257322269,1.83868275300787,"M"
0,-0.507806209743359,2.68235584017969,"M"
0,-1.47058713121078,2.25243723320257,"H"
0.9,-0.200628232793789,2.71259070119435,"H"
3.2,-0.207916603678789,2.64183093439279,"M"
0.5,0.0536543478950829,2.51942874694879,"H"
4.1,-0.308582026069299,2.59169387335522,"H"
18.3,-0.965796295769493,1.57789021008368,"M"
0.1,-0.529826830932301,1.81421705681107,"M"
4.3,-0.173406644570834,2.21321714606106,"M"
18.8,-0.598891758653453,2.01279126126307,"M"
5.7,0.686985040377624,2.26824856536874,"M"
0,0.451257605010412,2.03045969522182,"M"
0,1.42319367329184,1.93249056098654,"M"
1,1.0161191578504,2.31698119479839,"M"
5.2,0.529506838008656,2.40233688488981,"M"
0,1.96655709184779,0.868995514662291,"M"
0,1.54464090977303,2.37128329388446,"M"
2.4,0.782669600265744,2.48988519751812,"H"
0.1,0.000441568298513431,2.5299999614659,"M"
2.4,-0.0240502941036722,2.59988876365,"M"
0,-1.97226472793053,1.95922735867002,"M"
0.3,1.14363120546741,2.44583475849885,"M"
4.3,1.01304636758439,2.48115639513596,"M"
13.7,-0.194979663096901,2.52247555607158,"M"
5,0.58885049423496,1.75378308106768,"M"
5.4,-0.124282133243556,1.51491054236098,"M"
0,1.02798092675308,1.71559179708691,"M"
2,0.519988502327009,1.85863174336599,"M"
7.1,0.187431137807962,2.07153797179294,"M"
0.2,0.357228059723885,2.3732652850758,"M"
2.1,-0.53235709710056,2.73873984181898,"M"
0,0.886354137806276,2.04628354398741,"M"
0.5,1.16833115159008,2.43413276552948,"M"
2.2,0.803627668183798,2.58810404947898,"M"
2.7,0.744328056828714,1.67178818748596,"M"
0,-0.821817644325527,1.70037846591143,"M"
40.3,-0.140173594581992,1.29242073775608,"M"
27.1,-0.27714701633948,1.29057720859084,"M"
5.7,-0.161487272351691,1.41078767391426,"M"
16.5,0.137791323373332,1.23232039308088,"M"
16.8,-0.664930114924779,1.16338641141545,"M"
0,1.07087421825098,0.932538690181458,"M"
0,0.765049294864148,1.18439840274625,"M"
0,1.39003531960766,1.38181106170244,"M"
0,0.313598862411584,1.76231545232236,"M"
0.1,1.10483734330125,1.18479299662306,"M"
0,-0.0871932810683679,1.69776244855885,"M"
0,0.438339307602883,1.56995498388018,"M"
1.7,0.871216342520218,1.159086745902,"M"
0,0.653709367851085,1.43842415941326,"M"
0,0.16262255209967,1.89302770860561,"M"
16.1,-0.844900696030751,0.93474211087698,"M"
36.5,-1.1661135181497,0.719082236457362,"M"
26.5,-0.995976923737499,0.651252614107911,"M"
26.5,-0.111053247339675,1.1948502735721,"M"
18.6,-0.783840457541229,0.895373741585912,"M"
6.3,-0.724175225953612,1.11555826477824,"M"
9.7,-0.655230354606489,0.981362920841344,"M"
11.4,-0.426081238491794,1.30205790124913,"M"
25.1,-0.975614522306058,1.19154366427149,"H"
0,-0.737562106377029,1.20170800914227,"H"
3.2,-0.790117077103612,1.34510780403254,"M"
0.7,-0.948799782502482,1.44660947484912,"H"
