PIB,IPC,BalanzaPagos,Desemp1000,DeudaGobMill,DefSupPublMill,IngresosImpMill,ÍndConfianzaConsum,TasaInterés,ExportMill,ImportMill,CréditCasaMill,DeudaPrivMill,ConsumFinHogEmprMill,GastoFinGobMill,TasaAhorroHogr
770520.99,108.64,43008.37,2877.00,2281350.33,-67799.95,56422.76,2.57,0.87,360140.96,318091.56,311202.42,3684699.93,417361.95,377063.13,15.30
776983.89,109.01,65667.29,2805.00,2523851.24,-14953.08,56731.12,9.07,1.02,370591.38,324990.00,310171.33,3671932.47,420857.36,364965.39,15.38
788886.44,109.91,59213.45,2655.00,2517851.79,-12503.61,57551.69,8.70,1.09,382777.79,339681.89,310741.36,3593496.69,425132.08,340623.62,19.54
789604.54,110.60,43907.71,2520.00,2523023.60,7925.10,57160.57,8.90,1.41,381213.99,344914.02,308807.08,3603947.13,421105.35,335368.17,16.10
792979.52,111.03,49010.21,2458.00,2535983.46,-13400.05,56183.61,2.23,1.56,387356.61,348565.02,307600.21,3642773.85,426754.15,336189.93,14.91
793769.42,111.43,64571.53,2387.00,2526974.26,-8073.26,55825.25,-2.80,1.50,386949.18,348981.11,306502.16,3672973.71,427622.61,364702.44,15.27
799011.64,112.26,60253.59,2337.00,2551479.25,-3771.20,56861.43,-0.30,1.04,394390.01,351700.92,309680.29,3652123.92,426441.40,334251.87,19.50
798365.33,112.66,52174.65,2322.00,2595506.11,13424.26,55545.47,-1.07,0.70,399733.56,353497.82,308582.77,3648737.96,425584.68,333182.12,16.22
799945.13,113.27,57697.63,2297.00,2573151.65,-4909.47,55233.34,-7.90,0.36,399746.15,351008.60,306908.37,3661402.17,426439.30,337656.31,14.97
796282.83,113.67,67499.98,2289.00,2569478.23,-2009.49,55024.05,-9.97,0.20,391551.73,346752.23,305833.98,3645564.68,427165.96,359363.47,15.10
