Fecha_Hora,Centro_Alto_Rendimiento,Kennedy,Las_Ferias,MinAmbiente,Puente_Aranda,San_Cristobal,Suba,Tunal,Usaquen
10/09/2014 00:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 01:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 02:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 03:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 04:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 05:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 06:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 07:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 08:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 09:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 10:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 11:00,Sin Data,0,0,1,0,0,0,0,0
10/09/2014 12:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 13:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 14:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 15:00,Sin Data,Sin Data,0,0,0,0,0,0,0
10/09/2014 16:00,Sin Data,0,0,0,0,0,0,1.1,0
10/09/2014 17:00,Sin Data,1,0,0,0.1,0,0,0.4,0
10/09/2014 18:00,Sin Data,0.2,0,0,0,0,0,0.4,0
10/09/2014 19:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 20:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 21:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 22:00,Sin Data,0,0,0,0,0,0,0,0
10/09/2014 23:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 00:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 01:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 02:00,Sin Data,0,0,0,0,0.1,0.3,0.2,0.1
11/09/2014 03:00,Sin Data,0.1,0,0.7,0.4,0.9,1.1,0,0
11/09/2014 04:00,Sin Data,0,0,0,0,0.1,0,0,0
11/09/2014 05:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 06:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 07:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 08:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 09:00,Sin Data,0,0,0,0,0,0,0,0
11/09/2014 10:00,Sin Data,0,0,0,0,0,0,0,Invalido
11/09/2014 11:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 12:00,0,0,0,0,0.1,0,0,0,Sin Data
11/09/2014 13:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 14:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 15:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 16:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 17:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 18:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 19:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 20:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 21:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 22:00,0,0,0,0,0,0,0,0,Sin Data
11/09/2014 23:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 00:00,0,0,0,0.1,0,0,0,0,Sin Data
12/09/2014 01:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 02:00,0,0,0,0.1,0,0,0,0,Sin Data
12/09/2014 03:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 04:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 05:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 06:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 07:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 08:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 09:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 10:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 11:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 12:00,0,0,0,0,0,Invalido,0,0,Sin Data
12/09/2014 13:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 14:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 15:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 16:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 17:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 18:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 19:00,0,0,0.5,0,0,0,0,0,Sin Data
12/09/2014 20:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 21:00,0,0,0,0,0,0,0,0,Sin Data
12/09/2014 22:00,0,0,0,0,0,0.2,0,0.1,Sin Data
12/09/2014 23:00,0,0,0,0,0,0,0,0.2,Sin Data
13/09/2014 00:00,0,0,0,0,0,0.8,0,0,Sin Data
13/09/2014 01:00,0.2,0.2,0,0,0,0.8,0,0.7,Sin Data
13/09/2014 02:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 03:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 04:00,0.1,0,0,0,0,0,0,0,Sin Data
13/09/2014 05:00,0.1,0,0,0,0,0,0,0.7,Sin Data
13/09/2014 06:00,0.1,0.1,0.2,0.1,0,0,1.2,0.1,Sin Data
13/09/2014 07:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 08:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 09:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 10:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 11:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 12:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 13:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 14:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 15:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 16:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 17:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 18:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 19:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 20:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 21:00,0,0,0,0,0,0.1,0,0,Sin Data
13/09/2014 22:00,0,0,0,0,0,0,0,0,Sin Data
13/09/2014 23:00,0,0,0,0,0,0,0,0,Sin Data
14/09/2014 00:00,0,0,0,0,0,0,0,0,Sin Data
14/09/2014 01:00,1.7,0,2.5,0.8,1,0,0.4,0,Sin Data
14/09/2014 02:00,0.4,1.7,0.3,0.9,0.6,3,0.3,2.1,Sin Data
14/09/2014 03:00,1.1,1.6,0.6,1.4,0.7,1.8,0.4,2,Sin Data
14/09/2014 04:00,0,0.3,0,0.1,0,0.2,0.1,1,Sin Data
14/09/2014 05:00,0,0.2,0,0,0,0,0,0.4,Sin Data
14/09/2014 06:00,0.4,0.8,0.3,0.3,0.8,0,0,1.9,Sin Data
14/09/2014 07:00,0.1,0.4,0.1,0.1,0.3,0,0.1,1,Sin Data
14/09/2014 08:00,Invalido,0,0,0,0,0,0,0.1,Sin Data
14/09/2014 09:00,Sin Data,0,0,0,0,0,0,0,Sin Data
14/09/2014 10:00,Sin Data,0,0,0,0,0,0,0,Sin Data
