"PRECIPITATION.mm.","WINDDIR.deg.","WINDDPEED.m.s.","PARTICULAS.microg.m3.","PL2","PL3","X","Y"
0,150.4,4.7,9.61,"H","L",-4.08662616867453,2.32152677294589
2.4,217.35,4.64,13.31,"H","M",-3.68854179971805,-2.81500610864928
0,152.24,3.1,29.9,"UH","H",-2.74320971265223,1.44388381541261
0,165.99,4.31,14.09,"H","M",-4.18179253397672,1.04341324640649
0.1,7.22,2.87,18.83,"UH","M",2.84724345808991,0.360700277743478
0,83.46,3.92,16.64,"UH","M",0.446475574125649,3.8944909245894
0,113.35,3,21.19,"UH","M",-1.18904054254967,2.75430255930121
0.2,203.49,3,20.25,"UH","M",-2.7513889657757,-1.19576701702619
0,64.52,2.59,21.57,"UH","M",1.11420766301634,2.33808496074793
1.3,196.41,3.68,18.17,"UH","M",-3.53009402993941,-1.03963269465044
0,220,3.53,17.1,"UH","M",-2.70413688420999,-2.26904026219348
0,113.54,3.3,14.46,"H","M",-1.31798436135293,3.02537885614829
0,182.62,6.24,8.98,"H","L",-6.23347716738391,-0.285240957268601
0.1,223.2,6.07,44.84,"UH","H",-4.42483956844797,-4.15520093298714
0,171.74,4.54,27.87,"UH","H",-4.49290352712006,0.652240673365396
11,218.43,4.34,17.18,"UH","M",-3.39981763080272,-2.69756187645122
8.2,211.5,2.79,23.76,"UH","M",-2.37886605854792,-1.4577709955575
3.3,141.9,2.53,24.44,"UH","M",-1.99094560556218,1.56110076410609
1,62.41,2.12,26.09,"UH","H",0.981859675485828,1.87892298342824
13.7,38.85,2.04,28.88,"UH","H",1.58873334067142,1.27965869365196
16.6,70.66,2.24,37.78,"UH","H",0.741827989232721,2.11359675302337
12.2,59.18,2.13,29.23,"UH","H",1.09128988121253,1.8292037598811
8.2,69.54,2.28,22.18,"UH","M",0.796981695958978,2.13616951019959
0,184.68,2.24,25.41,"UH","H",-2.23253167879623,-0.182762969912673
15.8,14.71,1.95,30.45,"UH","H",1.88608572540845,0.495157183539207
5,41,2.22,24.99,"UH","M",1.67545526809455,1.45645104435893
1.7,91.91,2.41,29.25,"UH","H",-0.0803243717943751,2.40866103785814
6.4,119.78,2.53,28.99,"UH","H",-1.2565776893801,2.1958853591552
2.1,104.18,1.79,23.04,"UH","M",-0.43849445750864,1.73546034548019
0.2,97.52,2.06,28.24,"UH","H",-0.269596863437419,2.04228243179652
0,99.51,1.88,28.13,"UH","H",-0.310613116195354,1.85416274691501
0,78.88,2.51,25.6,"UH","H",0.484089871275704,2.46287575742835
0,83.47,2.72,22.44,"UH","M",0.309327732955353,2.7023538542583
0,89.88,2.28,30.73,"UH","H",0.00477521734238052,2.27999499940226
0,88.59,2.39,28.05,"UH","H",0.058809914065906,2.38927633270151
0,82.43,2.32,25.88,"UH","H",0.305630705146995,2.29978039648818
0,123.58,2.12,26.52,"UH","H",-1.17257363488783,1.76620244331332
0,78.01,2.33,23.5,"UH","M",0.484036457047507,2.27916842472181
0,99.14,2.4,35.05,"UH","H",-0.3812336964879,2.36952756233435
5.7,119.05,2.01,38.57,"UH","H",-0.976001097306823,1.75713455889294
0,88.99,2.14,23.72,"UH","M",0.0377215927790442,2.13966751656378
0,79.82,2.66,26.05,"UH","H",0.47013154002649,2.61812458356594
33.1,85.54,2.52,21.21,"UH","M",0.195963004617966,2.51236910123117
0,85.18,2.28,29.57,"UH","H",0.19157855006857,2.27193698397504
1.7,80.43,2.74,25.34,"UH","H",0.455531733718888,2.70186802778653
0,70.82,2.67,28.05,"UH","H",0.877193729040703,2.52179126053916
0,40.77,2.49,20.68,"UH","M",1.88576933442173,1.62603014035861
0,93.66,2.47,27.92,"UH","H",-0.157673971657286,2.46496225501767
0,122.3,3.86,10.92,"H","M",-2.06260006864473,3.26271067623636
0,127.77,2.75,21.55,"UH","M",-1.68435642501196,2.17380850893562
1,89.48,2.42,28.66,"UH","H",0.0219629217951943,2.41990033473823
19.5,117.55,2.26,28.75,"UH","H",-1.04530085066207,2.0037330489876
23.4,125.28,2.19,30.38,"UH","H",-1.26488422049477,1.78778295907063
0,95.42,2.75,15.7,"UH","M",-0.259753516720086,2.73770489836862
0.1,114.12,2.53,20.09,"UH","M",-1.03388215908296,2.30910971613086
3.7,94.19,3,23.91,"UH","M",-0.219192395399941,2.99198173353362
5.8,112.26,2.86,18.63,"UH","M",-1.08339702578542,2.64685679335307
14.1,124.62,2.24,25.55,"UH","H",-1.27261352791714,1.84338135190803
0,205.86,3.36,13.98,"H","M",-3.02353801642727,-1.46554353849317
0,221.36,3.13,15.59,"UH","M",-2.34929214276268,-2.06826652730095
0,138.65,2.37,18.83,"UH","M",-1.77913029315631,1.56575713313832
0,124.46,2.23,19.6,"UH","M",-1.26180257322269,1.83868275300787
0,100.72,2.73,24.41,"UH","M",-0.507806209743359,2.68235584017969
0,123.14,2.69,26.11,"UH","H",-1.47058713121078,2.25243723320257
0.9,94.23,2.72,25.78,"UH","H",-0.200628232793789,2.71259070119435
3.2,94.5,2.65,24.06,"UH","M",-0.207916603678789,2.64183093439279
0.5,88.78,2.52,27.99,"UH","H",0.0536543478950829,2.51942874694879
4.1,96.79,2.61,26.59,"UH","H",-0.308582026069299,2.59169387335522
18.3,121.47,1.85,19.16,"UH","M",-0.965796295769493,1.57789021008368
0.1,106.28,1.89,21.74,"UH","M",-0.529826830932301,1.81421705681107
4.3,94.48,2.22,22.35,"UH","M",-0.173406644570834,2.21321714606106
18.8,106.57,2.1,20.73,"UH","M",-0.598891758653453,2.01279126126307
5.7,73.15,2.37,23.98,"UH","M",0.686985040377624,2.26824856536874
0,77.47,2.08,16.53,"UH","M",0.451257605010412,2.03045969522182
0,53.63,2.4,15.47,"UH","M",1.42319367329184,1.93249056098654
1,66.32,2.53,15.78,"UH","M",1.0161191578504,2.31698119479839
5.2,77.57,2.46,16.61,"UH","M",0.529506838008656,2.40233688488981
