Date,Time,PM2.5,lat,lon
2013-05-09,8:20:34,39,4.677185621,-74.04617032
2013-05-09,8:20:39,29,4.677180843,-74.04619077
2013-05-09,8:20:44,10,4.677112028,-74.04622262
2013-05-09,8:20:49,28,4.676976576,-74.04626227
2013-05-09,8:20:54,29,4.676779769,-74.04634064
2013-05-09,8:20:59,49,4.676575335,-74.04645128
2013-05-09,8:21:04,21,4.676363524,-74.04658053
2013-05-09,8:21:09,39,4.676193036,-74.04673325
2013-05-09,8:21:10,54,4.676138218,-74.04679276
2013-05-09,8:21:11,62,4.67607812,-74.04679435
2013-05-09,8:21:12,106,4.676055657,-74.04679134
2013-05-09,8:21:13,152,4.676022129,-74.04683299
2013-05-09,8:21:14,72,4.675985835,-74.04686845
2013-05-09,8:21:15,97,4.675951889,-74.04687046
2013-05-09,8:21:16,87,4.675919283,-74.046877
2013-05-09,8:21:17,69,4.675889025,-74.04688588
2013-05-09,8:21:18,103,4.675862119,-74.04688379
2013-05-09,8:21:19,144,4.675824484,-74.04688873
2013-05-09,8:21:20,123,4.675776623,-74.04692519
2013-05-09,8:21:21,93,4.675736558,-74.04694347
2013-05-09,8:21:22,77,4.675698169,-74.0469656
2013-05-09,8:21:27,45,4.675544696,-74.04703927
2013-05-09,8:21:32,30,4.67536197,-74.04717347
2013-05-09,8:21:37,29,4.675150914,-74.04730774
2013-05-09,8:21:38,68,4.675108753,-74.04733465
2013-05-09,8:21:39,87,4.675066508,-74.04736147
2013-05-09,8:21:40,53,4.675057875,-74.04733063
2013-05-09,8:21:41,97,4.675015882,-74.04736072
2013-05-09,8:21:42,92,4.674984533,-74.04739064
2013-05-09,8:21:43,161,4.674950838,-74.04740187
2013-05-09,8:21:44,234,4.674919741,-74.04742065
2013-05-09,8:21:45,169,4.67487758,-74.04744655
2013-05-09,8:21:46,106,4.674842041,-74.04744898
2013-05-09,8:21:47,253,4.674814381,-74.04746599
2013-05-09,8:21:48,248,4.674783871,-74.04747874
2013-05-09,8:21:49,138,4.674743973,-74.04750447
2013-05-09,8:21:50,50,4.67470726,-74.04752593
2013-05-09,8:21:51,71,4.674673146,-74.04754143
2013-05-09,8:21:52,50,4.674628638,-74.04757739
2013-05-09,8:21:53,16,4.674593937,-74.04759675
2013-05-09,8:21:54,0,4.674562672,-74.04761368
2013-05-09,8:21:55,6,4.674532665,-74.04762936
2013-05-09,8:21:56,6,4.674504669,-74.04763263
2013-05-09,8:21:57,11,4.674474662,-74.04763875
2013-05-09,8:22:02,11,4.674319848,-74.04758477
2013-05-09,8:22:07,11,4.674080042,-74.04777034
2013-05-09,8:22:08,12,4.674054477,-74.04782105
2013-05-09,8:22:09,13,4.673992284,-74.0478374
2013-05-09,8:22:10,13,4.673979376,-74.04785743
2013-05-09,8:22:11,13,4.673956325,-74.04789456
2013-05-09,8:22:12,13,4.673940064,-74.04792876
2013-05-09,8:22:13,13,4.673914919,-74.04795525
2013-05-09,8:22:14,14,4.673885163,-74.04798743
2013-05-09,8:22:15,16,4.673863286,-74.04800705
2013-05-09,8:22:16,15,4.673847444,-74.04801585
2013-05-09,8:22:17,19,4.673838476,-74.04802063
2013-05-09,8:22:18,20,4.67383747,-74.04801576
2013-05-09,8:22:23,40,4.673818862,-74.04802406
2013-05-09,8:22:24,39,4.673815761,-74.04802197
2013-05-09,8:22:25,37,4.67381224,-74.04801224
2013-05-09,8:22:26,40,4.673807295,-74.04801308
2013-05-09,8:22:27,41,4.673807295,-74.04801853
2013-05-09,8:22:28,42,4.673797823,-74.04803345
2013-05-09,8:22:29,49,4.673794052,-74.04803689
2013-05-09,8:22:30,56,4.673791537,-74.04803798
2013-05-09,8:22:31,50,4.673791621,-74.04803529
2013-05-09,8:22:32,40,4.673797656,-74.04803714
2013-05-09,8:22:33,42,4.6737995,-74.04803588
2013-05-09,8:22:34,41,4.67380059,-74.04804485
2013-05-09,8:22:35,45,4.673808385,-74.04804938
2013-05-09,8:22:36,50,4.673813917,-74.04805122
2013-05-09,8:22:37,51,4.673817521,-74.04805298
2013-05-09,8:22:38,50,4.673825065,-74.04804745
2013-05-09,8:22:39,50,4.673830178,-74.04804409
2013-05-09,8:22:40,51,4.673830261,-74.04804368
2013-05-09,8:22:41,52,4.673836548,-74.04803328
2013-05-09,8:22:42,50,4.673841828,-74.04802297
2013-05-09,8:22:43,49,4.673848031,-74.04801224
2013-05-09,8:22:44,44,4.673848869,-74.04800763
2013-05-09,8:22:45,40,4.673855742,-74.04799389
2013-05-09,8:22:50,39,4.673851468,-74.04797427
2013-05-09,8:22:55,95,4.673856329,-74.04798157
2013-05-09,8:23:00,171,4.673823053,-74.04803026
2013-05-09,8:23:05,31,4.673719369,-74.04808902
2013-05-09,8:23:10,51,4.673590623,-74.04815918
2013-05-09,8:23:15,32,4.673447963,-74.04824769
2013-05-09,8:23:16,36,4.673409993,-74.04828038
2013-05-09,8:23:17,51,4.673323743,-74.04829086
2013-05-09,8:23:18,96,4.673280744,-74.04830108
2013-05-09,8:23:19,113,4.673231123,-74.04829346
2013-05-09,8:23:20,111,4.673184939,-74.04831374
2013-05-09,8:23:21,130,4.673144538,-74.04833117
2013-05-09,8:23:22,143,4.673106568,-74.04835498
2013-05-09,8:23:23,179,4.673073795,-74.04838189
2013-05-09,8:23:24,244,4.673039597,-74.04840787
2013-05-09,8:23:25,322,4.673009254,-74.04842623
2013-05-09,8:23:26,400,4.672977654,-74.04844198
2013-05-09,8:23:27,367,4.672947479,-74.04845665
2013-05-09,8:23:28,287,4.672922669,-74.04846068
