"PRECIPITATION.mm.","X","Y","PL2"
9.3,-1.09798727801543,1.56285761901597,"UH"
0.1,-2.60245214751375,-0.948758567761603,"UH"
0,-3.23819990151882,0.1079879521219,"UH"
0,1.80798044102177,1.81240357671318,"UH"
0,1.48223153978572,1.47346179538679,"UH"
0.1,0.195843226440116,2.36189445798442,"UH"
0,0.999918946916921,2.32401852393576,"H"
0,1.85774701010377,1.51946571085053,"UH"
0.6,2.3665692038584,0.551588799151165,"H"
0.8,-1.3269606684206,1.81705128834185,"UH"
0.9,-2.16611485347452,1.22802542382358,"UH"
0.1,-1.95561466417879,1.89049498419035,"UH"
0.2,-2.02306823173198,1.27251519824199,"UH"
0,-2.92355337462033,1.75525942975563,"H"
4.6,0.511070078657611,2.32448002243532,"UH"
2.2,-1.18380292899759,1.71026624397979,"UH"
0.1,-2.63606107306077,1.93496305367665,"H"
0,-1.7183272240246,2.73500485395838,"H"
0,-4.06731053782755,-0.516705901724524,"H"
0,-3.71901652643701,0.780330747880903,"H"
0,-1.96986830569537,2.11464390813604,"UH"
0,-5.91315027325102,-0.661176108122037,"H"
0,-4.95684204180502,-2.36004596832228,"H"
0,-3.79052566985169,-2.60613030107771,"H"
0,-3.4798257784209,-2.94693273622547,"H"
0,-3.6406647467326,-2.30687238526505,"H"
0.2,0.806883406384394,2.54515994949267,"UH"
0,-2.99302057310513,0.636732164233484,"H"
0,0.666246968775241,2.60618782450494,"UH"
0,1.75867685598487,2.17877390204289,"H"
0,1.75487309494405,1.5928968644082,"UH"
1.1,0.810015861877547,2.13126120020676,"UH"
5.4,1.38737212418014,2.17522380205989,"UH"
0.1,1.89401123860881,1.55409826845779,"UH"
0,0.669136527939332,2.31524432986614,"UH"
0.7,1.86232480110446,1.13320180691315,"UH"
0.1,1.09344048218442,2.54505165211245,"UH"
0,1.39293281359517,2.13593964727701,"UH"
0.2,-1.24699276970467,2.03889897550229,"UH"
0,2.81524033872345,0.504005788879712,"H"
2.6,-1.25230055475983,2.10576430792913,"UH"
0,-2.57755255102273,-2.90010738537666,"H"
0,-4.12335759940185,-0.234141212636747,"H"
0,-4.22684760952685,-0.892277583399461,"H"
0,-5.56085939347606,-1.10713269574568,"H"
0.1,-4.85099534859457,-0.691262705426711,"H"
0,1.36305505940641,2.01171093972931,"UH"
0,1.25567850308157,1.96269495767907,"UH"
3.9,-2.33999227302472,1.53767231950914,"UH"
6.6,-0.670792274876492,2.17909103159231,"UH"
0,-2.000996663509,2.27528291705138,"H"
0.1,0.382827630769894,2.18674255574796,"UH"
0,1.14429270195192,2.07545036371858,"UH"
0,1.87813615456931,1.6651440132612,"UH"
2.6,-1.13893150486451,1.74046977199464,"UH"
0,0.62256641708239,2.5655430334183,"UH"
1.1,-2.93545105104437,-0.790396816113608,"UH"
0.3,-3.95608842562099,-2.22732224176647,"H"
0,-4.78113614911139,0.526153137081142,"H"
0,1.23017500020334,2.77997652307977,"UH"
4.6,0.586096941000966,2.40974902754401,"UH"
0,1.30789670843133,2.22391685997352,"UH"
0.2,1.08976255163734,2.30541050163498,"UH"
1.1,2.06070016677608,1.7600042109748,"H"
0.2,-0.172766291991069,2.66440458796176,"UH"
0,0.437141395008682,3.22046695383913,"UH"
0.1,-4.13842597461231,-0.114151008117249,"UH"
0,-0.952639527786192,2.61168105443588,"UH"
0.1,-2.59895312175851,2.43290827424745,"H"
0,-4.0600639615665,-0.859290770338507,"H"
0,-2.90119500298481,-2.63618427934315,"H"
0,-4.20015997897684,2.08680524989785,"H"
0,-2.48769937265431,-3.23384474446368,"H"
0,-4.08662616867453,2.32152677294589,"H"
2.4,-3.68854179971805,-2.81500610864928,"H"
0,-2.74320971265223,1.44388381541261,"UH"
0,-4.18179253397672,1.04341324640649,"H"
0.1,2.84724345808991,0.360700277743478,"UH"
0,0.446475574125649,3.8944909245894,"UH"
0,-1.18904054254967,2.75430255930121,"UH"
0.2,-2.7513889657757,-1.19576701702619,"UH"
0,1.11420766301634,2.33808496074793,"UH"
1.3,-3.53009402993941,-1.03963269465044,"UH"
0,-2.70413688420999,-2.26904026219348,"UH"
0,-1.31798436135293,3.02537885614829,"H"
0,-6.23347716738391,-0.285240957268601,"H"
0.1,-4.42483956844797,-4.15520093298714,"UH"
0,-4.49290352712006,0.652240673365396,"UH"
11,-3.39981763080272,-2.69756187645122,"UH"
8.2,-2.37886605854792,-1.4577709955575,"UH"
3.3,-1.99094560556218,1.56110076410609,"UH"
1,0.981859675485828,1.87892298342824,"UH"
13.7,1.58873334067142,1.27965869365196,"UH"
16.6,0.741827989232721,2.11359675302337,"UH"
12.2,1.09128988121253,1.8292037598811,"UH"
8.2,0.796981695958978,2.13616951019959,"UH"
0,-2.23253167879623,-0.182762969912673,"UH"
15.8,1.88608572540845,0.495157183539207,"UH"
5,1.67545526809455,1.45645104435893,"UH"
1.7,-0.0803243717943751,2.40866103785814,"UH"
6.4,-1.2565776893801,2.1958853591552,"UH"
2.1,-0.43849445750864,1.73546034548019,"UH"
0.2,-0.269596863437419,2.04228243179652,"UH"
0,-0.310613116195354,1.85416274691501,"UH"
0,0.484089871275704,2.46287575742835,"UH"
0,0.309327732955353,2.7023538542583,"UH"
0,0.00477521734238052,2.27999499940226,"UH"
0,0.058809914065906,2.38927633270151,"UH"
0,0.305630705146995,2.29978039648818,"UH"
0,-1.17257363488783,1.76620244331332,"UH"
0,0.484036457047507,2.27916842472181,"UH"
0,-0.3812336964879,2.36952756233435,"UH"
5.7,-0.976001097306823,1.75713455889294,"UH"
0,0.0377215927790442,2.13966751656378,"UH"
0,0.47013154002649,2.61812458356594,"UH"
33.1,0.195963004617966,2.51236910123117,"UH"
0,0.19157855006857,2.27193698397504,"UH"
1.7,0.455531733718888,2.70186802778653,"UH"
0,0.877193729040703,2.52179126053916,"UH"
0,1.88576933442173,1.62603014035861,"UH"
0,-0.157673971657286,2.46496225501767,"UH"
0,-2.06260006864473,3.26271067623636,"H"
0,-1.68435642501196,2.17380850893562,"UH"
1,0.0219629217951943,2.41990033473823,"UH"
19.5,-1.04530085066207,2.0037330489876,"UH"
23.4,-1.26488422049477,1.78778295907063,"UH"
0,-0.259753516720086,2.73770489836862,"UH"
0.1,-1.03388215908296,2.30910971613086,"UH"
3.7,-0.219192395399941,2.99198173353362,"UH"
5.8,-1.08339702578542,2.64685679335307,"UH"
14.1,-1.27261352791714,1.84338135190803,"UH"
0,-3.02353801642727,-1.46554353849317,"H"
0,-2.34929214276268,-2.06826652730095,"UH"
0,-1.77913029315631,1.56575713313832,"UH"
0,-1.26180257322269,1.83868275300787,"UH"
0,-0.507806209743359,2.68235584017969,"UH"
0,-1.47058713121078,2.25243723320257,"UH"
0.9,-0.200628232793789,2.71259070119435,"UH"
3.2,-0.207916603678789,2.64183093439279,"UH"
0.5,0.0536543478950829,2.51942874694879,"UH"
4.1,-0.308582026069299,2.59169387335522,"UH"
18.3,-0.965796295769493,1.57789021008368,"UH"
0.1,-0.529826830932301,1.81421705681107,"UH"
4.3,-0.173406644570834,2.21321714606106,"UH"
18.8,-0.598891758653453,2.01279126126307,"UH"
5.7,0.686985040377624,2.26824856536874,"UH"
0,0.451257605010412,2.03045969522182,"UH"
0,1.42319367329184,1.93249056098654,"UH"
1,1.0161191578504,2.31698119479839,"UH"
5.2,0.529506838008656,2.40233688488981,"UH"
0,1.96655709184779,0.868995514662291,"UH"
0,1.54464090977303,2.37128329388446,"H"
2.4,0.782669600265744,2.48988519751812,"UH"
