base,P Atteinte:HPE,PS:HPE,PS:HCE,P Atteinte:HCE
11:00 06/10/2024,2.02,36,,
11:30 06/10/2024,2.06,36,,
12:00 06/10/2024,2,36,,
12:30 06/10/2024,2.04,36,,
13:00 06/10/2024,,,36,2
13:30 06/10/2024,,,36,2.02
14:00 06/10/2024,,,36,1.99
14:30 06/10/2024,,,36,2
15:00 06/10/2024,2,36,,
15:30 06/10/2024,2,36,,
16:00 06/10/2024,2.02,36,,
16:30 06/10/2024,1.97,36,,
17:00 06/10/2024,2.02,36,,
17:30 06/10/2024,2,36,,
18:00 06/10/2024,2.02,36,,
18:30 06/10/2024,1.99,36,,
19:00 06/10/2024,2.31,36,,
19:30 06/10/2024,2.02,36,,
20:00 06/10/2024,1.98,36,,
20:30 06/10/2024,2.22,36,,
21:00 06/10/2024,1.83,36,,
21:30 06/10/2024,1.88,36,,
22:00 06/10/2024,1.81,36,,
22:30 06/10/2024,1.84,36,,
23:00 06/10/2024,1.86,36,,
23:30 06/10/2024,1.84,36,,
00:00 07/10/2024,1.86,36,,
00:30 07/10/2024,,,36,1.82
01:00 07/10/2024,,,36,1.9
01:30 07/10/2024,,,36,1.83
02:00 07/10/2024,,,36,1.87
02:30 07/10/2024,,,36,1.83
03:00 07/10/2024,,,36,1.85
03:30 07/10/2024,,,36,1.84
04:00 07/10/2024,,,36,1.85
04:30 07/10/2024,,,36,2.15
05:00 07/10/2024,,,36,1.82
05:30 07/10/2024,,,36,1.86
06:00 07/10/2024,,,36,1.81
06:30 07/10/2024,1.87,36,,
07:00 07/10/2024,1.81,36,,
07:30 07/10/2024,1.83,36,,
08:00 07/10/2024,2.23,36,,
08:30 07/10/2024,2.17,36,,
09:00 07/10/2024,2.09,36,,
09:30 07/10/2024,2.12,36,,
10:00 07/10/2024,2.02,36,,
10:30 07/10/2024,1.97,36,,
11:00 07/10/2024,2.02,36,,
11:30 07/10/2024,2,36,,
12:00 07/10/2024,2,36,,
12:30 07/10/2024,2.03,36,,
13:00 07/10/2024,,,36,4.45
13:30 07/10/2024,,,36,9.35
14:00 07/10/2024,,,36,7.73
14:30 07/10/2024,,,36,10.03
15:00 07/10/2024,10.87,36,,
15:30 07/10/2024,10.44,36,,
16:00 07/10/2024,9.77,36,,
16:30 07/10/2024,8.51,36,,
17:00 07/10/2024,8.54,36,,
17:30 07/10/2024,10.89,36,,
18:00 07/10/2024,10.29,36,,
18:30 07/10/2024,9.52,36,,
19:00 07/10/2024,8.9,36,,
19:30 07/10/2024,9.46,36,,
20:00 07/10/2024,9.25,36,,
20:30 07/10/2024,9.6,36,,
21:00 07/10/2024,9.44,36,,
21:30 07/10/2024,6.3,36,,
22:00 07/10/2024,2.91,36,,
22:30 07/10/2024,1.69,36,,
23:00 07/10/2024,1.62,36,,
23:30 07/10/2024,1.66,36,,
00:00 08/10/2024,1.67,36,,
00:30 08/10/2024,,,36,1.65
01:00 08/10/2024,,,36,1.66
01:30 08/10/2024,,,36,1.62
02:00 08/10/2024,,,36,1.71
02:30 08/10/2024,,,36,1.64
03:00 08/10/2024,,,36,1.68
03:30 08/10/2024,,,36,1.63
04:00 08/10/2024,,,36,1.66
04:30 08/10/2024,,,36,1.68
05:00 08/10/2024,,,36,1.64
05:30 08/10/2024,,,36,1.66
06:00 08/10/2024,,,36,1.61
06:30 08/10/2024,1.66,36,,
07:00 08/10/2024,1.63,36,,
07:30 08/10/2024,1.65,36,,
08:00 08/10/2024,4.72,36,,
08:30 08/10/2024,9.46,36,,
09:00 08/10/2024,9.22,36,,
09:30 08/10/2024,10.49,36,,
10:00 08/10/2024,12.39,36,,
10:30 08/10/2024,9.51,36,,
11:00 08/10/2024,11.63,36,,
11:30 08/10/2024,10.06,36,,
12:00 08/10/2024,8.67,36,,
12:30 08/10/2024,9.6,36,,
13:00 08/10/2024,,,36,10.26
13:30 08/10/2024,,,36,8.94
14:00 08/10/2024,,,36,10.08
14:30 08/10/2024,,,36,9.77
15:00 08/10/2024,7.87,36,,
15:30 08/10/2024,8.49,36,,
16:00 08/10/2024,7.11,36,,
16:30 08/10/2024,7.45,36,,
17:00 08/10/2024,7.3,36,,
17:30 08/10/2024,7.03,36,,
18:00 08/10/2024,8.6,36,,
18:30 08/10/2024,8.4,36,,
19:00 08/10/2024,8.69,36,,
19:30 08/10/2024,7.65,36,,
20:00 08/10/2024,8.47,36,,
20:30 08/10/2024,8.46,36,,
21:00 08/10/2024,6.87,36,,
21:30 08/10/2024,6.27,36,,
22:00 08/10/2024,6.36,36,,
22:30 08/10/2024,2.74,36,,
23:00 08/10/2024,1.63,36,,
23:30 08/10/2024,1.67,36,,
00:00 09/10/2024,1.63,36,,
00:30 09/10/2024,,,36,1.65
01:00 09/10/2024,,,36,1.67
01:30 09/10/2024,,,36,1.62
02:00 09/10/2024,,,36,1.68
02:30 09/10/2024,,,36,1.65
03:00 09/10/2024,,,36,1.67
03:30 09/10/2024,,,36,1.62
04:00 09/10/2024,,,36,1.65
04:30 09/10/2024,,,36,1.67
05:00 09/10/2024,,,36,1.63
05:30 09/10/2024,,,36,1.66
06:00 09/10/2024,,,36,1.64
06:30 09/10/2024,1.66,36,,
07:00 09/10/2024,1.6,36,,
07:30 09/10/2024,1.64,36,,
08:00 09/10/2024,4.48,36,,
08:30 09/10/2024,7.38,36,,
09:00 09/10/2024,5.13,36,,
09:30 09/10/2024,8.31,36,,
10:00 09/10/2024,12.05,36,,
10:30 09/10/2024,8.34,36,,
11:00 09/10/2024,9.19,36,,
11:30 09/10/2024,9.87,36,,
12:00 09/10/2024,8.69,36,,
12:30 09/10/2024,9.08,36,,
13:00 09/10/2024,,,36,9.13
13:30 09/10/2024,,,36,11.39
14:00 09/10/2024,,,36,8.81
14:30 09/10/2024,,,36,8.64
15:00 09/10/2024,9.79,36,,
15:30 09/10/2024,8.12,36,,
16:00 09/10/2024,8.8,36,,
16:30 09/10/2024,10.63,36,,
17:00 09/10/2024,8.34,36,,
17:30 09/10/2024,9.17,36,,
18:00 09/10/2024,8.35,36,,
18:30 09/10/2024,8.04,36,,
19:00 09/10/2024,9.53,36,,
19:30 09/10/2024,6.63,36,,
20:00 09/10/2024,9.98,36,,
20:30 09/10/2024,6.57,36,,
