Oni_date,ONI,"ElNino Index 1,2_temp","ElNino Index 1,2_annomaly",WC_Tx_Muis,WC_Tn_Muis,WC_Ra_Muis,WC_Tx_Quin,WC_Tn_Quin,WC_Ra_Quin,WC_Tx_Pvie,WC_Tn_Pvie,WC_Ra_Pvie,WC_Tx_Chon,WC_Tn_Chon,WC_Ra_Chon,WC_Tx_Calc,WC_Tn_Calc,WC_Ra_Calc,WC_Tx_Guaq,WC_Tn_Guaq,WC_Ra_Guaq,WC_Tx_Mila,WC_Tn_Mila,WC_Ra_Mila,WC_Tx_Scru,WC_Tn_Scru,WC_Ra_Scru,WC_Tx_Scri,WC_Tn_Scri,WC_Ra_Scri,IN_Ta_Muis,IN_Tx_Muis,IN_Tn_Muis,IN_Ra_Muis,IN_Ta_Quin,IN_Tx_Quin,IN_Tn_Quin,IN_Ra_Quin,IN_Ta_Pvie,IN_Tx_Pvie,IN_Tn_Pvie,IN_Ra_Pvie,IN_Ta_Chon,IN_Tx_Chon,IN_Tn_Chon,IN_Ra_Chon,IN_Ta_Calc,IN_Tx_Calc,IN_Tn_Calc,IN_Ra_Calc,IN_Ta_Guag,IN_Tx_Guag,IN_Tn_Guag,IN_Ra_Guag,IN_Ta_Mila,IN_Tx_Mila,IN_Tn_Mila,IN_Ra_Mila,IN_Ta_Scru,IN_Tx_Scru,IN_Tn_Scru,IN_Ra_Scru,IN_Ta_Scri,IN_Tx_Scri,IN_Tn_Scri,IN_Ra_Scri,WC_Tn_Taba,WC_Tx_Taba,WC_Ra_Taba,WC_Tn_Quit,WC_Tx_Quit,WC_Ra_Quit,WC_Tn_Papa,WC_Tx_Papa,WC_Ra_Papa,WC_Tn_Izob,WC_Tx_Izob,WC_Ra_Izob,WC_Tn_Sier,WC_Tx_Sier,WC_Ra_Sier,IN_Ta_Taba,IN_Tx_Taba,IN_Tn_Taba,IN_Ra_Taba,IN_Ta_Quit,IN_Tx_Quit,IN_Tn_Quit,IN_Ra_Quit,IN_Ta_Papa,IN_Tx_Papa,IN_Tn_Papa,IN_Ra_Papa,IN_Ta_Izob,IN_Tx_Izob,IN_Tn_Izob,IN_Ra_Izob,IN_Ta_Sier,IN_Tx_Sier,IN_Tn_Sier,IN_Ra_Sier,WC_Tn_Lumb,WC_Tx_Lumb,WC_Ra_Lumb,WC_Tn_Yasu,WC_Tx_Yasu,WC_Ra_Yasu,WC_Tn_Glqz,WC_Tx_Glqz,WC_Ra_Glqz,WC_Tn_Tena,WC_Tx_Tena,WC_Ra_Tena,WC_Tn_Maca,WC_Tx_Maca,WC_Ra_Maca,WC_Tn_Sang,WC_Tx_Sang,WC_Ra_Sang,WC_Tn_Puyo,WC_Tx_Puyo,WC_Ra_Puyo,WC_Tn_Yanz,WC_Tx_Yanz,WC_Ra_Yanz,IN_Ta_Lumb,IN_Tn_Lumb,IN_Tx_Lumb,IN_Ra_Lumb,IN_Ta_Yasu,IN_Tn_Yasu,IN_Tx_Yasu,IN_Ra_Yasu,IN_Ta_Glqz,IN_Tm_Glqz,IN_Tx_Glqz,IN_Ra_Glqz,IN_Ta_Puyo,IN_Tn_Puyo,IN_Tx_Puyo,IN_Ra_Puyo,IN_Ta_Maca,IN_Tn_Maca,IN_Tx_Maca,IN_Ra_Maca,IN_Ta_Sang,IN_Tn_Sang,IN_Tx_Sang,IN_Ra_Sang,IN_Ta_Tena,IN_Tn_Tena,IN_Tx_Tena,IN_Ra_Tena,IN_Ta_Yanz,IN_Tn_Yanz,IN_Tx_Yanz,IN_Ra_Yanz
Nov-60,0.10,21.06,-0.60,29.00,20.00,28.20,29.00,20.00,34.90,30.00,19.00,6.70,29.50,19.00,4.18,30.00,19.00,2.70,29.00,19.00,7.70,29.00,19.00,6.20,24.00,16.00,17.00,26.00,18.00,19.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,21.00000,49.90000,7.00000,20.00000,58.20000,2.00000,14.00000,64.30000,4.00000,18.00000,69.00000,9.00000,21.00000,86.60000,,,,,,,,,,,,,,,,,,,,,19.00,29.00,179.90,21.00,31.00,192.80,17.00,28.00,94.00,18.00,29.00,193.40,15.00000,26.00000,96.00000,16.00000,27.00000,184.20000,16.00000,26.00000,207.89999,18.00000,29.00000,98.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec-60,0.10,22.52,-0.29,29.00,22.00,38.90,30.00,22.00,78.00,31.00,21.00,10.40,30.50,20.50,22.08,31.00,21.00,12.90,31.00,21.00,20.90,31.00,21.00,24.90,26.00,18.00,7.50,28.00,20.00,18.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,21.00000,35.60000,8.00000,20.00000,50.10000,3.00000,14.00000,46.50000,6.00000,18.00000,59.60000,10.00000,21.00000,60.40000,,,,,,,,,,,,,,,,,,,,,19.00,29.00,156.90,22.00,32.00,144.40,17.00,28.00,56.50,19.00,29.00,159.00,16.00000,27.00000,76.30000,17.00000,27.00000,165.39999,17.00000,27.00000,173.30000,18.00000,30.00000,69.40000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan-61,0.00,24.49,-0.08,29.00,22.00,264.20,29.00,21.00,342.10,31.00,22.00,83.80,30.50,21.00,235.92,31.00,22.00,179.50,30.00,22.00,197.00,30.00,21.00,252.70,28.00,20.00,53.50,29.00,21.00,77.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,21.00000,53.60000,8.00000,20.00000,83.00000,3.00000,14.00000,93.20000,6.00000,18.00000,119.90000,9.00000,21.00000,86.30000,,,,,,,,,,,,,,,,,,,,,19.00,29.00,190.10,21.00,31.00,149.10,17.00,27.00,92.30,19.00,29.00,266.20,16.00000,26.00000,180.70000,17.00000,26.00000,300.10001,17.00000,26.00000,302.00000,18.00000,29.00000,111.70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-61,0.00,26.56,0.45,30.00,22.00,232.60,30.00,21.00,279.80,30.00,22.00,112.30,30.50,21.50,262.97,31.00,22.00,204.10,30.00,22.00,213.40,30.00,22.00,251.30,29.00,20.00,49.40,30.00,22.00,91.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,21.00000,55.50000,8.00000,20.00000,86.60000,3.00000,13.00000,67.00000,6.00000,17.00000,107.70000,9.00000,20.00000,81.40000,,,,,,,,,,,,,,,,,,,,,19.00,29.00,127.50,21.00,31.00,140.70,17.00,27.00,76.90,18.00,28.00,171.60,16.00000,26.00000,129.89999,17.00000,26.00000,223.10001,17.00000,26.00000,220.39999,18.00000,29.00000,86.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar-61,0.00,25.76,-0.73,30.00,21.00,179.00,31.00,21.00,303.00,31.00,21.00,73.70,31.00,20.50,200.38,31.00,21.00,154.70,31.00,22.00,141.70,31.00,21.00,185.40,29.00,20.00,32.20,30.00,21.00,70.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,22.00000,69.40000,7.00000,20.00000,96.20000,2.00000,14.00000,81.40000,5.00000,18.00000,108.30000,9.00000,21.00000,111.90000,,,,,,,,,,,,,,,,,,,,,18.00,29.00,207.20,20.00,31.00,233.50,17.00,27.00,114.40,17.00,29.00,275.40,15.00000,26.00000,156.80000,16.00000,27.00000,272.50000,16.00000,26.00000,284.79999,18.00000,28.00000,138.50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-61,0.10,24.75,-0.78,30.00,22.00,249.00,30.00,21.00,430.90,31.00,21.00,82.10,30.50,21.00,227.95,31.00,21.00,162.60,31.00,22.00,193.20,31.00,21.00,245.80,29.00,21.00,23.80,30.00,22.00,44.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,21.00000,139.80000,8.00000,20.00000,193.39999,3.00000,13.00000,144.50000,5.00000,17.00000,198.89999,10.00000,20.00000,270.10001,,,,,,,,,,,,,,,,,,,,,18.00,29.00,443.60,21.00,30.00,336.10,17.00,27.00,194.10,18.00,28.00,555.10,16.00000,25.00000,278.89999,17.00000,26.00000,492.10001,16.00000,26.00000,536.00000,18.00000,29.00000,176.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May-61,0.20,23.49,-0.92,30.00,22.00,63.80,30.00,22.00,66.60,31.00,21.00,12.40,30.50,21.50,27.38,31.00,21.00,18.50,31.00,22.00,29.00,30.00,21.00,29.10,27.00,20.00,1.10,29.00,21.00,1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00000,22.00000,22.60000,8.00000,21.00000,33.20000,3.00000,14.00000,44.30000,6.00000,18.00000,40.70000,10.00000,21.00000,75.40000,,,,,,,,,,,,,,,,,,,,,18.00,29.00,112.50,21.00,31.00,266.40,17.00,27.00,90.50,18.00,28.00,172.80,16.00000,26.00000,107.20000,17.00000,26.00000,156.10001,16.00000,26.00000,175.70000,18.00000,29.00000,93.00000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-61,0.30,22.15,-0.98,28.00,21.00,110.70,28.00,20.00,101.50,29.00,20.00,11.50,28.50,20.00,33.90,29.00,20.00,21.80,29.00,20.00,16.80,28.00,19.00,21.80,25.00,18.00,9.50,26.00,20.00,12.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,21.00000,24.20000,7.00000,20.00000,28.10000,2.00000,12.00000,89.60000,4.00000,17.00000,45.70000,8.00000,19.00000,176.89999,,,,,,,,,,,,,,,,,,,,,18.00,27.00,276.10,20.00,29.00,340.70,16.00,26.00,129.30,17.00,26.00,396.40,15.00000,24.00000,237.10001,15.00000,25.00000,351.10001,15.00000,24.00000,386.50000,17.00000,28.00000,126.30000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-61,0.10,20.43,-1.53,27.00,20.00,39.90,28.00,20.00,40.30,28.00,19.00,5.00,28.00,19.50,9.45,29.00,19.00,5.90,28.00,19.00,9.40,27.00,19.00,11.70,24.00,17.00,6.00,26.00,19.00,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,21.00000,5.10000,7.00000,20.00000,10.30000,2.00000,12.00000,58.60000,4.00000,17.00000,17.70000,9.00000,18.00000,115.00000,,,,,,,,,,,,,,,,,,,,,18.00,27.00,163.40,20.00,29.00,222.50,16.00,26.00,92.00,17.00,27.00,240.90,15.00000,24.00000,184.39999,16.00000,24.00000,230.20000,15.00000,24.00000,244.50000,17.00000,28.00000,78.80000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug-61,-0.10,19.86,-1.14,28.00,20.00,10.90,29.00,20.00,8.70,29.00,18.00,4.10,29.25,19.00,1.90,30.00,19.00,2.20,29.00,19.00,1.40,28.00,19.00,0.60,24.00,16.00,12.50,25.00,18.00,6.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00000,23.00000,2.80000,7.00000,21.00000,5.10000,2.00000,13.00000,20.10000,4.00000,18.00000,8.30000,8.00000,20.00000,45.10000,,,,,,,,,,,,,,,,,,,,,18.00,29.00,44.40,20.00,31.00,173.90,16.00,27.00,49.20,17.00,29.00,87.20,15.00000,26.00000,64.20000,16.00000,26.00000,91.80000,15.00000,26.00000,102.80000,17.00000,28.00000,56.60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
