elNino index,date,9_Azuay,5_Bolivar,8_Canar,1_Carchi,7_Chimborazo,4_Cotopaxi,2_Imbabura,10_Loja,3_Pichincha,6_Tunguragua,7_El oro(c),1_Esmeraldas,5_Guayas,4_Los RIos,3_Manabi,6_SantaElena,2_SantoDomingo,4_Morona_santiago,2_Napo(W),2_orellana€,3_Pastaza,1_Sucumbios,5_Zamora,Galapagos
-0.1,1/1/1960,62.6223095070346,169.232240937447,103.698064964048,137.853591349902,73.1161185063814,143.608098392755,122.237610909791,104.266410834959,156.736486589587,57.2530861607304,76.3156934167347,214.296185288182,150.67489798454,287.392151011977,172.876779633571,66.8808140865592,337.539884445984,120.662399976943,145.433333282208,208.524481906119,222.219420303124,195.023621017127,101.087651936149,9.85333330669101
-0.1,2/1/1960,76.9005250204892,163.879780795405,99.8954835707141,151.732596697728,56.1680919433895,147.710915390874,131.732743237926,88.6715930345649,166.51013516091,47.7580248161598,94.3576641918098,258.095640343606,172.026051312968,318.899418631265,181.933187365662,69.7959303745003,376.376879036082,135.639377926297,144.974742391265,205.124777821186,218.007028914189,194.031294715205,96.3975709073456,11.4993650845119
-0.1,3/1/1960,62.6223095070346,169.232240937447,103.698064964048,137.853591349902,73.1161185063814,143.608098392755,122.237610909791,104.266410834959,156.736486589587,57.2530861607304,76.3156934167347,214.296185288182,150.67489798454,287.392151011977,172.876779633571,66.8808140865592,337.539884445984,120.662399976943,145.433333282208,208.524481906119,222.219420303124,195.023621017127,101.087651936149,9.85333330669101
0,4/1/1960,96.0853021076032,239.084153305637,147.621290046938,149.906076715796,107.266776210383,200.51584478835,143.713274761639,116.078694700508,206.504955051182,86.7901235745277,101.498905279341,265.808310849141,233.73799181955,431.154070033584,263.627163585149,132.55755839237,461.348556430354,194.78231121148,209.414432617397,286.692497426642,309.054130167201,274.893645206516,102.141093018567,21.25206349388
0,5/1/1960,98.5700787521722,159.853551562367,123.147742092994,122.09502750207,88.3684213286952,141.81690100549,109.226548321479,117.813819632649,149.607657621572,75.9802470501559,89.6295619115342,186.152997196208,130.172048879284,249.065987476083,129.335377819567,53.9354649477227,306.501733680681,198.203822191027,191.439519102221,277.95528136966,307.780362198318,250.330935315834,150.667611496651,5.04666666577733
0,6/1/1960,48.2590551201127,59.2469945084202,54.68709681111,97.8099446375726,50.4898027558076,63.8133803152702,65.0641592329582,42.6209213353851,79.4141891067093,57.414814690013,29.3069343549492,119.712942689901,34.5747625306956,75.6322675527529,42.6556407916977,9.70872086286545,128.156068834955,175.506222317166,170.32577295074,282.749161067861,275.436666682147,251.952277903934,113.908299380468,4.75746031280548
0.1,7/1/1960,11.5950131272394,10.8972677871829,13.8045161124199,50.9878451679293,17.820394726176,17.0007041675944,19.9424778929854,9.79097888234023,21.9069819933659,33.4833333050763,4.83430656812487,52.6634877423175,5.61614654135348,12.6840116340061,10.862431556476,2.54883720292601,31.1098265895954,96.9061333312988,97.6500002051547,230.505725178996,225.816304270426,209.722182232699,57.6006073469093,4.69047617590617
0.2,8/1/1960,86.1118111112925,17.6524590976903,73.0864515243038,134.130387100726,69.9973683576835,46.2859153814719,60.5876106582912,33.0218809271042,71.9502250632725,138.414197544993,20.5003649892598,170.584332577864,16.3829036622714,21.8930232310018,25.146440286887,10.5354651171108,73.9554913691703,318.277510986329,412.884021103587,456.717077859651,468.30210137851,441.617025819041,173.124292304159,5.96222221851349
0.3,9/1/1960,39.599737460219,11.8316939932401,35.6496775350263,73.6519334487493,36.4828946715907,30.2070422709828,34.6199115103325,20.2368521944346,41.6211712059674,72.6512346385438,9.58175181559403,74.4553133967136,4.24274085059742,10.4436046581629,10.6547645161995,5.39127915335256,44.8601154702247,169.799644317627,172.147766290252,229.671273294582,235.545579716779,206.80191836826,110.945546617392,3.47111109778994
0.2,10/1/1960,8.64146983529638,6.30546448269828,8.1729032470334,32.0060773659806,10.7496710451026,11.5084507280672,15.0827433324493,7.41190019701813,15.356081036834,16.9734568007198,3.60729926759309,26.069890981799,2.21899592920915,4.57732558978158,3.36571741606816,2.87965115696885,13.5751444728388,52.2629333004422,50.8180412377689,142.81421532212,139.409565097698,116.996163085782,32.275506040828,4.40031744979677
0.1,11/1/1960,16.067716567848,13.9103825183514,16.5219354875626,88.0491716795864,21.7351973401873,29.5482394661702,51.834513259145,12.8602686773793,40.9250000704516,30.9382715931645,5.72372261973193,43.6020436377876,3.51519673504694,8.07005812400995,6.15334064440817,3.92732558728651,28.4710981997451,73.5902221798366,90.330068719346,207.06268483771,185.974058040674,217.756234912278,41.0785424854109,5.55333328852578
0.1,12/1/1960,33.8425197213341,19.6852459230058,30.1870967188189,95.1342539497502,32.3516446916681,38.1242958458377,70.4446901810908,24.6794625837606,54.8326576550802,41.4364197695697,11.509854029565,44.9874659013359,5.65576662088832,13.1395348650078,7.21412925717603,3.5058139708153,31.5352600516612,116.784888919406,119.017869418429,203.533563581883,207.994565264384,186.025299817824,75.0623482229255,11.0923809505644
0,1/1/1961,28.2141732618878,44.3765028031146,30.3587096552695,94.3027625742537,25.4848684135237,53.4422535761981,70.0738938086856,22.8092129995864,65.08828835874,28.8629630171223,14.4335765982196,77.5540872542671,20.130122157256,56.9712209812431,26.8207009671682,6.59534883291223,89.2855492299691,85.4231110941571,87.7405496970894,162.346890531429,158.816014516527,169.111630533525,50.5999999760616,7.4498412722633
