FECHA,QH0889,QH0894,PRECIPITACION M0141,PRECIPITACION M0501,PRECIPITACION M0431,SST,SPI M0141,SPI M0501,SPI M0431
2017-09,53.247,8.41670581805923,35.1,155.4,85.5,27.17,-1.41,-0.12,-0.55
2017-10,53.247,40.13,86.6,161.8,196.3,27.32,-0.32,-0.05,1.40
2017-11,53.247,40.13,78.9,134.5,103.3,27.67,-0.48,-0.36,-0.24
2017-12,53.247,40.13,53.7,161.8,103.3,27.67,-1.01,-0.05,-0.24
2018-01,7.37932253909177,34.1123348151362,,,117.8,27.72,,,
2018-02,7.37932253909177,14.2154703110943,,,281.8,28.00,,,
2018-03,7.37932253909177,11.8385209392207,,,,28.36,,,
2018-04,7.37932253909177,43.0274142469089,,,,28.81,,,
2018-05,7.37932253909177,53.6266068786837,,,,28.79,,,
2018-06,61.781,41.29,,,,28.38,,,
2018-07,61.781,41.29,,,,27.80,,,
2018-08,61.781,41.29,,,,27.53,,,
2018-09,61.781,41.29,,,,27.61,,,
2018-10,61.781,41.29,,,,27.73,,,
2018-11,61.781,41.29,,,,27.83,,,
2018-12,61.781,41.29,,,,27.86,,,
