area;ciudad;conglomerado;panelm;vivienda;hogar;vi01;vi02;vi03a;vi03b;vi04a;vi04b;vi05a;vi05b;vi06;vi07;vi07a;vi07b;vi08;vi09;vi09a;vi09b;vi10;vi101;vi102;vi10a;vi11;vi12;vi13;vi14;vi141;vi142;vi143;vi144;vi1511;vi1521;vi1512;vi1522;vi1531;vi1541;vi1532;vi1542;vi1533;vi1543;vi1534;vi1544;vi1535;vi1545;vi1536;vi1546;eqt19a011;eqt19a021;eqt19a012;eqt19a022;eqt19a013;eqt19a023;eqt19a014;eqt19a024;eqt19a015;eqt19a025;eqt19a016;eqt19a026;vi20;estrato;fexp;upm;id_vivienda;id_hogar;periodo
1;90150;138903;030;02;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;240;1;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;1;1;2612;272,887126219763;090150138903;09015013890303002;090150138903030021;202207
1;90150;138903;030;03;1;1;1;2;2;2;1;1;1;4;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;1;1;1;2612;272,887126219763;090150138903;09015013890303003;090150138903030031;202207
1;90150;138903;030;04;1;1;2;6;3;4;2;1;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;2;2612;272,887126219763;090150138903;09015013890303004;090150138903030041;202207
1;90150;138903;030;07;1;1;2;3;2;2;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;120; ; ; ;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;1;1;2; ;2; ;1;4;1;3;2; ;2;2612;272,887126219763;090150138903;09015013890303007;090150138903030071;202207
1;90150;138903;030;08;1;1;1;3;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;6;1;6;1;1;1;2612;272,887126219763;090150138903;09015013890303008;090150138903030081;202207
1;90150;138903;030;09;1;1;2;1;1;4;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;140;1;1;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;2;2612;272,887126219763;090150138903;09015013890303009;090150138903030091;202207
1;90150;139201;014;01;1;1;1;3;2;4;2;1;2;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;5;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;80;2; ;2; ;1;2;1;1;2; ;1;3;1;3;1;1;1;2612;997,510521184519;090150139201;09015013920101401;090150139201014011;202207
1;90150;139201;014;02;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;170;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2; ;1;3;1;3;1;1;1;2612;997,510521184519;090150139201;09015013920101402;090150139201014021;202207
1;90150;139201;014;03;1;1;2;6;2;4;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;2;1;2;1;1;1;2612;997,510521184519;090150139201;09015013920101403;090150139201014031;202207
1;90150;139201;014;04;1;1;2;2;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;2; ;2; ;1;1;2;2612;997,510521184519;090150139201;09015013920101404;090150139201014041;202207
1;90150;139201;014;05;1;1;2;6;3;4;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;1;1;2; ;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;1;2;1;2;2; ;2;2612;997,510521184519;090150139201;09015013920101405;090150139201014051;202207
1;90150;139201;014;06;1;1;2;1;1;2;1;1;1;4;3;0;1;3;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;1;1;1;2;1;1;1;1;1;2612;997,510521184519;090150139201;09015013920101406;090150139201014061;202207
1;90150;139201;014;07;1;1;1;2;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;1;1;1;2612;997,510521184519;090150139201;09015013920101407;090150139201014071;202207
1;90150;153001;015;01;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;1;1;2; ;2; ;2; ;1;120;2; ;2; ;1;2;1;1;1;1;1;5;1;5;1;1;1;2612;1167,77271633978;090150153001;09015015300101501;090150153001015011;202207
1;90150;153001;015;02;1;1;2;1;1;2;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;1;2;1;1;1;2;1;2612;1167,77271633978;090150153001;09015015300101502;090150153001015021;202207
1;90150;153001;015;03;1;1;1;3;1;2;1;1;1;5;4;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;1;1;2; ;2; ;2; ;2; ;1;50;2; ;2; ;1;1;1;1;1;1;1;1;1;1;1;2;1;2612;1167,77271633978;090150153001;09015015300101503;090150153001015031;202207
1;90150;153001;015;04;1;1;2;1;2;4;2;1;2;1;0;0;1;1;1; ; ;1; ; ;1;1;1;2;4;250; ; ; ;2; ;1;1;2; ;2; ;2; ;1;40;2; ;2; ;2; ;2; ;2; ;1;2;1;2;2; ;1;2612;1167,77271633978;090150153001;09015015300101504;090150153001015041;202207
1;90150;153001;015;05;1;1;2;3;1;2;1;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;180; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;2; ;2; ;1;1;2;2612;1167,77271633978;090150153001;09015015300101505;090150153001015051;202207
1;90150;153001;015;06;1;1;2;1;1;2;1;1;1;4;3;0;1;1;1; ; ;1; ; ;1;1;1;2;4;200; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;4;1;3;1;2;1;2612;1167,77271633978;090150153001;09015015300101506;090150153001015061;202207
1;90150;153001;015;07;1;1;1;3;1;4;1;1;1;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;4;100; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;3;1;3;1;2;1;2612;1167,77271633978;090150153001;09015015300101507;090150153001015071;202207
1;90150;153601;013;01;1;1;2;6;2;4;2;1;2;4;3;1;1;1;1; ; ;1; ; ;1;1;1;2;5;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;2; ;1;3;1;3;1;1;1;2611;432,718660751877;090150153601;09015015360101301;090150153601013011;202207
1;90150;153601;013;02;1;1;2;3;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;1;200;2;2;2;1;1;2; ;2; ;2; ;2; ;1;60;2; ;2; ;1;1;1;1;2; ;1;1;1;1;1;1;1;2611;432,718660751877;090150153601;09015015360101302;090150153601013021;202207
1;90150;153601;013;03;1;1;2;1;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;150; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;2;1;2;1;2;1;2611;432,718660751877;090150153601;09015015360101303;090150153601013031;202207
1;90150;153601;013;05;1;1;2;3;2;4;2;1;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;5;150; ; ; ;2; ;1;1;2; ;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;1;3;1;2;1;1;1;2611;432,718660751877;090150153601;09015015360101305;090150153601013051;202207
1;90150;153601;013;07;1;1;2;6;2;2;2;1;2;3;2;0;1;1;1; ; ;1; ; ;1;1;1;2;5;250; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;1;1;1;1;1;1;2;2611;432,718660751877;090150153601;09015015360101307;090150153601013071;202207
1;90150;153601;013;08;1;1;2;1;2;2;2;1;2;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;160;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;2; ;2; ;1;5;1;5;1;1;1;2611;432,718660751877;090150153601;09015015360101308;090150153601013081;202207
1;90150;153601;013;10;1;1;2;1;1;2;1;1;1;2;1;0;1;1;1; ; ;1; ; ;1;1;1;2;1;150;2;2;2;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;2; ;1;1;1;1;2; ;1;2611;432,718660751877;090150153601;09015015360101310;090150153601013101;202207
1;90150;179802;030;01;1;1;1;3;2;2;2;1;2;6;5;0;1;1;1; ; ;1; ; ;1;1;1;2;4;300; ; ; ;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ;2; ;1;1;1;1;1;1;2; ;1;2612;1125,48370671365;090150179802;09015017980203001;090150179802030011;202207
