Fecha_Hora,Kennedy,Puente_Aranda,Suba,Usaquen,Dias_lluvia,Int_lluvia
05/09/2014 19:00,0,0,0,0,NO,Ausente
05/09/2014 20:00,0,0,0,0,NO,Ausente
05/09/2014 21:00,0,0,0,0,NO,Ausente
05/09/2014 22:00,0,0,0,0,NO,Ausente
05/09/2014 23:00,0,0,0,0,NO,Ausente
06/09/2014 00:00,0,0,0,0,NO,Ausente
06/09/2014 01:00,0,0,0,0,NO,Ausente
06/09/2014 02:00,0,0,0,0,NO,Ausente
06/09/2014 03:00,0,0,0,0,NO,Ausente
06/09/2014 04:00,0,0,0,0,NO,Ausente
06/09/2014 05:00,0,0,0,0,NO,Ausente
06/09/2014 06:00,0,0,0,0,NO,Ausente
06/09/2014 07:00,0,0,0,0,NO,Ausente
06/09/2014 08:00,0,0,0,0,NO,Ausente
06/09/2014 09:00,0,0,0,0,NO,Ausente
06/09/2014 10:00,0,0,0,0,NO,Ausente
06/09/2014 11:00,0,0,0,0,NO,Ausente
06/09/2014 12:00,0,0,0,0,NO,Ausente
06/09/2014 13:00,0,0,0,0,NO,Ausente
06/09/2014 14:00,0,0,0.8,0.4,SI,Fuerte
06/09/2014 15:00,0,0,0.9,0,SI,Fuerte
06/09/2014 16:00,0,0,0,0,NO,Ausente
06/09/2014 17:00,0,0,0,0,NO,Ausente
06/09/2014 18:00,0,0,0,0,NO,Ausente
06/09/2014 19:00,0,0,0,0,NO,Ausente
06/09/2014 20:00,0,0,0,0,NO,Ausente
06/09/2014 21:00,0,0,0,0,NO,Ausente
06/09/2014 22:00,0,0,0,0,NO,Ausente
06/09/2014 23:00,0,0,0,0,NO,Ausente
07/09/2014 00:00,0,0,0,0,NO,Ausente
07/09/2014 01:00,0,0,0,0,NO,Ausente
07/09/2014 02:00,0,0,0,0,NO,Ausente
07/09/2014 03:00,0,0,0,0,NO,Ausente
07/09/2014 04:00,0,0,0,0,NO,Ausente
07/09/2014 05:00,0,0,0,0,NO,Ausente
07/09/2014 06:00,0,0,0,0,NO,Ausente
07/09/2014 07:00,0,0,0,0,NO,Ausente
07/09/2014 08:00,0,0,0.2,0.5,SI,Fuerte
07/09/2014 09:00,0,0,0,0,NO,Ausente
07/09/2014 10:00,0,0,0,0,NO,Ausente
07/09/2014 11:00,0,0,0,0,NO,Ausente
07/09/2014 12:00,0,0,0,0.1,SI,Llovizna
07/09/2014 13:00,0,0,0,0,NO,Ausente
07/09/2014 14:00,0,0,0,0,NO,Ausente
07/09/2014 15:00,0,0,0,0.1,SI,Llovizna
07/09/2014 16:00,0,0,0,0.1,SI,Llovizna
07/09/2014 17:00,0,0,0,0,NO,Ausente
07/09/2014 18:00,0,0,0,0,NO,Ausente
07/09/2014 19:00,0,0,0,0,NO,Ausente
07/09/2014 20:00,0,0,0,0,NO,Ausente
07/09/2014 21:00,0,0,0,0,NO,Ausente
07/09/2014 22:00,0,0,0,0,NO,Ausente
07/09/2014 23:00,0,0,0,0,NO,Ausente
08/09/2014 00:00,0,0,0,0,NO,Ausente
08/09/2014 01:00,0,0,0,0,NO,Ausente
08/09/2014 02:00,0,0,0,0,NO,Ausente
08/09/2014 03:00,0,0,0,0,NO,Ausente
08/09/2014 04:00,0,0,0,0,NO,Ausente
08/09/2014 05:00,0,0,0,0,NO,Ausente
08/09/2014 06:00,0,0,0,0,NO,Ausente
08/09/2014 07:00,0,0,0,0,NO,Ausente
08/09/2014 08:00,0,0,0,0,NO,Ausente
08/09/2014 09:00,0,0,0,0.2,SI,Moderada
08/09/2014 10:00,0,0,0,0.1,SI,Llovizna
08/09/2014 11:00,0,0,0,0,NO,Ausente
08/09/2014 12:00,0,0,0,0,NO,Ausente
08/09/2014 13:00,0,0,0,0,NO,Ausente
08/09/2014 14:00,0,0,0,0,NO,Ausente
08/09/2014 15:00,0,0,0.1,0.1,SI,Moderada
08/09/2014 16:00,0,0,0.1,0.2,SI,Moderada
08/09/2014 17:00,0,0,0,0,NO,Ausente
08/09/2014 18:00,0,0,0,0,NO,Ausente
08/09/2014 19:00,0,0,0,0,NO,Ausente
08/09/2014 20:00,0,0,0,0,NO,Ausente
08/09/2014 21:00,0,0,0,0,NO,Ausente
08/09/2014 22:00,0,0,0,0,NO,Ausente
08/09/2014 23:00,0,0,0,0,NO,Ausente
09/09/2014 00:00,0,0,0,0,NO,Ausente
09/09/2014 01:00,0,0,0,0,NO,Ausente
09/09/2014 02:00,0,0,0,0,NO,Ausente
09/09/2014 03:00,0,0,0,0,NO,Ausente
09/09/2014 04:00,0,0,0,0,NO,Ausente
09/09/2014 05:00,0,0,0,0,NO,Ausente
09/09/2014 06:00,0,0,0,0,NO,Ausente
09/09/2014 07:00,0,0,0,0,NO,Ausente
09/09/2014 08:00,0,0,0,0,NO,Ausente
09/09/2014 09:00,0,0,0,0,NO,Ausente
09/09/2014 10:00,0,0,0,0,NO,Ausente
09/09/2014 11:00,0,0,0,9.7,SI,Fuerte
09/09/2014 12:00,0,0,0,0,NO,Ausente
09/09/2014 13:00,0,0,0.5,0,SI,Fuerte
09/09/2014 14:00,0,0,3.2,0,SI,Fuerte
09/09/2014 15:00,0,0,0,0,NO,Ausente
09/09/2014 16:00,0,0,0,0,NO,Ausente
09/09/2014 17:00,0,0,0,0,NO,Ausente
09/09/2014 18:00,0,0,0,0,NO,Ausente
09/09/2014 19:00,0,0,0,0,NO,Ausente
09/09/2014 20:00,0,0,0,0,NO,Ausente
09/09/2014 21:00,0,0,0,0,NO,Ausente
09/09/2014 22:00,0,0,0,0,NO,Ausente
09/09/2014 23:00,0,0,0,0,NO,Ausente
10/09/2014 00:00,0,0,0,0,NO,Ausente
10/09/2014 01:00,0,0,0,0,NO,Ausente
10/09/2014 02:00,0,0,0,0,NO,Ausente
10/09/2014 03:00,0,0,0,0,NO,Ausente
10/09/2014 04:00,0,0,0,0,NO,Ausente
10/09/2014 05:00,0,0,0,0,NO,Ausente
10/09/2014 06:00,0,0,0,0,NO,Ausente
10/09/2014 07:00,0,0,0,0,NO,Ausente
10/09/2014 08:00,0,0,0,0,NO,Ausente
10/09/2014 09:00,0,0,0,0,NO,Ausente
10/09/2014 10:00,0,0,0,0,NO,Ausente
10/09/2014 11:00,0,0,0,0,NO,Ausente
10/09/2014 12:00,0,0,0,0,NO,Ausente
10/09/2014 13:00,0,0,0,0,NO,Ausente
10/09/2014 14:00,0,0,0,0,NO,Ausente
10/09/2014 15:00,,0,0,0,NO,Ausente
10/09/2014 16:00,0,0,0,0,NO,Ausente
10/09/2014 17:00,1,0.1,0,0,SI,Fuerte
10/09/2014 18:00,0.2,0,0,0,SI,Moderada
10/09/2014 19:00,0,0,0,0,NO,Ausente
10/09/2014 20:00,0,0,0,0,NO,Ausente
10/09/2014 21:00,0,0,0,0,NO,Ausente
10/09/2014 22:00,0,0,0,0,NO,Ausente
10/09/2014 23:00,0,0,0,0,NO,Ausente
11/09/2014 00:00,0,0,0,0,NO,Ausente
11/09/2014 01:00,0,0,0,0,NO,Ausente
11/09/2014 02:00,0,0,0.3,0.1,SI,Moderada
11/09/2014 03:00,0.1,0.4,1.1,0,SI,Fuerte
11/09/2014 04:00,0,0,0,0,NO,Ausente
11/09/2014 05:00,0,0,0,0,NO,Ausente
11/09/2014 06:00,0,0,0,0,NO,Ausente
11/09/2014 07:00,0,0,0,0,NO,Ausente
11/09/2014 08:00,0,0,0,0,NO,Ausente
11/09/2014 09:00,0,0,0,0,NO,Ausente
11/09/2014 10:00,0,0,0,,NO,Ausente
11/09/2014 11:00,0,0,0,,NO,Ausente
11/09/2014 12:00,0,0.1,0,,SI,Llovizna
11/09/2014 13:00,0,0,0,,NO,Ausente
11/09/2014 14:00,0,0,0,,NO,Ausente
11/09/2014 15:00,0,0,0,,NO,Ausente
11/09/2014 16:00,0,0,0,,NO,Ausente
11/09/2014 17:00,0,0,0,,NO,Ausente
11/09/2014 18:00,0,0,0,,NO,Ausente
11/09/2014 19:00,0,0,0,,NO,Ausente
11/09/2014 20:00,0,0,0,,NO,Ausente
11/09/2014 21:00,0,0,0,,NO,Ausente
11/09/2014 22:00,0,0,0,,NO,Ausente
11/09/2014 23:00,0,0,0,,NO,Ausente
12/09/2014 00:00,0,0,0,,NO,Ausente
12/09/2014 01:00,0,0,0,,NO,Ausente
12/09/2014 02:00,0,0,0,,NO,Ausente
12/09/2014 03:00,0,0,0,,NO,Ausente
12/09/2014 04:00,0,0,0,,NO,Ausente
12/09/2014 05:00,0,0,0,,NO,Ausente
12/09/2014 06:00,0,0,0,,NO,Ausente
12/09/2014 07:00,0,0,0,,NO,Ausente
12/09/2014 08:00,0,0,0,,NO,Ausente
12/09/2014 09:00,0,0,0,,NO,Ausente
12/09/2014 10:00,0,0,0,,NO,Ausente
12/09/2014 11:00,0,0,0,,NO,Ausente
12/09/2014 12:00,0,0,0,,NO,Ausente
12/09/2014 13:00,0,0,0,,NO,Ausente
12/09/2014 14:00,0,0,0,,NO,Ausente
12/09/2014 15:00,0,0,0,,NO,Ausente
12/09/2014 16:00,0,0,0,,NO,Ausente
12/09/2014 17:00,0,0,0,,NO,Ausente
12/09/2014 18:00,0,0,0,,NO,Ausente
12/09/2014 19:00,0,0,0,,NO,Ausente
12/09/2014 20:00,0,0,0,,NO,Ausente
12/09/2014 21:00,0,0,0,,NO,Ausente
12/09/2014 22:00,0,0,0,,NO,Ausente
12/09/2014 23:00,0,0,0,,NO,Ausente
13/09/2014 00:00,0,0,0,,NO,Ausente
13/09/2014 01:00,0.2,0,0,,SI,Moderada
13/09/2014 02:00,0,0,0,,NO,Ausente
13/09/2014 03:00,0,0,0,,NO,Ausente
13/09/2014 04:00,0,0,0,,NO,Ausente
13/09/2014 05:00,0,0,0,,NO,Ausente
13/09/2014 06:00,0.1,0,1.2,,SI,Fuerte
13/09/2014 07:00,0,0,0,,NO,Ausente
13/09/2014 08:00,0,0,0,,NO,Ausente
13/09/2014 09:00,0,0,0,,NO,Ausente
13/09/2014 10:00,0,0,0,,NO,Ausente
13/09/2014 11:00,0,0,0,,NO,Ausente
13/09/2014 12:00,0,0,0,,NO,Ausente
13/09/2014 13:00,0,0,0,,NO,Ausente
13/09/2014 14:00,0,0,0,,NO,Ausente
13/09/2014 15:00,0,0,0,,NO,Ausente
13/09/2014 16:00,0,0,0,,NO,Ausente
13/09/2014 17:00,0,0,0,,NO,Ausente
13/09/2014 18:00,0,0,0,,NO,Ausente
13/09/2014 19:00,0,0,0,,NO,Ausente
13/09/2014 20:00,0,0,0,,NO,Ausente
13/09/2014 21:00,0,0,0,,NO,Ausente
13/09/2014 22:00,0,0,0,,NO,Ausente
13/09/2014 23:00,0,0,0,,NO,Ausente
14/09/2014 00:00,0,0,0,,NO,Ausente
14/09/2014 01:00,0,1,0.4,,SI,Fuerte
14/09/2014 02:00,1.7,0.6,0.3,,SI,Fuerte
14/09/2014 03:00,1.6,0.7,0.4,,SI,Fuerte
14/09/2014 04:00,0.3,0,0.1,,SI,Moderada
14/09/2014 05:00,0.2,0,0,,SI,Moderada
14/09/2014 06:00,0.8,0.8,0,,SI,Fuerte
14/09/2014 07:00,0.4,0.3,0.1,,SI,Fuerte
14/09/2014 08:00,0,0,0,,NO,Ausente
14/09/2014 09:00,0,0,0,,NO,Ausente
14/09/2014 10:00,0,0,0,,NO,Ausente
14/09/2014 11:00,0,0,0,,NO,Ausente
14/09/2014 12:00,0,0.2,0,,SI,Moderada
14/09/2014 13:00,0,0,0,,NO,Ausente
14/09/2014 14:00,0,0,0,,NO,Ausente
14/09/2014 15:00,0,0,0,,NO,Ausente
14/09/2014 16:00,0,0,0,,NO,Ausente
14/09/2014 17:00,0,0,0,,NO,Ausente
14/09/2014 18:00,0,0,0,,NO,Ausente
14/09/2014 19:00,0,0,0,,NO,Ausente
14/09/2014 20:00,0,0,0,,NO,Ausente
14/09/2014 21:00,0,0,0,,NO,Ausente
14/09/2014 22:00,0,0,0,,NO,Ausente
14/09/2014 23:00,0,0,0,,NO,Ausente
15/09/2014 00:00,0,0,0,,NO,Ausente
15/09/2014 01:00,0,0,0,,NO,Ausente
15/09/2014 02:00,0,0,0,,NO,Ausente
15/09/2014 03:00,0,0,0,,NO,Ausente
15/09/2014 04:00,0,0,0,,NO,Ausente
15/09/2014 05:00,0,0,0,,NO,Ausente
15/09/2014 06:00,0,0,0,,NO,Ausente
15/09/2014 07:00,0,0,0,,NO,Ausente
15/09/2014 08:00,0,0,0,,NO,Ausente
15/09/2014 09:00,0,0,0,,NO,Ausente
15/09/2014 10:00,0,0,0,,NO,Ausente
15/09/2014 11:00,0,0,0,,NO,Ausente
15/09/2014 12:00,0,0,0,,NO,Ausente
15/09/2014 13:00,0,0,0,,NO,Ausente
15/09/2014 14:00,0,0,0,,NO,Ausente
15/09/2014 15:00,0,0,0,,NO,Ausente
15/09/2014 16:00,0,0,0,,NO,Ausente
15/09/2014 17:00,0,0,0,,NO,Ausente
15/09/2014 18:00,0,0,0,,NO,Ausente
15/09/2014 19:00,0,0,0,,NO,Ausente
15/09/2014 20:00,0,0,0,,NO,Ausente
15/09/2014 21:00,0,0,0,,NO,Ausente
15/09/2014 22:00,0,0,0,,NO,Ausente
15/09/2014 23:00,0,0,0,,NO,Ausente
16/09/2014 00:00,0,0,0,,NO,Ausente
16/09/2014 01:00,0,0,0,,NO,Ausente
16/09/2014 02:00,0,0,0,,NO,Ausente
16/09/2014 03:00,0,0,0,,NO,Ausente
16/09/2014 04:00,0,0,0,,NO,Ausente
16/09/2014 05:00,0,0,0,,NO,Ausente
16/09/2014 06:00,0,0,0,,NO,Ausente
16/09/2014 07:00,0,0,0,,NO,Ausente
16/09/2014 08:00,0,0,0,,NO,Ausente
16/09/2014 09:00,0,0,0,,NO,Ausente
16/09/2014 10:00,0,0,0,,NO,Ausente
16/09/2014 11:00,0,0,0,,NO,Ausente
16/09/2014 12:00,0,0.3,0,,SI,Moderada
16/09/2014 13:00,0,0,0,,NO,Ausente
16/09/2014 14:00,0,0,0,,NO,Ausente
16/09/2014 15:00,0,0,0,,NO,Ausente
16/09/2014 16:00,0,0,0,0,NO,Ausente
16/09/2014 17:00,0,0,0,0,NO,Ausente
16/09/2014 18:00,0,0,0,0,NO,Ausente
16/09/2014 19:00,0,0,0,0,NO,Ausente
16/09/2014 20:00,0,0,0,0,NO,Ausente
16/09/2014 21:00,0,0,0,0,NO,Ausente
16/09/2014 22:00,0,0,0,0,NO,Ausente
16/09/2014 23:00,0,0,0,0,NO,Ausente
17/09/2014 00:00,0,0,0,0,NO,Ausente
17/09/2014 01:00,0,0,0,0,NO,Ausente
