EMISION,Total,Mediana,Media,Max,Count,Grupo
2023-04-05,1611,4.0,6.522267206477733,50.0,247,HO
2023-04-06,1466,4.0,6.915094339622642,50.0,212,HO
2023-04-07,0,0.0,0.0,0.0,0,HO
2023-04-08,0,0.0,0.0,0.0,0,HO
2023-04-09,0,0.0,0.0,0.0,0,HO
2023-04-10,2169,5.0,8.781376518218623,50.0,247,HO
2023-04-11,2839,5.0,10.067375886524824,70.0,282,HO
2023-04-12,2270,4.0,8.19494584837545,100.0,277,HO
2023-04-13,3545,5.0,9.353562005277045,100.0,379,HO
2023-04-14,2681,6.0,8.30030959752322,40.0,323,HO
2023-04-15,1705,4.0,7.5777777777777775,80.0,225,HO
2023-04-16,0,0.0,0.0,0.0,0,HO
2023-04-17,3369,5.0,11.009803921568627,150.0,306,HO
2023-04-18,3710,3.0,14.722222222222221,1000.0,252,HO
2023-04-19,2808,4.0,9.298013245033113,50.0,302,HO
2023-04-20,3018,5.0,10.0265780730897,70.0,301,HO
2023-04-21,2671,5.0,8.425867507886435,70.0,317,HO
2023-04-22,2090,5.0,9.952380952380953,75.0,210,HO
2023-04-23,0,0.0,0.0,0.0,0,HO
2023-04-24,2371,2.0,9.638211382113822,150.0,246,HO
2023-04-25,3241,3.0,9.91131498470948,100.0,327,HO
2023-04-26,3374,4.0,10.990228013029316,150.0,307,HO
2023-04-27,3089,5.0,10.061889250814332,100.0,307,HO
2023-04-28,1966,5.0,7.175182481751825,55.0,274,HO
2023-04-29,1682,6.0,11.845070422535212,82.0,142,HO
2023-04-30,0,0.0,0.0,0.0,0,HO
2023-05-01,0,0.0,0.0,0.0,0,HO
2023-05-02,2344,3.0,7.892255892255892,100.0,297,HO
2023-05-03,3838,6.0,13.054421768707483,150.0,294,HO
2023-05-04,3231,5.0,13.690677966101696,100.0,236,HO
2023-05-05,2127,3.0,7.043046357615894,100.0,302,HO
2023-05-06,1589,4.0,7.425233644859813,50.0,214,HO
2023-05-07,0,0.0,0.0,0.0,0,HO
2023-05-08,3678,5.0,14.423529411764706,200.0,255,HO
2023-05-09,3234,4.0,9.008356545961004,120.0,359,HO
2023-05-10,3930,8.0,13.98576512455516,115.0,281,HO
2023-05-11,2856,4.0,8.326530612244898,50.0,343,HO
2023-05-12,2346,4.0,6.920353982300885,96.0,339,HO
2023-05-13,2978,5.0,8.114441416893733,50.0,367,HO
2023-05-14,0,0.0,0.0,0.0,0,HO
2023-05-15,2408,5.0,9.226053639846743,70.0,261,HO
2023-05-16,3426,4.0,12.279569892473118,410.0,279,HO
2023-05-17,2745,3.0,9.368600682593856,70.0,293,HO
2023-05-18,3314,6.0,10.072948328267477,60.0,329,HO
2023-05-19,3298,6.0,13.40650406504065,100.0,246,HO
2023-05-20,2619,8.0,10.603238866396762,50.0,247,HO
2023-05-21,0,0.0,0.0,0.0,0,HO
2023-05-22,1729,3.0,6.780392156862745,85.0,255,HO
2023-05-23,3473,5.5,11.203225806451613,80.0,310,HO
2023-05-24,2734,5.0,8.905537459283387,70.0,307,HO
2023-05-25,2273,4.0,8.449814126394052,165.0,269,HO
2023-05-26,0,0.0,0.0,0.0,0,HO
2023-05-27,2830,10.0,12.412280701754385,100.0,228,HO
