FECHA,QH0889,QH0894,PM0141,PM0501,PM0431,SST,SPI M0141,SPI M0501,SPI M0431
01-01-86,56.39,29.36,75.00,16.50,116.80,27.44,-0.57,-1.67,0.00
01-02-86,39.80,32.93,79.30,51.70,142.80,27.63,-0.47,-1.28,0.46
01-03-86,48.97,68.29,100.80,91.80,113.30,27.84,-0.02,-0.83,-0.06
01-04-86,110.33,55.61,153.50,121.60,235.60,28.21,1.09,-0.50,2.09
01-05-86,95.22,54.91,90.10,119.60,229.10,28.36,-0.25,-0.52,1.98
01-06-86,67.15,95.96,54.30,204.30,204.40,27.50,-1.00,0.42,1.54
01-07-86,109.07,31.60,97.40,35.50,264.50,26.71,-0.09,-1.46,2.60
01-08-86,60.71,57.50,26.30,104.60,180.40,26.20,-1.59,-0.69,1.12
01-09-86,74.18,51.98,97.60,54.80,206.60,26.87,-0.09,-1.25,1.58
01-10-86,52.97,51.36,112.20,60.90,249.30,26.21,0.22,-1.18,2.33
01-11-86,58.02,31.26,101.50,63.60,195.40,26.33,-0.01,-1.15,1.39
01-12-86,77.40,50.98,66.60,140.06,94.40,26.50,-0.74,0.00,-0.39
01-01-87,82.69,22.41,66.10,39.70,115.50,26.54,-0.75,-1.42,-0.02
01-02-87,159.20,66.04,114.80,45.80,214.00,26.81,0.27,-1.35,1.71
01-03-87,66.90,65.98,97.10,36.40,167.90,27.39,-0.10,-1.45,0.90
01-04-87,79.98,53.21,147.60,30.60,291.10,28.94,0.97,-1.52,3.07
01-05-87,75.38,87.20,119.20,89.00,200.70,28.19,0.37,-0.86,1.48
01-06-87,85.71,54.54,48.60,67.90,171.40,27.61,-1.12,-1.10,0.96
01-07-87,128.40,66.25,86.40,19.30,185.40,26.93,-0.32,-1.64,1.21
01-08-87,66.56,44.07,68.50,33.10,127.00,26.56,-0.70,-1.49,0.18
01-09-87,55.73,44.60,86.80,37.60,140.70,26.41,-0.32,-1.44,0.42
01-10-87,42.78,41.99,94.30,48.90,87.50,26.25,-0.16,-1.31,-0.51
01-11-87,29.62,12.55,97.60,18.00,117.90,26.30,-0.09,-1.66,0.02
01-12-87,50.93,20.10,34.60,21.60,103.00,26.30,-1.42,-1.62,-0.24
01-01-88,58.57,28.53,149.80,26.70,60.70,26.41,1.01,-1.56,-0.99
01-02-88,86.10,53.61,140.90,39.10,132.60,26.50,0.83,-1.42,0.28
01-03-88,70.68,26.82,52.80,26.20,94.80,26.82,-1.03,-1.57,-0.39
01-04-88,76.25,97.13,264.40,70.40,165.60,27.36,3.43,-1.07,0.86
01-05-88,74.71,115.03,102.20,56.80,134.60,26.82,0.01,-1.22,0.32
01-06-88,52.49,76.02,53.20,83.30,83.60,26.29,-1.03,-0.93,-0.58
