Date,Energie cumule (kWh),Energie par periode (kWh),Puissance moyenne (kW)
2022-12-12 20:50:00,307721,10,15
2022-12-12 21:30:00,307729,8,12
2022-12-12 22:10:00,307737,8,12
2022-12-12 22:50:00,307742,5,7.5
2022-12-12 23:30:00,307745,3,4.5
2022-12-13 00:10:00,307750,5,7.5
2022-12-13 00:50:00,307759,9,13.5
2022-12-13 01:30:00,307765,6,9
2022-12-13 02:10:00,307772,7,10.5
2022-12-13 02:50:00,307779,7,10.5
2022-12-13 03:30:00,307784,5,7.5
2022-12-13 04:10:00,307790,6,9
2022-12-13 04:50:00,307795,5,7.5
2022-12-13 05:30:00,307798,3,4.5
2022-12-13 06:10:00,307803,5,7.5
2022-12-13 06:50:00,307809,6,9
2022-12-13 07:30:00,307815,6,9
2022-12-13 08:10:00,307826,11,16.5
2022-12-13 08:50:00,307841,15,22.5
2022-12-13 09:30:00,307855,14,21
2022-12-13 10:10:00,307876,21,31.5
2022-12-13 10:50:00,307896,20,30
2022-12-13 11:30:00,307911,15,22.5
2022-12-13 12:10:00,307933,22,33
2022-12-13 12:50:00,307952,19,28.5
2022-12-13 13:30:00,307963,11,16.5
2022-12-13 14:10:00,307981,18,27
2022-12-13 14:50:00,308001,20,30
2022-12-13 15:30:00,308014,13,19.5
2022-12-13 16:10:00,308034,20,30
2022-12-13 16:50:00,308051,17,25.5
2022-12-13 17:30:00,308060,9,13.5
2022-12-13 18:10:00,308070,10,15
2022-12-13 18:50:00,308078,8,12
2022-12-13 19:30:00,308083,5,7.5
2022-12-13 20:10:00,308089,6,9
2022-12-13 20:50:00,308095,6,9
2022-12-13 21:30:00,308098,3,4.5
2022-12-13 22:10:00,308102,4,6
2022-12-13 22:50:00,308107,5,7.5
2022-12-13 23:30:00,308109,2,3
2022-12-14 00:10:00,308114,5,7.5
2022-12-14 00:50:00,308123,9,13.5
2022-12-14 01:30:00,308128,5,7.5
2022-12-14 02:10:00,308134,6,9
2022-12-14 02:50:00,308138,4,6
2022-12-14 03:30:00,308144,6,9
2022-12-14 04:10:00,308150,6,9
2022-12-14 04:50:00,308154,4,6
2022-12-14 05:30:00,308157,3,4.5
2022-12-14 06:10:00,308161,4,6
2022-12-14 06:50:00,308165,4,6
2022-12-14 07:30:00,308169,4,6
2022-12-14 08:10:00,308177,8,12
2022-12-14 08:50:00,308185,8,12
2022-12-14 09:30:00,308198,13,19.5
2022-12-14 10:10:00,308212,14,21
2022-12-14 10:50:00,308232,20,30
2022-12-14 11:30:00,308245,13,19.5
2022-12-14 12:10:00,308265,20,30
2022-12-14 12:50:00,308282,17,25.5
2022-12-14 13:30:00,308291,9,13.5
2022-12-14 14:10:00,308304,13,19.5
2022-12-14 14:50:00,308313,9,13.5
2022-12-14 15:30:00,308325,12,18
2022-12-14 16:10:00,308338,13,19.5
2022-12-14 16:50:00,308350,12,18
2022-12-14 17:30:00,308359,9,13.5
2022-12-14 18:10:00,308371,12,18
2022-12-14 18:50:00,308375,4,6
2022-12-14 19:30:00,308381,6,9
2022-12-14 20:10:00,308385,4,6
2022-12-14 20:50:00,308388,3,4.5
2022-12-14 21:30:00,308392,4,6
2022-12-14 22:10:00,308396,4,6
2022-12-14 22:50:00,308398,2,3
2022-12-14 23:30:00,308402,4,6
2022-12-15 00:10:00,308407,5,7.5
2022-12-15 00:50:00,308413,6,9
2022-12-15 01:30:00,308420,7,10.5
2022-12-15 02:10:00,308425,5,7.5
2022-12-15 02:50:00,308431,6,9
2022-12-15 03:30:00,308434,3,4.5
2022-12-15 04:10:00,308437,3,4.5
2022-12-15 04:50:00,308440,3,4.5
2022-12-15 05:30:00,308442,2,3
2022-12-15 06:10:00,308445,3,4.5
2022-12-15 06:50:00,308448,3,4.5
2022-12-15 07:30:00,308452,4,6
2022-12-15 08:10:00,308459,7,10.5
2022-12-15 08:50:00,308470,11,16.5
2022-12-15 09:30:00,308479,9,13.5
2022-12-15 10:10:00,308496,17,25.5
2022-12-15 10:50:00,308510,14,21
2022-12-15 11:30:00,308531,21,31.5
2022-12-15 12:10:00,308551,20,30
2022-12-15 12:50:00,308564,13,19.5
2022-12-15 13:30:00,308584,20,30
2022-12-15 14:10:00,308604,20,30
2022-12-15 14:50:00,308617,13,19.5
2022-12-15 15:30:00,308635,18,27
2022-12-15 16:10:00,308652,17,25.5
2022-12-15 16:50:00,308668,16,24
2022-12-15 17:30:00,308679,11,16.5
2022-12-15 18:10:00,308693,14,21
2022-12-15 18:50:00,308702,9,13.5
2022-12-15 19:30:00,308708,6,9
2022-12-15 20:10:00,308716,8,12
