Date,Energie cumule (kWh),Energie par periode (kWh),Puissance moyenne (kW)
2023-07-11 13:20:00,342229,3,4.5
2023-07-11 14:00:00,342233,4,6
2023-07-11 14:40:00,342238,5,7.5
2023-07-11 15:20:00,342241,3,4.5
2023-07-11 16:00:00,342246,5,7.5
2023-07-11 16:40:00,342250,4,6
2023-07-11 17:20:00,342253,3,4.5
2023-07-11 18:00:00,342257,4,6
2023-07-11 18:40:00,342259,2,3
2023-07-11 19:20:00,342260,1,1.5
2023-07-11 20:00:00,342262,2,3
2023-07-11 20:40:00,342264,2,3
2023-07-11 21:20:00,342266,2,3
2023-07-11 22:00:00,342269,3,4.5
2023-07-11 22:40:00,342272,3,4.5
2023-07-11 23:20:00,342274,2,3
2023-07-12 00:00:00,342276,2,3
2023-07-12 00:40:00,342282,6,9
2023-07-12 01:20:00,342285,3,4.5
2023-07-12 02:00:00,342289,4,6
2023-07-12 02:40:00,342292,3,4.5
2023-07-12 03:20:00,342293,1,1.5
2023-07-12 04:00:00,342296,3,4.5
2023-07-12 04:40:00,342299,3,4.5
2023-07-12 05:20:00,342300,1,1.5
2023-07-12 06:00:00,342303,3,4.5
2023-07-12 06:40:00,342305,2,3
2023-07-12 07:20:00,342306,1,1.5
2023-07-12 08:00:00,342309,3,4.5
2023-07-12 08:40:00,342313,4,6
2023-07-12 09:20:00,342316,3,4.5
2023-07-12 10:00:00,342320,4,6
2023-07-12 10:40:00,342325,5,7.5
2023-07-12 11:20:00,342328,3,4.5
2023-07-12 12:00:00,342332,4,6
2023-07-12 12:40:00,342336,4,6
2023-07-12 13:20:00,342339,3,4.5
2023-07-12 14:00:00,342343,4,6
2023-07-12 14:40:00,342348,5,7.5
2023-07-12 15:20:00,342351,3,4.5
2023-07-12 16:00:00,342355,4,6
2023-07-12 16:40:00,342360,5,7.5
2023-07-12 17:20:00,342363,3,4.5
2023-07-12 18:00:00,342367,4,6
2023-07-12 18:40:00,342369,2,3
2023-07-12 19:20:00,342370,1,1.5
2023-07-12 20:00:00,342372,2,3
2023-07-12 20:40:00,342374,2,3
2023-07-12 21:20:00,342376,2,3
2023-07-12 22:00:00,342378,2,3
2023-07-12 22:40:00,342380,2,3
2023-07-12 23:20:00,342382,2,3
2023-07-13 00:00:00,342385,3,4.5
2023-07-13 00:40:00,342391,6,9
2023-07-13 01:20:00,342394,3,4.5
2023-07-13 02:00:00,342398,4,6
2023-07-13 02:40:00,342399,1,1.5
2023-07-13 03:20:00,342401,2,3
2023-07-13 04:00:00,342402,1,1.5
2023-07-13 04:40:00,342405,3,4.5
2023-07-13 05:20:00,342406,1,1.5
2023-07-13 06:00:00,342408,2,3
2023-07-13 06:40:00,342410,2,3
2023-07-13 07:20:00,342411,1,1.5
2023-07-13 08:00:00,342414,3,4.5
2023-07-13 08:40:00,342418,4,6
2023-07-13 09:20:00,342421,3,4.5
2023-07-13 10:00:00,342425,4,6
2023-07-13 10:40:00,342429,4,6
2023-07-13 11:20:00,342432,3,4.5
2023-07-13 12:00:00,342436,4,6
2023-07-13 12:40:00,342440,4,6
2023-07-13 13:20:00,342442,2,3
2023-07-13 14:00:00,342446,4,6
2023-07-13 14:40:00,342450,4,6
2023-07-13 15:20:00,342453,3,4.5
2023-07-13 16:00:00,342457,4,6
2023-07-13 16:40:00,342461,4,6
2023-07-13 17:20:00,342463,2,3
2023-07-13 18:00:00,342467,4,6
2023-07-13 18:40:00,342470,3,4.5
2023-07-13 19:20:00,342471,1,1.5
2023-07-13 20:00:00,342474,3,4.5
2023-07-13 20:40:00,342476,2,3
2023-07-13 21:20:00,342478,2,3
2023-07-13 22:00:00,342481,3,4.5
2023-07-13 22:40:00,342483,2,3
2023-07-13 23:20:00,342485,2,3
2023-07-14 00:00:00,342486,1,1.5
2023-07-14 00:40:00,342492,6,9
2023-07-14 01:20:00,342495,3,4.5
2023-07-14 02:00:00,342499,4,6
2023-07-14 02:40:00,342500,1,1.5
2023-07-14 03:20:00,342502,2,3
2023-07-14 04:00:00,342504,2,3
2023-07-14 04:40:00,342506,2,3
2023-07-14 05:20:00,342508,2,3
2023-07-14 06:00:00,342510,2,3
2023-07-14 06:40:00,342512,2,3
2023-07-14 07:20:00,342513,1,1.5
2023-07-14 08:00:00,342516,3,4.5
2023-07-14 08:40:00,342519,3,4.5
2023-07-14 09:20:00,342522,3,4.5
2023-07-14 10:00:00,342525,3,4.5
2023-07-14 10:40:00,342528,3,4.5
2023-07-14 11:20:00,342531,3,4.5
2023-07-14 12:00:00,342534,3,4.5
2023-07-14 12:40:00,342538,4,6
2023-07-14 13:20:00,342540,2,3
2023-07-14 14:00:00,342543,3,4.5
2023-07-14 14:40:00,342547,4,6
2023-07-14 15:20:00,342549,2,3
2023-07-14 16:00:00,342552,3,4.5
2023-07-14 16:40:00,342556,4,6
2023-07-14 17:20:00,342558,2,3
2023-07-14 18:00:00,342562,4,6
2023-07-14 18:40:00,342564,2,3
2023-07-14 19:20:00,342566,2,3
2023-07-14 20:00:00,342569,3,4.5
2023-07-14 20:40:00,342572,3,4.5
2023-07-14 21:20:00,342575,3,4.5
2023-07-14 22:00:00,342578,3,4.5
2023-07-14 22:40:00,342581,3,4.5
2023-07-14 23:20:00,342583,2,3
2023-07-15 00:00:00,342586,3,4.5
2023-07-15 00:40:00,342591,5,7.5
2023-07-15 01:20:00,342594,3,4.5
2023-07-15 02:00:00,342596,2,3
2023-07-15 02:40:00,342599,3,4.5
2023-07-15 03:20:00,342600,1,1.5
2023-07-15 04:00:00,342602,2,3
2023-07-15 04:40:00,342604,2,3
2023-07-15 05:20:00,342606,2,3
2023-07-15 06:00:00,342608,2,3
2023-07-15 06:40:00,342610,2,3
2023-07-15 07:20:00,342611,1,1.5
2023-07-15 08:00:00,342613,2,3
2023-07-15 08:40:00,342614,1,1.5
2023-07-15 09:20:00,342615,1,1.5
2023-07-15 10:00:00,342617,2,3
2023-07-15 10:40:00,342619,2,3
2023-07-15 11:20:00,342620,1,1.5
2023-07-15 12:00:00,342622,2,3
2023-07-15 12:40:00,342624,2,3
2023-07-15 13:20:00,342625,1,1.5
2023-07-15 14:00:00,342627,2,3
2023-07-15 14:40:00,342629,2,3
2023-07-15 15:20:00,342630,1,1.5
2023-07-15 16:00:00,342632,2,3
2023-07-15 16:40:00,342635,3,4.5
2023-07-15 17:20:00,342636,1,1.5
2023-07-15 18:00:00,342638,2,3
2023-07-15 18:40:00,342640,2,3
2023-07-15 19:20:00,342642,2,3
2023-07-15 20:00:00,342643,1,1.5
2023-07-15 20:40:00,342645,2,3
2023-07-15 21:20:00,342647,2,3
2023-07-15 22:00:00,342650,3,4.5
2023-07-15 22:40:00,342652,2,3
2023-07-15 23:20:00,342653,1,1.5
2023-07-16 00:00:00,342654,1,1.5
2023-07-16 00:40:00,342658,4,6
2023-07-16 01:20:00,342660,2,3
2023-07-16 02:00:00,342661,1,1.5
2023-07-16 02:40:00,342663,2,3
2023-07-16 03:20:00,342664,1,1.5
2023-07-16 04:00:00,342666,2,3
2023-07-16 04:40:00,342668,2,3
2023-07-16 05:20:00,342670,2,3
2023-07-16 06:00:00,342671,1,1.5
2023-07-16 06:40:00,342673,2,3
2023-07-16 07:20:00,342674,1,1.5
2023-07-16 08:00:00,342676,2,3
2023-07-16 08:40:00,342677,1,1.5
2023-07-16 09:20:00,342678,1,1.5
2023-07-16 10:00:00,342680,2,3
2023-07-16 10:40:00,342681,1,1.5
2023-07-16 11:20:00,342682,1,1.5
2023-07-16 12:00:00,342684,2,3
2023-07-16 12:40:00,342686,2,3
2023-07-16 13:20:00,342687,1,1.5
2023-07-16 14:00:00,342689,2,3
2023-07-16 14:40:00,342691,2,3
2023-07-16 15:20:00,342692,1,1.5
2023-07-16 16:00:00,342694,2,3
2023-07-16 16:40:00,342696,2,3
2023-07-16 17:20:00,342697,1,1.5
2023-07-16 18:00:00,342699,2,3
2023-07-16 18:40:00,342701,2,3
2023-07-16 19:20:00,342703,2,3
2023-07-16 20:00:00,342705,2,3
2023-07-16 20:40:00,342708,3,4.5
2023-07-16 21:20:00,342710,2,3
2023-07-16 22:00:00,342713,3,4.5
2023-07-16 22:40:00,342715,2,3
2023-07-16 23:20:00,342716,1,1.5
2023-07-17 00:00:00,342718,2,3
2023-07-17 00:40:00,342724,6,9
2023-07-17 01:20:00,342727,3,4.5
2023-07-17 02:00:00,342730,3,4.5
2023-07-17 02:40:00,342732,2,3
2023-07-17 03:20:00,342733,1,1.5
2023-07-17 04:00:00,342735,2,3
2023-07-17 04:40:00,342737,2,3
2023-07-17 05:20:00,342738,1,1.5
2023-07-17 06:00:00,342740,2,3
2023-07-17 06:40:00,342742,2,3
2023-07-17 07:20:00,342743,1,1.5
2023-07-17 08:00:00,342746,3,4.5
2023-07-17 08:40:00,342750,4,6
2023-07-17 09:20:00,342753,3,4.5
2023-07-17 10:00:00,342756,3,4.5
2023-07-17 10:40:00,342760,4,6
2023-07-17 11:20:00,342763,3,4.5
2023-07-17 12:00:00,342766,3,4.5
2023-07-17 12:40:00,342770,4,6
2023-07-17 13:20:00,342773,3,4.5
2023-07-17 14:00:00,342777,4,6
2023-07-17 14:40:00,342781,4,6
2023-07-17 15:20:00,342783,2,3
2023-07-17 16:00:00,342787,4,6
2023-07-17 16:40:00,342790,3,4.5
2023-07-17 17:30:00,342793,3,3.6
2023-07-17 18:00:00,342797,4,8
2023-07-17 18:40:00,342799,2,3
2023-07-17 19:20:00,342800,1,1.5
2023-07-17 20:00:00,342803,3,4.5
2023-07-17 20:40:00,342805,2,3
2023-07-17 21:20:00,342807,2,3
2023-07-17 22:00:00,342810,3,4.5
2023-07-17 22:40:00,342812,2,3
2023-07-17 23:20:00,342814,2,3
2023-07-18 00:00:00,342816,2,3
2023-07-18 00:40:00,342822,6,9
2023-07-18 01:20:00,342825,3,4.5
2023-07-18 02:00:00,342829,4,6
2023-07-18 02:40:00,342832,3,4.5
2023-07-18 03:20:00,342833,1,1.5
2023-07-18 04:00:00,342836,3,4.5
2023-07-18 04:40:00,342838,2,3
2023-07-18 05:20:00,342840,2,3
2023-07-18 06:00:00,342842,2,3
2023-07-18 06:40:00,342843,1,1.5
2023-07-18 07:20:00,342845,2,3
2023-07-18 08:00:00,342848,3,4.5
2023-07-18 08:40:00,342851,3,4.5
2023-07-18 09:20:00,342854,3,4.5
2023-07-18 10:00:00,342858,4,6
2023-07-18 10:40:00,342862,4,6
2023-07-18 11:20:00,342865,3,4.5
2023-07-18 12:00:00,342869,4,6
2023-07-18 12:40:00,342874,5,7.5
2023-07-18 13:20:00,342877,3,4.5
2023-07-18 14:00:00,342881,4,6
2023-07-18 14:40:00,342885,4,6
2023-07-18 15:20:00,342888,3,4.5
2023-07-18 16:00:00,342892,4,6
2023-07-18 16:40:00,342896,4,6
2023-07-18 17:20:00,342898,2,3
2023-07-18 18:00:00,342902,4,6
2023-07-18 18:40:00,342904,2,3
2023-07-18 19:20:00,342906,2,3
2023-07-18 20:00:00,342907,1,1.5
2023-07-18 20:40:00,342909,2,3
2023-07-18 21:20:00,342911,2,3
2023-07-18 22:00:00,342914,3,4.5
2023-07-18 22:40:00,342916,2,3
2023-07-18 23:20:00,342918,2,3
2023-07-19 00:00:00,342919,1,1.5
2023-07-19 00:40:00,342925,6,9
2023-07-19 01:20:00,342928,3,4.5
2023-07-19 02:00:00,342932,4,6
2023-07-19 02:40:00,342934,2,3
2023-07-19 03:20:00,342936,2,3
2023-07-19 04:00:00,342938,2,3
2023-07-19 04:40:00,342940,2,3
2023-07-19 05:20:00,342942,2,3
2023-07-19 06:00:00,342944,2,3
2023-07-19 06:40:00,342946,2,3
2023-07-19 07:20:00,342948,2,3
2023-07-19 08:00:00,342951,3,4.5
2023-07-19 08:40:00,342955,4,6
2023-07-19 09:20:00,342958,3,4.5
2023-07-19 10:00:00,342962,4,6
2023-07-19 10:40:00,342966,4,6
2023-07-19 11:20:00,342969,3,4.5
2023-07-19 12:00:00,342973,4,6
2023-07-19 12:40:00,342977,4,6
2023-07-19 13:20:00,342980,3,4.5
2023-07-19 14:00:00,342984,4,6
2023-07-19 14:40:00,342988,4,6
2023-07-19 15:20:00,342991,3,4.5
2023-07-19 16:00:00,342995,4,6
2023-07-19 16:40:00,343000,5,7.5
2023-07-19 17:20:00,343003,3,4.5
2023-07-19 18:00:00,343007,4,6
2023-07-19 18:40:00,343010,3,4.5
2023-07-19 19:20:00,343011,1,1.5
2023-07-19 20:00:00,343014,3,4.5
2023-07-19 20:40:00,343016,2,3
2023-07-19 21:20:00,343017,1,1.5
2023-07-19 22:00:00,343020,3,4.5
2023-07-19 22:40:00,343022,2,3
2023-07-19 23:20:00,343023,1,1.5
2023-07-20 00:00:00,343026,3,4.5
2023-07-20 00:40:00,343031,5,7.5
2023-07-20 01:20:00,343034,3,4.5
2023-07-20 02:00:00,343037,3,4.5
2023-07-20 02:40:00,343039,2,3
2023-07-20 03:20:00,343040,1,1.5
2023-07-20 04:00:00,343043,3,4.5
2023-07-20 04:40:00,343045,2,3
2023-07-20 05:20:00,343047,2,3
2023-07-20 06:00:00,343049,2,3
2023-07-20 06:40:00,343051,2,3
2023-07-20 07:20:00,343052,1,1.5
2023-07-20 08:00:00,343056,4,6
2023-07-20 08:40:00,343059,3,4.5
2023-07-20 09:20:00,343062,3,4.5
2023-07-20 10:00:00,343066,4,6
2023-07-20 10:40:00,343070,4,6
2023-07-20 11:20:00,343072,2,3
2023-07-20 12:00:00,343076,4,6
2023-07-20 12:40:00,343081,5,7.5
2023-07-20 13:20:00,343083,2,3
2023-07-20 14:00:00,343084,1,1.5
2023-07-20 14:40:00,343086,2,3
2023-07-20 15:20:00,343088,2,3
2023-07-20 16:00:00,343090,2,3
2023-07-20 16:40:00,343092,2,3
2023-07-20 17:20:00,343093,1,1.5
2023-07-20 18:00:00,343095,2,3
2023-07-20 18:40:00,343097,2,3
2023-07-20 19:20:00,343098,1,1.5
2023-07-20 20:00:00,343100,2,3
2023-07-20 20:40:00,343102,2,3
2023-07-20 21:20:00,343104,2,3
2023-07-20 22:00:00,343107,3,4.5
2023-07-20 22:40:00,343109,2,3
2023-07-20 23:20:00,343110,1,1.5
2023-07-21 00:00:00,343112,2,3
2023-07-21 00:40:00,343118,6,9
2023-07-21 01:20:00,343122,4,6
2023-07-21 02:00:00,343128,6,9
2023-07-21 02:40:00,343130,2,3
2023-07-21 03:20:00,343131,1,1.5
2023-07-21 04:00:00,343134,3,4.5
2023-07-21 04:40:00,343136,2,3
2023-07-21 05:20:00,343137,1,1.5
2023-07-21 06:00:00,343139,2,3
2023-07-21 06:40:00,343141,2,3
2023-07-21 07:20:00,343142,1,1.5
2023-07-21 08:00:00,343144,2,3
2023-07-21 08:40:00,343146,2,3
2023-07-21 09:20:00,343147,1,1.5
2023-07-21 10:00:00,343149,2,3
2023-07-21 10:40:00,343150,1,1.5
2023-07-21 11:20:00,343152,2,3
2023-07-21 12:00:00,343153,1,1.5
2023-07-21 12:40:00,343155,2,3
2023-07-21 13:20:00,343156,1,1.5
2023-07-21 14:00:00,343158,2,3
2023-07-21 14:40:00,343160,2,3
2023-07-21 15:20:00,343161,1,1.5
2023-07-21 16:00:00,343163,2,3
2023-07-21 16:40:00,343164,1,1.5
2023-07-21 17:20:00,343165,1,1.5
2023-07-21 18:00:00,343167,2,3
2023-07-21 18:40:00,343169,2,3
2023-07-21 19:20:00,343170,1,1.5
2023-07-21 20:00:00,343172,2,3
2023-07-21 20:40:00,343175,3,4.5
2023-07-21 21:20:00,343177,2,3
2023-07-21 22:00:00,343179,2,3
2023-07-21 22:40:00,343181,2,3
2023-07-21 23:20:00,343183,2,3
2023-07-22 00:00:00,343184,1,1.5
2023-07-22 00:40:00,343188,4,6
2023-07-22 01:20:00,343190,2,3
2023-07-22 02:00:00,343192,2,3
2023-07-22 02:40:00,343194,2,3
2023-07-22 03:20:00,343195,1,1.5
2023-07-22 04:00:00,343197,2,3
2023-07-22 04:40:00,343199,2,3
2023-07-22 05:20:00,343200,1,1.5
2023-07-22 06:00:00,343202,2,3
2023-07-22 06:40:00,343204,2,3
2023-07-22 07:20:00,343205,1,1.5
2023-07-22 08:00:00,343207,2,3
2023-07-22 08:40:00,343209,2,3
2023-07-22 09:20:00,343210,1,1.5
2023-07-22 10:00:00,343212,2,3
2023-07-22 10:40:00,343214,2,3
2023-07-22 11:20:00,343215,1,1.5
2023-07-22 12:00:00,343216,1,1.5
2023-07-22 12:40:00,343218,2,3
2023-07-22 13:20:00,343220,2,3
2023-07-22 14:00:00,343223,3,4.5
2023-07-22 14:40:00,343225,2,3
2023-07-22 15:20:00,343227,2,3
2023-07-22 16:00:00,343229,2,3
2023-07-22 16:40:00,343231,2,3
2023-07-22 17:20:00,343233,2,3
2023-07-22 18:00:00,343234,1,1.5
2023-07-22 18:40:00,343236,2,3
2023-07-22 19:20:00,343237,1,1.5
2023-07-22 20:00:00,343239,2,3
2023-07-22 20:40:00,343241,2,3
2023-07-22 21:20:00,343242,1,1.5
2023-07-22 22:00:00,343245,3,4.5
2023-07-22 22:40:00,343246,1,1.5
2023-07-22 23:20:00,343247,1,1.5
2023-07-23 00:00:00,343249,2,3
2023-07-23 00:40:00,343253,4,6
2023-07-23 01:20:00,343256,3,4.5
2023-07-23 02:00:00,343260,4,6
2023-07-23 02:40:00,343262,2,3
2023-07-23 03:20:00,343263,1,1.5
2023-07-23 04:00:00,343265,2,3
2023-07-23 04:40:00,343266,1,1.5
2023-07-23 05:20:00,343268,2,3
2023-07-23 06:00:00,343270,2,3
2023-07-23 06:40:00,343271,1,1.5
2023-07-23 07:20:00,343272,1,1.5
2023-07-23 08:00:00,343274,2,3
2023-07-23 08:40:00,343276,2,3
2023-07-23 09:20:00,343277,1,1.5
2023-07-23 10:00:00,343279,2,3
2023-07-23 10:40:00,343280,1,1.5
2023-07-23 11:20:00,343281,1,1.5
2023-07-23 12:00:00,343283,2,3
2023-07-23 12:40:00,343285,2,3
2023-07-23 14:00:00,343287,2,1.5
2023-07-23 14:40:00,343289,2,3
2023-07-23 15:20:00,343290,1,1.5
2023-07-23 16:00:00,343292,2,3
2023-07-23 16:40:00,343293,1,1.5
2023-07-23 17:20:00,343295,2,3
2023-07-23 18:00:00,343296,1,1.5
2023-07-23 18:40:00,343297,1,1.5
2023-07-23 19:20:00,343298,1,1.5
2023-07-23 20:00:00,343300,2,3
2023-07-23 20:40:00,343301,1,1.5
2023-07-23 21:20:00,343303,2,3
2023-07-23 22:00:00,343305,2,3
2023-07-23 22:40:00,343307,2,3
2023-07-23 23:20:00,343309,2,3
2023-07-24 00:00:00,343311,2,3
2023-07-24 00:40:00,343316,5,7.5
2023-07-24 01:20:00,343320,4,6
2023-07-24 02:00:00,343324,4,6
2023-07-24 02:40:00,343326,2,3
2023-07-24 03:20:00,343327,1,1.5
2023-07-24 04:00:00,343329,2,3
2023-07-24 04:40:00,343330,1,1.5
2023-07-24 05:20:00,343332,2,3
2023-07-24 06:00:00,343333,1,1.5
2023-07-24 06:40:00,343335,2,3
2023-07-24 07:20:00,343336,1,1.5
2023-07-24 08:00:00,343338,2,3
2023-07-24 08:40:00,343339,1,1.5
2023-07-24 09:20:00,343340,1,1.5
2023-07-24 10:00:00,343342,2,3
2023-07-24 10:40:00,343343,1,1.5
2023-07-24 11:20:00,343344,1,1.5
2023-07-24 12:00:00,343346,2,3
2023-07-24 12:40:00,343348,2,3
2023-07-24 13:20:00,343349,1,1.5
2023-07-24 14:00:00,343350,1,1.5
2023-07-24 14:40:00,343352,2,3
2023-07-24 15:20:00,343353,1,1.5
2023-07-24 16:00:00,343355,2,3
2023-07-24 16:40:00,343356,1,1.5
2023-07-24 17:20:00,343357,1,1.5
2023-07-24 18:00:00,343359,2,3
2023-07-24 18:40:00,343360,1,1.5
2023-07-24 19:20:00,343361,1,1.5
2023-07-24 20:00:00,343362,1,1.5
2023-07-24 20:40:00,343364,2,3
2023-07-24 21:20:00,343366,2,3
2023-07-24 22:00:00,343368,2,3
2023-07-24 22:40:00,343369,1,1.5
2023-07-24 23:20:00,343370,1,1.5
2023-07-25 00:00:00,343372,2,3
2023-07-25 00:40:00,343377,5,7.5
2023-07-25 01:20:00,343380,3,4.5
2023-07-25 02:00:00,343382,2,3
2023-07-25 02:40:00,343384,2,3
2023-07-25 03:20:00,343386,2,3
2023-07-25 04:00:00,343388,2,3
2023-07-25 04:40:00,343390,2,3
2023-07-25 05:20:00,343392,2,3
2023-07-25 06:00:00,343393,1,1.5
2023-07-25 06:40:00,343394,1,1.5
2023-07-25 07:20:00,343395,1,1.5
2023-07-25 08:00:00,343398,3,4.5
2023-07-25 08:40:00,343399,1,1.5
2023-07-25 09:20:00,343400,1,1.5
2023-07-25 10:00:00,343402,2,3
2023-07-25 10:40:00,343403,1,1.5
2023-07-25 11:20:00,343404,1,1.5
2023-07-25 12:00:00,343405,1,1.5
2023-07-25 12:40:00,343407,2,3
2023-07-25 13:20:00,343408,1,1.5
2023-07-25 14:00:00,343409,1,1.5
2023-07-25 14:40:00,343411,2,3
2023-07-25 15:20:00,343413,2,3
2023-07-25 16:00:00,343415,2,3
2023-07-25 16:40:00,343417,2,3
2023-07-25 17:20:00,343418,1,1.5
2023-07-25 18:00:00,343420,2,3
2023-07-25 18:40:00,343421,1,1.5
2023-07-25 19:20:00,343422,1,1.5
2023-07-25 20:00:00,343423,1,1.5
2023-07-25 20:40:00,343425,2,3
2023-07-25 21:20:00,343426,1,1.5
2023-07-25 22:00:00,343428,2,3
2023-07-25 22:40:00,343430,2,3
2023-07-25 23:20:00,343431,1,1.5
2023-07-26 00:00:00,343433,2,3
2023-07-26 00:40:00,343438,5,7.5
2023-07-26 01:20:00,343441,3,4.5
2023-07-26 02:00:00,343443,2,3
2023-07-26 02:40:00,343445,2,3
2023-07-26 03:20:00,343446,1,1.5
2023-07-26 04:00:00,343448,2,3
2023-07-26 04:40:00,343450,2,3
2023-07-26 05:20:00,343451,1,1.5
2023-07-26 06:00:00,343452,1,1.5
2023-07-26 06:40:00,343454,2,3
2023-07-26 07:20:00,343455,1,1.5
2023-07-26 08:00:00,343459,4,6
2023-07-26 08:40:00,343461,2,3
2023-07-26 09:20:00,343463,2,3
2023-07-26 10:00:00,343465,2,3
2023-07-26 10:40:00,343467,2,3
2023-07-26 11:20:00,343468,1,1.5
2023-07-26 12:00:00,343470,2,3
2023-07-26 12:40:00,343472,2,3
2023-07-26 13:20:00,343473,1,1.5
2023-07-26 14:00:00,343475,2,3
2023-07-26 14:40:00,343476,1,1.5
2023-07-26 15:20:00,343477,1,1.5
2023-07-26 16:00:00,343479,2,3
2023-07-26 16:40:00,343481,2,3
2023-07-26 17:20:00,343482,1,1.5
2023-07-26 18:00:00,343483,1,1.5
2023-07-26 18:40:00,343485,2,3
2023-07-26 19:20:00,343486,1,1.5
2023-07-26 20:00:00,343488,2,3
2023-07-26 20:40:00,343490,2,3
2023-07-26 21:20:00,343491,1,1.5
2023-07-26 22:00:00,343492,1,1.5
2023-07-26 22:40:00,343494,2,3
2023-07-26 23:20:00,343495,1,1.5
2023-07-27 00:00:00,343497,2,3
2023-07-27 00:40:00,343502,5,7.5
2023-07-27 01:20:00,343505,3,4.5
2023-07-27 02:00:00,343508,3,4.5
2023-07-27 02:40:00,343512,4,6
2023-07-27 03:20:00,343514,2,3
2023-07-27 04:00:00,343515,1,1.5
2023-07-27 04:40:00,343517,2,3
2023-07-27 05:20:00,343519,2,3
2023-07-27 06:00:00,343520,1,1.5
2023-07-27 06:40:00,343521,1,1.5
2023-07-27 07:20:00,343522,1,1.5
2023-07-27 08:00:00,343525,3,4.5
2023-07-27 08:40:00,343526,1,1.5
2023-07-27 09:20:00,343527,1,1.5
2023-07-27 10:00:00,343528,1,1.5
2023-07-27 10:40:00,343529,1,1.5
2023-07-27 11:20:00,343531,2,3
2023-07-27 12:00:00,343533,2,3
2023-07-27 12:40:00,343534,1,1.5
2023-07-27 13:20:00,343535,1,1.5
2023-07-27 14:00:00,343537,2,3
2023-07-27 14:40:00,343540,3,4.5
2023-07-27 15:20:00,343541,1,1.5
2023-07-27 16:00:00,343544,3,4.5
2023-07-27 16:40:00,343545,1,1.5
2023-07-27 17:20:00,343546,1,1.5
2023-07-27 18:00:00,343548,2,3
2023-07-27 18:40:00,343550,2,3
2023-07-27 19:20:00,343551,1,1.5
2023-07-27 20:00:00,343554,3,4.5
2023-07-27 20:40:00,343556,2,3
2023-07-27 21:20:00,343558,2,3
2023-07-27 22:00:00,343561,3,4.5
2023-07-27 22:40:00,343563,2,3
2023-07-27 23:20:00,343565,2,3
2023-07-28 00:00:00,343567,2,3
2023-07-28 00:40:00,343572,5,7.5
2023-07-28 01:20:00,343575,3,4.5
2023-07-28 02:00:00,343578,3,4.5
2023-07-28 02:40:00,343579,1,1.5
2023-07-28 03:20:00,343581,2,3
2023-07-28 04:00:00,343583,2,3
2023-07-28 04:40:00,343585,2,3
2023-07-28 05:20:00,343587,2,3
2023-07-28 06:00:00,343590,3,4.5
2023-07-28 06:40:00,343593,3,4.5
2023-07-28 07:20:00,343594,1,1.5
2023-07-28 08:00:00,343596,2,3
2023-07-28 08:40:00,343598,2,3
2023-07-28 09:20:00,343600,2,3
2023-07-28 10:00:00,343601,1,1.5
2023-07-28 10:40:00,343603,2,3
2023-07-28 11:20:00,343604,1,1.5
2023-07-28 12:00:00,343606,2,3
2023-07-28 12:40:00,343608,2,3
2023-07-28 13:20:00,343609,1,1.5
2023-07-28 14:00:00,343611,2,3
2023-07-28 14:40:00,343613,2,3
2023-07-28 15:20:00,343614,1,1.5
2023-07-28 16:00:00,343617,3,4.5
2023-07-28 16:40:00,343619,2,3
2023-07-28 17:20:00,343620,1,1.5
2023-07-28 18:00:00,343623,3,4.5
2023-07-28 18:40:00,343625,2,3
2023-07-28 19:20:00,343627,2,3
2023-07-28 20:00:00,343629,2,3
2023-07-28 20:40:00,343631,2,3
2023-07-28 21:20:00,343633,2,3
2023-07-28 22:00:00,343636,3,4.5
2023-07-28 22:40:00,343639,3,4.5
2023-07-28 23:20:00,343640,1,1.5
2023-07-29 00:00:00,343642,2,3
2023-07-29 00:40:00,343646,4,6
2023-07-29 01:20:00,343648,2,3
2023-07-29 02:00:00,343651,3,4.5
2023-07-29 02:40:00,343653,2,3
2023-07-29 03:20:00,343655,2,3
2023-07-29 04:00:00,343657,2,3
2023-07-29 04:40:00,343659,2,3
2023-07-29 05:20:00,343661,2,3
2023-07-29 06:00:00,343663,2,3
2023-07-29 06:40:00,343665,2,3
2023-07-29 07:20:00,343666,1,1.5
2023-07-29 08:00:00,343668,2,3
2023-07-29 08:40:00,343670,2,3
2023-07-29 09:20:00,343671,1,1.5
2023-07-29 10:00:00,343673,2,3
2023-07-29 10:40:00,343674,1,1.5
2023-07-29 11:20:00,343676,2,3
2023-07-29 12:00:00,343677,1,1.5
2023-07-29 12:40:00,343679,2,3
2023-07-29 13:20:00,343680,1,1.5
2023-07-29 14:00:00,343683,3,4.5
2023-07-29 14:40:00,343686,3,4.5
2023-07-29 15:20:00,343687,1,1.5
2023-07-29 16:00:00,343689,2,3
2023-07-29 16:40:00,343692,3,4.5
2023-07-29 17:20:00,343693,1,1.5
2023-07-29 18:00:00,343695,2,3
2023-07-29 18:40:00,343698,3,4.5
2023-07-29 19:20:00,343699,1,1.5
2023-07-29 20:00:00,343702,3,4.5
2023-07-29 20:40:00,343705,3,4.5
2023-07-29 21:20:00,343707,2,3
2023-07-29 22:00:00,343710,3,4.5
2023-07-29 22:40:00,343712,2,3
2023-07-29 23:20:00,343713,1,1.5
2023-07-30 00:00:00,343715,2,3
2023-07-30 00:40:00,343719,4,6
2023-07-30 01:20:00,343721,2,3
2023-07-30 02:00:00,343724,3,4.5
