overlap,method
0.044698148976952935,random
0.045691253692393345,random
0.045292185329431876,random
0.047490399046627205,random
0.0475205466457065,random
0.0447050711479387,random
0.04687191540172213,random
0.047363875311244974,random
0.04876446857330331,random
0.04650514157531689,random
0.04691687532184437,random
0.04654940118618624,random
0.04824074250665464,random
0.04712387047043229,random
0.04670712525044171,random
0.048912300612023576,random
0.048964192188590966,random
0.047491429846081186,random
0.047330808597214495,random
0.04638187660279792,random
0.04841398943856927,random
0.04531944381340776,random
0.04892804152588957,random
0.04624125628622665,random
0.047897587060553505,random
0.04503084353549986,random
0.04593102069553184,random
0.04851538519474604,random
0.04655506191329991,random
0.04917535422299277,random
0.046569627203427236,random
0.04771779734869903,random
0.04830268565549601,random
0.04739628889969264,random
0.04562678185934135,random
0.046624435566806656,random
0.04892444704476587,random
0.04578390107853267,random
0.04544952147967398,random
0.04681630706010464,random
0.04510211637479556,random
0.04574416104864543,random
0.05053389347117674,random
0.04562592793254923,random
0.045104427018732525,random
0.0476310785489021,random
0.04549727726076804,random
0.04723293920469529,random
0.04557185990414163,random
0.04533106936507134,random
0.045459907712531764,random
0.04812420351956393,random
0.04534727702645272,random
0.04694846353073724,random
0.04847222766252726,random
0.04566765852159224,random
0.04407449451822468,random
0.04457878864278825,random
0.04533431318336445,random
0.045596570278890754,random
0.04481439032683309,random
0.04935615249970696,random
0.04832813342327028,random
0.04751037558000682,random
0.046840927508084974,random
0.047359196771159226,random
0.0475755475839279,random
0.04841088656488048,random
0.04774809777797855,random
0.04794922875428031,random
0.05311505797879611,random
0.04680234678474443,random
0.04609701750888488,random
0.0449182205387543,random
0.04878662291317906,random
0.04541897646242722,random
0.046081062025676,random
0.04841458584657119,random
0.0461193855958692,random
0.04820134833774146,random
0.0484142376501441,greedy
0.04477421371754963,greedy
0.04451357816825356,greedy
0.04248791639481388,greedy
0.04328396145978915,greedy
0.04606521287868505,greedy
0.04683457472171068,greedy
0.047821494292221836,greedy
0.04329738870994764,greedy
0.04453998400421605,greedy
0.04534473099228199,greedy
0.043767067083647235,greedy
0.046468540537769124,greedy
0.04320689321324982,greedy
0.04632382594805079,greedy
0.04441595539327319,greedy
0.04281428912122911,greedy
0.05144116536510224,greedy
0.05451013257075409,greedy
0.048249762601978,greedy
0.049913621222984,greedy
0.044327355192312866,greedy
0.04662066543273104,greedy
0.0464549346625038,greedy
0.054668818833241144,greedy
0.044510949455929254,greedy
0.05277936278071638,greedy
0.04948979721930106,greedy
0.04402798926999622,greedy
0.0443881081840502,greedy
0.046410585001595415,greedy
0.04570574769656881,greedy
0.05072355958380018,greedy
0.046238972159680584,greedy
0.04572371806396176,greedy
0.04701675644246023,greedy
0.048063606390045116,greedy
0.04504047072634461,greedy
0.045860076040871944,greedy
0.0495517407221136,greedy
0.04866580255784255,greedy
0.04305846109880043,greedy
0.045704665319743897,greedy
0.04931977518995809,greedy
0.045127920187523804,greedy
0.04871445708862831,greedy
0.053010098089176075,greedy
0.044102260836224316,greedy
0.04141043999064064,greedy
0.047465742422645785,greedy
0.04895690831518849,greedy
0.04322684557864054,greedy
0.0479979602605269,greedy
0.04436848003133964,greedy
0.053483408177750026,greedy
0.043796184183747304,greedy
0.04681456760895529,greedy
0.04842666231318645,greedy
0.04501353732139512,greedy
0.044270909441465923,greedy
0.04529789692298726,greedy
0.04495679113178509,greedy
0.04392160938229786,greedy
0.04636691249076983,greedy
0.04335902280979945,greedy
0.044091812470393774,greedy
0.051624518907988554,greedy
0.046139893055295284,greedy
0.042434519015662586,greedy
0.04839634098825613,greedy
0.04325437809073052,greedy
0.04845528832649726,greedy
0.046749887358256914,greedy
0.05438641783663916,greedy
0.0456206044016068,greedy
0.04664442454996076,greedy
