overlap,method
0.042389555063899916,window_50
0.04183729062571394,window_50
0.042076342611984244,window_50
0.043036497426156305,window_50
0.0437785409043527,window_50
0.04158053701853585,window_50
0.043596945070039264,window_50
0.042217872154209996,window_50
0.04211899630805499,window_50
0.04273481942627268,window_50
0.04271209472916437,window_50
0.042083598273294,window_50
0.04360830718572683,window_50
0.04388991907565339,window_50
0.04242403814623037,window_50
0.04329048920536968,window_50
0.04203276506146379,window_50
0.04290757556923741,window_50
0.04241640717470376,window_50
0.04128914130907847,window_50
0.04255950096669389,window_50
0.04190670264931978,window_50
0.04275399879148616,window_50
0.04208165645365509,window_50
0.04149597088440533,window_50
0.04208235117994073,window_50
0.04250508335089777,window_50
0.041934180134934426,window_50
0.04101115211553791,window_50
0.04324504824225036,window_50
0.041777925632115354,window_50
0.04288749014138886,window_50
0.042664386038756066,window_50
0.0429996799898698,window_50
0.0426351452074545,window_50
0.04210991621561383,window_50
0.04312922794099204,window_50
0.042807607007841225,window_50
0.04252839983998065,window_50
0.042442642591444195,window_50
0.043334174256885155,window_50
0.042717099637696904,window_50
0.042715312382208756,window_50
0.042903288073385934,window_50
0.041923916218676194,window_50
0.0418214432526369,window_50
0.04337386162404258,window_50
0.04327998912697008,window_50
0.041400048836042515,window_50
0.04273444064208992,window_50
0.04196501157566652,window_50
0.04406820508746183,window_50
0.042172448435378235,window_50
0.04304522270325126,window_50
0.04264958648159575,window_50
0.04222579171747485,window_50
0.04314968095341407,window_50
0.0432298094630786,window_50
0.04281516331291132,window_50
0.042424660289149124,window_50
0.042454132203689925,window_50
0.04349566199665229,window_50
0.044068356477379805,window_50
0.0423621434997954,window_50
0.04271582665817614,window_50
0.043080960853251964,window_50
0.04144043731689035,window_50
0.04360355433600934,window_50
0.04283886724817651,window_50
0.041563763962229695,window_50
0.042502158243654206,window_50
0.041812791395130215,window_50
0.04386988011471657,window_50
0.043805695887386996,window_50
0.0425791099694114,window_50
0.042892901349029025,window_50
0.04247569646751078,window_50
0.04225844490632976,window_50
