Position,University,2015,2016,2017,2018,2019,2020
1,1-UDLA,39,55,124,153,240,331
2,2-PUCE,99,115,192,270,301,348
3,3-ESPOL,108,215,310,380,395,426
3,3-USFQ,126,204,349,416,457,486
4,4-URAA,2,5,7,29,100,210
4,4-UEES,33,47,84,134,173,247
5,5-UCE,62,103,116,157,212,234
