 año,id_diee,ciiu_seccion,ciiu_division,ciiu_clase,sector_economico,tam_empresa,provincia,tic1_inversion,tic2_valor_inversion,tic31_computadoras,tic32_pda,tic33_smartphone,tic34_notebooks,tic35_tablets,tic36_otros,tic4_personal_total_comp,tic41_personal_comp_m,tic42_personal_comp_h,tic5_conexion_internet,tic6_personal_total_int,tic61_personal_int_m,tic62_personal_int_h,tic7a_bandaanchafija,tic7b_bandaanchamovil,tic7c_otros_1412,tic8_web,tic9_transacciones,tic91_total_compras,tic92_total_ventas,tic10_interaccion_adm_pub,tic101_obtener_info_publicas,tic102_impreso_publicos,tic103_devolver_impresos,tic104_gestion_electronica,tic105_declaracion_impuestos,tic106_tramites_iess,tic107_portal_compras_publicas,tic111_gestion_cliente,tic112_control_pedidos,tic113_gestion_inventarios,tic114_gestion_finanzas,tic115_gestion_rrhh,tic116_soporte_ventas,tic117_id,tic118_gestion_conocimiento,tic121_telefonos_celulares,tic122_correo_electronico,tic123_redes_sociales,tic124_mensajeria_especializada,tic125_fax,tic126_call_center,tic127_otros_1434,tic128_ninguno,tic131_sistemas_operativos,tic132_navegador_internet,tic133_aplicaciones_ofimaticas,tic134_erp_crm,tic135_seguridad,tic14_especialistas_tic,tic141_especialistas_tic_m,tic142_especialistas_tic_h,tic151_personal_conoc_tic,tic151_personal_conoc_tic_m,tic152_personal_conoc_tic_h,tic16_intranet,tic17_firma_digital,k
2015,13627001058,C,C10,C1050,1,4,105,2,0,3,0,0,0,0,0,3,2,1,1,3,2,1,2,2,1,1,2, , ,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2, , ,3,2,1,2,1,1
2015,13627002054,G,G45,G4530,3,4,105,1,7831,100,0,0,0,8,0,62,12,50,1,32,12,20,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,2,1,1,2,2,1,1,0,1,1,0,1,1,1
2015,13627007056,C,C16,C1621,1,5,105,1,109171,140,0,36,35,4,0,175,20,155,1,175,20,155,1,1,2,1,1,5,0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,1,0,4,4,0,4,1,1,1
2015,13627011053,C,C16,C1621,1,5,117,1,30000,18,0,0,0,0,0,18,6,12,1,18,6,12,1,2,2,1,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,0,2,18,6,12,2,1,1
2015,13627012050,C,C10,C1050,1,5,117,1,5313,50,0,0,0,0,0,50,10,40,1,50,10,40,1,2,2,1,1,70,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,2,1,1,0,50,10,40,1,1,1
2015,13627013056,C,C24,C2410,1,5,117,1,500000,230,0,0,55,0,0,285,95,190,1,285,95,190,1,2,2,1,2, , ,1,2,2,2,2,1,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,2,2,2,1,1,2,2,2,1,0,7,7,0,7,1,1,1
2015,13627050059,G,G46,G4669,3,4,105,1,10243,8,0,6,0,0,0,8,4,4,1,8,4,4,1,2,2,2,1,5,0,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2, , ,16,4,12,2,1,1
2015,13627112054,G,G46,G4649,3,3,105,1,6442,9,0,4,0,0,0,13,5,8,1,13,5,8,1,2,2,2,2, , ,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2, , ,13,5,8,2,1,1
2015,13627144053,G,G46,G4620,3,3,105,1,555,9,0,0,0,0,0,8,7,1,1,8,7,1,1,2,2,2,2, , ,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,2,2, , ,8,7,1,2,1,1
2015,13627713066,G,G47,G4752,3,2,106,1,2220,6,0,0,0,0,0,6,4,2,1,6,4,2,1,2,2,2,2, , ,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,1,2,2,2, , ,0,0,0,2,2,1
